,10kx30kx10k,20kx30kx20k,30kx30kx30k
perf::PERF_COUNT_HW_INSTRUCTIONS,"593150733024,593496652233,528644374955,497094456591,421235647985,462657368462","2371643224799,2373030428200,1719864138253,1902267810381,1808536441926,2004668621748","5333994415503,4430978180364,3866555153472,4280822238866,3188051912874,4445858568639"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"4184132808,53241157968,87591050369,4201541602,49013652004,83076207725","16719721235,16782996677,16785086179,255053115419,16792764266,290762008948","37576843259,494048842180,626605821655,748343502822,1420089078672,933854637480"
perf::PERF_COUNT_HW_BRANCH_MISSES,"2019568,3821268,17073415128,51149261616,3994017,9359120908","7730014,15165933,335547478204,202533365952,338564471842,16082943","17197049,34234140,300931402663,725767879638,452965086064,730217078489"
perf::PERF_COUNT_HW_BUS_CYCLES,"1511468040,54288121148,52247174479,83064196052,1979522350,38990950212","5823094311,6021769433,339093981275,6337330727,208524877956,169668014590","13185502319,13389936383,14123802645,284292004644,17427348378,672517633400"
perf::PERF_COUNT_SW_PAGE_FAULTS,"3795,50030665212,0,1098,51419789350,2689","26880,3050,268263569221,608469756997,112721090128,4930","94103,18323,752306171612,816629673505,503541313100,414174989746"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,102045111741,102601113622,0,0","0,0,335465943653,0,224828280413,442564501871","0,0,0,271921086416,503841381927,335990976173"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,50235273139,34005322473,0,57022473435,0","0,397354338020,469680219964,445848342656,0,142116071653","0,886288499277,601342628661,634670713616,0,293706145680"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"194058557337,198611270994,197185749308,194101480719,199975237170,203380710332","775872125201,776045821124,787390394770,782782959248,780614818029,788495991417","1744083075038,1764384070805,1783434232067,1744478351450,1752093963569,1744479986150"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"65115395625,65234994965,180735157038,65231981527,84699284049,116715237846","260223148347,260622676887,260634133572,700462040269,536015470016,520120643900","586052483852,586891666927,992454892270,586937896114,1338508911469,1140967456788"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"1251920655,103860547992,51940255469,1331692699,80855095655,25314062453","4779545041,5096585492,138439651616,649360136744,5098080918,235144083915","10582872684,11295868748,1206156490700,822710313840,11297986103,11298879527"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"2206576,49989492831,4434455,102446875349,4887698,7130591","6962171,17743583,335106243524,283557430504,383367775924,25060337","18856995,36717201,451153242028,543959528862,1060918333196,408770058154"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"234867800,53149616858,92341149,174202751624,96627481,103774078","640520055,249596324,67259681963,258167078,361575469089,276039824","1149187040,500950331,492701719,1360506035321,1212011689025,1216342392568"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"110942405,53126722372,75037649,75559635,91653843842,78153334","259117391,208180010,469538362136,405612442658,363830625267,267901578149","574952996,407486121,150782051019,181574431942,606404731589,436450885"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"681712590,396166473,51273956599,400047187,80312970848,78731595709","2732207556,1542876395,1544485630,1547934144,298492445041,1573499121","5788789461,3316544232,3319758004,3323766109,3324164829,3395440141"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"228395759,103248659123,186787869153,281128650,97496260626,27881628263","727760434,1084206288,68093928187,1068933504,1067442697,517653789188","1779343765,2210139070,899284907122,2159892772,709331046977,2262062634"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"194058554957,196267392232,196464837746,194103131928,194104506230,194105145526","775872124574,776034819113,776046056946,776048167388,784661303463,790976604909","1744083079495,1744474680034,1757134173443,1760482519529,1774511006191,1744362054483"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"369533,159107,135829569907,418582,85880700419,64718292432","2544430,198517738435,67116993089,2186868,366543930958,3533849","7110588,7451317,1048032922745,904149690531,50615003703,524299416690"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"1251920656,153345587792,1331447170,72652284634,143478044650,60892733714","4779545043,5096585789,471782074440,327286542803,5098074518,5098698615","10582872687,1351345940633,11296173617,729645510871,514788801488,211829631915"
