,2kx4kx2k,4kx4kx4k,8kx4kx8k
perf::PERF_COUNT_HW_INSTRUCTIONS,"112028044707,104734358284,98566618434,101801585699,100587860062,105754189158","448112138049,448112261427,404444975089,406756695180,409110020711,431866346204","1792448437367,1688107242705,1604372223841,1663612518932,1611392140398,1683379393353"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"16004026217,16004054259,16006408811,52590176048,35602566694,47602618987","64016103287,64016137238,178117029573,134318098243,79798075616,194076280838","256064368857,256064429158,659441342031,666660243009,664766005014,667332678852"
perf::PERF_COUNT_HW_BRANCH_MISSES,"4002119,42983547114,21447990573,66067670271,35936631507,57409260582","16004442,98554380967,280708450884,138219957124,9661641144,186156798929","64008727,64030049,611646445433,357128659825,164757825456,112665740340"
perf::PERF_COUNT_HW_BUS_CYCLES,"507603143,599866221,43301900543,612484411,26873004241,21566236409","2307760925,94937330247,30278664251,139705926225,88322968763,135663247647","8701393322,9217034862,10753810708,10498606141,501810086237,318091952914"
perf::PERF_COUNT_SW_PAGE_FAULTS,"312,0,28389944810,0,11923431408,0","441,92687246913,55944073267,208536637892,201469556689,201244765127","813,1125,607357346778,12259,741996272795,310341267600"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,42778086831,0,51986544239,0","0,0,83568581946,0,95624411126,163755274366","0,0,0,642652105514,82533080598,281626609480"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,22505050179,28400630193,24948791315,0,0","0,93063356380,194950439082,0,0,0","0,671996178555,365897882220,0,1071532909682,676468729210"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"32004000753,58752795200,36431812170,47344041930,40866281563,55689598118","128016000846,128016005563,213983092341,193819909756,217933913003,128025947284","512063998553,512062569211,828263736295,1152706165973,781963551023,634687935135"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"4016386033,4015550097,24044354744,4016064734,19765608179,4015907780","16060828928,16062239296,149038060969,198389652116,16066052952,23176504024","64242423987,687894416899,412786183472,200472581644,891498918725,64260625530"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"16000000618,16000000839,33012135920,36157099274,44843576624,39762912753","64000000618,146748629401,312860470162,91785995653,126217453713,186496873588","256000000618,256000000837,556292110069,782811714741,664993133372,643781907336"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"17761,42801403158,7014973790,58203164522,14183688606,31703","111125,95519,113833,76809,57247573955,163967504163","350405,660846364817,121169664336,1141339508126,906177739111,506891886728"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"2625591,4334731,4218804,4520826,9451670468,5008774","11977642,285336108451,139692753109,102555877094,105011265320,81957429095","46106181,75859039,485935517377,856354147062,164676676218,619153620084"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"2034979,20863254356,481291,306527,14173475313,146999","10608097,9276851,55861843517,1218394,780608,44755233035","43073566,30351393,489872843364,4775041,576784826266,169029283293"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"950,19701028691,63090235286,497,47294901487,53084231530","797,148,301,136845971208,15997,20454","180,342,1347108108840,855725884573,824117457691,759658970431"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"612,83,192,41563009841,44910821278,2603","42,285302264691,231,293,66779450073,6860","44,96,245800466709,1141021416559,906042967327,28338"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"32004000806,32003987270,32005155939,42267280493,48209728221,47138981180","128016000760,250635006610,145261047865,128016009537,128025783314,128026039789","512064000061,512063438976,1233021270587,603497366951,512072588938,512068853698"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"161,1007,24553,28067,7095157639,471","2621,417,957,68311690534,133512957758,171435398089","5294,9739,245247374424,142677626464,288192247815,534822273582"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"16000000617,16000000839,44557425048,60061041588,31282186834,16000006696","64000000618,64000000835,64000001928,64000003008,204046141884,64000006803","256000000618,256000000836,965173226259,1021082761477,256000005195,256000006765"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"7,498,7041415126,333,58744012832,38246998840","23,282440770691,27919085859,255732759282,191363374433,91","38,1716,662,858448610382,741214331350,109"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"15911871898,19837697751,28433770379,48010970489,29201309982,39136159738","107104214744,150884440666,203695447230,263924534343,177561306213,195507339848","346582278361,434900857038,810338902485,913552938004,653751364001,717207652855"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"438091842,497371981,577498655,684019223,35692978962,1027486725","2770877298,3173483418,2340866334,2997761103,79732283020,163007387956","9832848803,663687338860,255082756602,13212539932,424848008083,236852364656"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"365707242,267063774,63360817189,50403206465,9401921083,21146614","2498151177,1312889957,223296303137,193971536,182480567668,104790593","8865596692,4726811588,493199813295,808316586,577273633122,254088128905"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"12206772239,13887779822,21043563739,54799718578,20454979167,40254197143","88092455595,119548346988,80429007593,87005639804,90593494180,175711360592","270016591013,323672626265,460514549002,568548090983,467621715080,401791172050"
CYCLE_ACTIVITY:STALLS_L2_MISS,"336686749,371186502,422669680,491867369,638657929,8430632758","2304456021,2578372619,1724776879,103797695326,2837578544,76814727707","8105138147,7311586054,253630453526,721298173645,299618157461,10182607028"
CYCLE_ACTIVITY:STALLS_L3_MISS,"291092419,195940050,54050561,37893965,7064054389,18316419","2203948001,1115145145,228199381,119455709322,99805777,74577606205","7776584845,3479070777,970547006,430350694390,329947455738,283182525713"
RESOURCE_STALLS,"42845858533,44286408162,51171853602,50515595946,50621975533,63313064068","210101416550,312282721385,202101633470,208446933163,260502455531,223766861112","758304134811,798578135742,989855258980,897200965560,1037136613504,942876848410"
L2_RQSTS:ALL_DEMAND_DATA_RD,"36856276,39746700,35328812,34474579,34490638,33831781","138442759,138019893,142226449,136215437,135316098,136594951","556896386,592662002,547515238,534421316,514410399,562213778"
L2_RQSTS:DEMAND_DATA_RD_HIT,"35929112,38925951,34237078,33530374,33529511,19256388568","134514152,133836348,137599496,131933444,67274717750,208703895042","540370410,541477322,1227729547313,927586607408,659525498625,507417848032"
L2_RQSTS:DEMAND_DATA_RD_MISS,"1067352,1029599,1117018,1056290,1064159,1093002","4150345,4292876,4352594,4286603,4318562,4358308","16803311,16499835,18137834,17579424,17380351,17571034"
L2_RQSTS:ALL_RFO,"5328,2188,1917,2048,2405,9105","7974,7176,5813,5850,24523,14501","21110,26250,22180,22839,23994,82312"
L2_RQSTS:RFO_HIT,"1283,1489,1453,1365,2011,1860","5428,6764,5127,5191,5876,5847","19827,24060,21399,23112,22348,21253"
L2_RQSTS:RFO_MISS,"4162,269,482,37970074431,42654237988,13526268869","2800,142,139253897399,571,192069441065,111862792280","1603,157,612854429321,856953375255,247080168678,478690448865"
L2_RQSTS:ALL_CODE_RD,"20448,33623,25611,21882,24257,28707","96059,79063,85941,88157,65249,74255","336863,431738,370148,340593,272125,252711"
L2_RQSTS:CODE_RD_HIT,"181,550,1353,1203,2470,2835","183,1156,2634,1614,3440,3145","235,5342,9529,5643,5952,6230"
L2_RQSTS:CODE_RD_MISS,"19075,29121,22035,22049,22508,21684","101351,96762,92189,66360,68176,67946","377859,425247,372163,286684,265522,303481"
L2_RQSTS:ALL_PF,"5861151900,42413376793,32076801297,5915126462,25918170440,5953188535","23558594642,193311903123,101159398574,166561801482,23781120664,23818176954","92957635561,91177914464,553602783984,894113650488,711783122938,568495165145"
L2_RQSTS:PF_HIT,"3856868604,21961038742,17314593038,16005001394,19825763643,44475058078","15557207207,183003984234,227773147336,15680065737,171477504707,15805410371","60947340295,59209255753,62548453825,745419410480,181503167831,977329861625"
L2_RQSTS:PF_MISS,"2000822064,2001289872,2000946271,2000916906,2000941157,2000905079","8001507332,8002468695,8001695518,8001523702,8001492338,8001499957","32001005115,32006308218,32002904020,32001356186,32001778123,32001293277"
L2_RQSTS:ALL_DEMAND_REFERENCES,"36957510,38057825,35241422,34501235,34239662,33892792","138438268,152885041,141955189,136168979,135321266,136708919","557193158,574586817,548624101,533182930,514759622,562096243"
L2_RQSTS:ALL_DEMAND_MISS,"1042520,1040601,1140460,29271452026,1077591,34694020691","4249178,275831450283,4414622,136516554946,182529436159,74608613964","17025692,16998644,981227485928,355263591057,17700081,366287081551"
L2_RQSTS:REFERENCES,"5896184462,5822380481,5918531386,5957389790,54588052739,69214163953","23691569713,23057173778,23669246660,23832361709,140142084140,23952733300","93507652967,92286600594,95087607930,691757408804,95803089944,592979197011"
L2_RQSTS:MISS,"2001926761,2002237097,2002095737,2002009530,1994327569,9545323562","8005661099,8006803844,8006188708,8005851479,73625173096,59040140440","32018275418,32023313686,391241280763,32019399861,32019709204,554477333877"
OFFCORE_RESPONSE_0:DMND_DATA_RD:ANY_RESPONSE,"2655385,4306303,4236418,4487984,47576049282,32847377530","11998730,18200945,138965966025,18439083,153709392428,19421018","46234787,64001811,1342768130516,77688340,1153433946121,74298138"
OFFCORE_RESPONSE_0:DMND_RFO:ANY_RESPONSE,"628,64925360690,2165,12582300530,23860938629,13502567009","1013,282686503321,286,482,17711,19847","1431,319,977247796487,354882884236,164815582519,1156477109359"
OFFCORE_RESPONSE_0:DMND_CODE_RD:ANY_RESPONSE,"19380,43769365612,49273943532,22991,19314991884,20992","84193,91678782803,90565,75135,67236030834,72843","407736,515508,477745,297262,246959102937,1127650223065"
OFFCORE_RESPONSE_0:PF_L2_DATA_RD:ANY_RESPONSE,"1854567591,1724806417,1754603457,35048333302,1707004206,9262484458","7290831770,276125380571,7043586688,6941211978,6835966039,196895255459","28832938045,27780111126,27846065763,584480829637,228928570218,27636733231"
OFFCORE_RESPONSE_0:PF_L2_RFO:ANY_RESPONSE,"289,65089053347,322,666,3878,5560","265,91088835025,429,644,57538027366,134370050628","1527,1554,605174011317,71005079335,535712949003,112269638881"
