,10kx30kx10k,20kx30kx20k,30kx30kx30k
perf::PERF_COUNT_HW_INSTRUCTIONS,"667742540590,550561351759,513284150543,669735440843,484466988618,551385768778","2668866980350,1735676265403,1737811289821,1941793502281,1953518390303,1876841923518","6003337655616,6005015717517,3903754997936,4561595757174,4986541960390,4881771959997"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"4492204846,53214025715,4834337692,211221134813,179250084323,138275233146","17836199521,215043391878,474857102533,142699182687,516002425308,352298025926","39991434682,484720668380,333070992432,42615554867,1206880324246,1032066457688"
perf::PERF_COUNT_HW_BRANCH_MISSES,"4245984,49196545434,185577259019,7147027,88072464793,15356464","15718459,201724822502,66827253948,417486443701,466579567219,663156230977","34317732,37373333,899211732072,730332263998,495400424756,923534975220"
perf::PERF_COUNT_HW_BUS_CYCLES,"1555104885,1488988274,51877460422,1734183973,191390496652,73974131171","5597253798,202543410674,205869064797,502849493063,587549715358,539860242086","12797715724,13361958431,456445592861,923627203115,321914564502,528731764268"
perf::PERF_COUNT_SW_PAGE_FAULTS,"4384,49322080846,2589,132073239344,4750,171453356977","15775,8488,2878,250325688655,391,338729535880","28923,454869912710,742353171358,1872,1556752917037,1722136449921"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,49670088590,84756725635,10693371122,72904194335,101791002016","0,0,135034484300,0,485556408899,329616124437","0,898539526577,149929799766,1570669947277,350990534792,664445842215"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,49136380381,84543323488,0,39770759082,0","0,198060697012,264467216808,375892199053,356292839150,126178185712","0,0,896058828202,744563417794,0,177070931180"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"198032660278,199194846400,198979875521,205164676930,251368165241,293921302475","791296356622,792382059798,793634435826,797386483786,796206657228,878676623278","1779767567057,1780707490651,1788086610509,1890920066368,1964216737778,1783300218596"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"57181868710,57283493352,191168201608,105111291387,147249732084,174308485981","228474018447,228765870717,229401326981,382335340148,342802967817,685569707573","513819404110,1155853564675,1370193326043,1282958977916,516451066569,515189034304"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"1364843004,1342244119,169070058210,1350830201,104328161762,203276615505","4779976792,4688153465,402767262962,4691544617,4698987648,4752709659","10245406435,463291397779,1495830277776,1412576788698,10052952862,550791000817"
