,20kx1k,20kx4k,50kx1k,50kx4k
perf::PERF_COUNT_HW_CPU_CYCLES,"4044181107,8187107946,8022143794,8153679337,9817391694,12863318884","38102901838,77487824022,51537676274,32339575303,20851033916,17644478299","10544632100,22953863937,22886738630,23941623916,28384712253,37278685567","100641816149,237233915176,153320211148,92786355911,58289663200,48659213321"
perf::PERF_COUNT_HW_INSTRUCTIONS,"4441977611,4818204264,4847754812,4900466162,5156418505,5575591959","63869259841,68381624365,45321951482,26221862067,13967813787,10012662123","11203417136,12095433425,12191705962,12326892021,13119342522,14258961176","166306150610,178182358827,117693221466,65653414659,30703358509,22698555017"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"40352848,61670697,77662571,104109134,232360836,226859031","424486251,496626597,360614979,257499804,204526361,195529636","100763771,144462968,195852474,260862556,725013213,753306709","1100091748,1201937335,938435089,653476060,473937347,429299380"
perf::PERF_COUNT_HW_BRANCH_MISSES,"133103,447402,541283,559055,605800,713371","1257578,4163532,2878165,1963316,1414625,1179748","287748,860038,968531,951619,1099315,955566","3144563,9539972,6769188,4357052,2523613,2065950"
perf::PERF_COUNT_HW_BUS_CYCLES,"28193663,58507974,60955956,63933888,76353898,104863157","271413840,555236535,392892473,249060211,162064830,141726702","74045688,163356655,173703868,186961389,225239132,309011606","721327066,1693508299,1156448554,725859806,449414114,391146557"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"3033036144,6299304228,6553575792,6896291616,8260313436,11313379980","30696444972,59958622152,42452863920,26868741084,18024789168,15442739892","8118004608,17615150388,18761020668,20220854148,24198799608,33430039200","78538019940,182531224116,125645671908,78411566088,48503930436,42487093224"
perf::PERF_COUNT_SW_PAGE_FAULTS,"34,0,0,339,0,0","337,0,13,69,210,337","18,0,151,91,6,399","693,223,18,74,286,548"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"1570515375,1796521143,1802106972,1822795636,1909724251,2115311756","22457399605,25798709351,17081531158,9958219293,5240870867,3873414127","3959735923,4525723612,4551880360,4586452856,4854210020,5424640672","58446884663,67404602281,44438388842,24966736102,12485954930,8673781912"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"464558413,650133641,650498637,650671431,650359633,649844870","5932788968,9035420968,6061415609,3570101099,2000147730,1494267506","1166546769,1629872611,1630809545,1625056512,1622544255,1641499873","15294329903,23417388257,15642898239,9015238012,4697485602,3407563728"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"91096184,112022938,111940459,115821685,137445338,184213148","659160897,782121714,549512479,358000495,245341183,203333826","227856562,275570234,278299524,286734532,352063586,477075047","1694149427,2009989828,1416676895,916319614,573331496,479798388"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"327934,1005492,1249837,1293484,1389057,2984249","1937585,7416742,6258152,4295510,3064324,2887052","565940,1243533,1454757,1528912,1626935,3600084","3879453,12182657,9572975,6111015,4264871,3776812"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"68252637,58737833,18817299,19113346,20028608,36574218","337664014,260224799,62797218,42416520,29678020,27133818","186444468,181144783,155201444,158089750,157179468,169024704","946107094,846437215,615585726,508595246,410981098,366966739"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"17325817,5917465,7252693,6822590,6963876,12815213","149970087,13693897,12157543,9278256,8752268,8787818","61463591,22113408,23433582,23511126,23270402,54037008","454156535,138181561,55155777,42071140,38074538,33771577"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"5406994,19385739,19736572,19734067,19872641,20776078","123307247,208694262,138842730,79718854,41511982,31224867","11472451,48091882,48984890,48985538,49174660,50407703","308459682,550032572,361049411,197046166,92914954,66294185"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"1336368,11839048,12617238,12535513,13317456,11426642","51557812,120107494,87479348,53674703,28521518,20589469","2347911,39536324,42180811,43796192,45625648,44179170","122659500,402109673,288060280,162769222,80534204,55190125"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"1570520860,1796490490,1802976500,1819464803,1905687862,2120928815","22457720481,25842885835,17123762467,9931022590,5263438771,3871991511","3959706886,4526442203,4545986067,4607450458,4861607561,5429128806","58447062359,67376377534,44463733754,25066119001,12595416372,8562092271"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"19428,17816,43393,168524,50477,58062","16696,338484,180269,198618,80043,97949","58590,27453,38071,51306,61074,77235","221313,293394,334788,127525,199389,99014"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"91096186,112194544,112608081,115571692,136534421,184339511","659160899,791081212,551245899,353906450,239104395,203154302","227856551,275451841,278740313,289219997,350196783,476676263","1694149427,2010927129,1410188521,921633162,584200182,481068657"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"24,415,2667,4381,3755,1965","536,1115,5091,5343,3119,3871","258,567,3639,9050,10110,7052","3460,1116,19694,13873,5626,9396"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"2032402453,3649118143,3126023456,3290824683,4120504673,5781233581","15455618182,25286846444,15323911506,10035558125,7135015640,6117588149","5450954681,11109533777,10666593280,11316388979,13618644893,19364713416","41905399274,78631068217,52257052882,35428566073,26029867401,23847057125"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"1759187403,2064470040,1554989916,1711931246,2405498766,3310909557","11309171364,7648542062,3576553446,2713330462,2493181348,2442666207","4790844381,6533345319,6521316677,7002582935,8741144287,12021201285","33108811046,29543114463,20729325693,16443167584,14446253828,14211203266"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"1164171317,844938453,1022523398,1026695489,1189765966,1972233382","8202428020,1861394632,1633191245,1274204582,1363607388,1381107567","3263723374,3050598945,3286961608,3314167698,3813995763,7653945016","25375080639,14444713726,6993610163,5123968310,5287207811,5641406057"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"1541292007,2849085681,2397968497,2482353626,3337088258,4792477435","9807759311,16685125682,9693743391,6502508391,5096176380,4550946792","4208247314,9062308456,8619179461,9357723372,11478056060,16608402187","29707011515,57772985210,37989016843,26174349577,20225194285,20051580791"
CYCLE_ACTIVITY:STALLS_L2_MISS,"1444183976,1779596986,1370362771,1492420457,2213818895,3024911274","9044150868,6292996247,3018286717,2333642558,2251095959,2141894748","3987816193,5769581526,5741041246,6189275662,8007593255,10988427023","28270676199,26160115594,17946911986,14347149949,12284422236,13907061811"
CYCLE_ACTIVITY:STALLS_L3_MISS,"1046829487,770586847,958887566,947942723,1121013666,1873360234","7374735215,1764786181,1501744160,1193653390,1282939908,1323884649","2915779227,2873748868,3066832499,3100487157,3629323138,7135400671","22551310517,13584547338,6540995668,4787955449,4897133297,5414543738"
RESOURCE_STALLS,"2497616053,4841322773,4395261887,4437749135,5350830929,7672546293","19500171238,34918085295,22127194787,13846106512,9366706167,7850026756","6784637963,14763116492,14261304305,14811638859,17543755487,24811426757","53606856683,124379620307,77138338483,47844000783,32600009782,29660782799"
L2_RQSTS:ALL_DEMAND_DATA_RD,"126070952,199303228,194041919,194290794,194614133,174889093","991993033,1714166509,1212102060,791870119,544315961,483600104","312179122,508394513,505518491,506845367,504035003,454253565","2426301077,4596727560,3268999159,2174750871,1412418123,1181306634"
L2_RQSTS:DEMAND_DATA_RD_HIT,"63270010,145526196,176220234,176289153,175941867,139388936","673352813,1473986153,1147417949,759550729,524889012,460464739","141744820,340005822,362746276,360597229,358558395,295253672","1542681812,3806044577,2733160094,1714742957,1054418217,873186549"
L2_RQSTS:DEMAND_DATA_RD_MISS,"62758800,53699257,17794796,17894085,18600571,35474273","318286299,240647000,59223763,39149972,26895833,23151128","170513085,168378428,143146065,146442100,145657301,159740310","883848158,786775338,555929283,476287848,372685232,341500844"
L2_RQSTS:ALL_RFO,"40615482,59370031,59948345,59921042,60053089,92031245","395316993,556479448,371607051,216384231,118919691,88687423","98297922,148167825,149048501,149147946,149163649,229905248","998887775,1424451882,945985206,541513373,273111741,195442696"
L2_RQSTS:RFO_HIT,"35839031,40011016,40278136,40251855,40269770,71323791","280014026,351018791,235423506,139200217,77256149,59123823","88734875,100105159,100180238,100205361,100148888,179679200","715264569,884394850,595012999,349765387,179810297,121945663"
L2_RQSTS:RFO_MISS,"4780444,19360684,19679927,19678279,19791045,20706497","115474294,205503501,135982267,78426610,40485884,30007435","9528815,48081546,48835450,48897921,49015089,50212882","283639045,539726104,351537915,192820111,94199003,63901944"
L2_RQSTS:ALL_CODE_RD,"304331,957614,1178583,1221473,1304935,2858132","1832745,7048383,5917772,3980979,2867461,2640763","543255,1183433,1370864,1422087,1514439,3361942","3727640,11639070,9045689,5737809,3914886,3532511"
L2_RQSTS:CODE_RD_HIT,"3836,60291,74781,92747,137901,181987","22666,311741,260586,200409,176142,205724","5652,61734,77239,92403,121683,215434","32049,415976,364964,265290,224292,224178"
L2_RQSTS:CODE_RD_MISS,"299610,900105,1103279,1129117,1170417,2666517","1802262,6755364,5625309,3772612,2712993,2381967","530904,1116185,1292067,1329606,1398203,3153562","3686527,11168688,8710585,5525368,3713765,3364948"
L2_RQSTS:ALL_PF,"392750595,466291272,470978300,473553134,474115347,490847259","5250512858,7293837886,4846545179,2826556257,1497230463,1096255399","996748552,1175366884,1180350085,1177093426,1176856431,1247343211","13719781365,19077006561,12672321195,7212531643,3538798809,2473674335"
L2_RQSTS:PF_HIT,"308618888,343571040,367952044,369988691,369977628,302959453","4684316271,6317901957,4236685671,2468180399,1311612101,958770232","777822155,854113277,862688106,859448622,858057005,722550000","12201469028,16410982399,10799983929,5936489588,2845053666,1919831328"
L2_RQSTS:PF_MISS,"83961208,122717787,103096133,103353201,103888091,188086764","567100069,976982565,601324147,362083063,207149856,160726007","219127956,321966429,317921306,315530121,318768592,524173375","1517530738,2663947078,1888301772,1154843561,711012257,579628858"
L2_RQSTS:ALL_DEMAND_REFERENCES,"166978754,259557853,254944946,255301336,256018794,269696044","1388920832,2277148563,1591393129,1023052664,680146808,563264694","411030846,657637404,655964872,657250518,654880700,687504999","3430795048,6032989762,4245877872,2716894285,1703572994,1407101886"
L2_RQSTS:ALL_DEMAND_MISS,"67920532,73854184,38487384,38750475,39633389,58817906","435651583,451780800,199676459,121003998,71472265,54982455","180234564,217404040,192839576,197014505,196292059,213078925","1170653042,1342319110,932261798,655906295,471934595,411502477"
L2_RQSTS:REFERENCES,"559646243,725900609,725885102,728502911,729769404,760623386","6639778481,9569633181,6420909274,3838859617,2192055398,1688815408","1407991720,1833746694,1836693710,1832402590,1831293930,1934795462","17146115894,25100931773,16930369221,9844527909,5299472379,3906382087"
L2_RQSTS:MISS,"151852970,196755881,141613936,142156388,143625852,246913850","1002398099,1428241451,799073180,480774524,277683921,215124436","399331021,539323963,510741301,511849535,514772852,736920938","2687713080,4000593998,2811671424,1833114105,1183738520,980366439"
OFFCORE_RESPONSE_0:DMND_DATA_RD:ANY_RESPONSE,"68243033,58663304,18830230,19003883,19887321,36493809","338400669,260089874,62623157,42126949,29511591,27507802","186539602,181042246,155008625,157876237,157296026,170046898","945453964,847062723,618205636,487351901,432305068,373331635"
OFFCORE_RESPONSE_0:DMND_RFO:ANY_RESPONSE,"5402398,19382881,19715502,19735670,19880150,20760680","123381845,208734853,138359724,79919842,41425061,29713610","11443096,48097361,48994088,48997103,49174502,50409145","308374449,549851004,359515509,197603426,92348865,68128282"
OFFCORE_RESPONSE_0:DMND_CODE_RD:ANY_RESPONSE,"301786,896476,1097073,1130084,1165388,2677396","1808571,6744011,5634476,3772042,2699028,2442963","523755,1119048,1288343,1327610,1396605,3146781","3633472,11212614,8610039,5487844,3718232,3412604"
OFFCORE_RESPONSE_0:PF_L2_DATA_RD:ANY_RESPONSE,"57824936,54025383,38480251,40103681,41490273,69542630","377468956,365072042,201753670,130011908,83675309,69838034","151991980,156936019,150810060,152506416,154457188,230082247","1022183922,1226864602,910735892,583260320,408985249,355556851"
OFFCORE_RESPONSE_0:PF_L2_RFO:ANY_RESPONSE,"3776277,912147,1907206,1913502,1986028,3623851","30859728,21739672,21046518,13300587,7729469,6505717","7291902,1067372,2401044,2783748,2907818,3375523","63212970,57858998,42896064,30107271,16664755,12406274"
OFFCORE_RESPONSE_0:PF_L1D_AND_SW:ANY_RESPONSE,"16402962,62756445,61451477,60213454,59198870,113558850","130729858,564858631,369884580,213129523,112011673,78142792","41174860,150699914,152610748,148580422,149185357,280444405","343039678,1312350280,880672798,514788600,241765400,181994897"
Runtime,"1.13811,0.595933,0.211826,0.136177,0.0991094,0.0942782","10.9043,5.6438,2.01314,1.28749,0.854292,0.748268","3.01205,1.66679,0.607531,0.403349,0.28562,0.279272","29.2899,17.2014,5.9882,3.79072,2.36337,2.14031"
