,20kx1k,20kx4k,50kx1k,50kx4k
perf::PERF_COUNT_HW_CPU_CYCLES,"3939637634,4234221014,4526431799,3150526519,4220281526,8486933469","37931160233,38644841464,14274205206,7121377353,11924347315,12309641201","10669080639,12765355611,12889790468,8847472885,11589473518,24192722970","103521961968,111750209294,40076351799,19926682746,32062026316,29976857358"
perf::PERF_COUNT_HW_INSTRUCTIONS,"4441977603,4822876834,4842088263,3039522287,3472356049,5835173445","63869259218,68382241618,22762580359,10574593718,15794189970,12346077387","11203416970,12178197804,12220989775,7546587856,8771202776,14243006128","166306150781,177958726852,59331345300,27920185434,41402474469,31599116891"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"40352795,62214604,70972326,90375418,226880263,345496452","424485289,447209496,166007571,96022536,368770051,564020239","100763736,161448079,176140414,204558591,660583393,611785423","1100091420,1147789326,425005253,219870024,937438728,1254296272"
perf::PERF_COUNT_HW_BRANCH_MISSES,"138547,235665,401111,233312,285085,495788","1306209,2356411,1025297,462756,765558,733001","285615,345652,502930,334607,429659,569954","3045663,4825161,1915366,894254,1407767,1280518"
perf::PERF_COUNT_HW_BUS_CYCLES,"28165053,30222942,35660208,26509159,39578225,84218506","267704300,288927722,107662477,56950974,113492258,115336841","73971273,88402592,97953897,72055900,108145881,241125816","722493159,849262859,308867999,163282309,312904362,289567950"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"3009036528,3264599808,3855019140,2854766088,4237002288,9119464776","28912411152,31200639696,11623976280,6174697644,12219302304,12529666944","7968244500,9622289016,10567458900,7650422172,11830179888,26028158868","78054399360,91782609804,33386066714,17871288948,33635815308,31128052572"
perf::PERF_COUNT_SW_PAGE_FAULTS,"0,49,0,0,16,4","65,322,377,200,414,355","0,0,331,0,1,95","101,584,116,227,342,393"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"1570481174,1795690168,1799626902,1116667679,1256101819,2192746935","22457621604,25757661684,8591119877,4068963519,5966235325,4596406250","3959630992,4532696967,4537214592,2771902641,3197805991,5400317383","58446479793,67065140035,22447488704,10745591850,15499840508,11764107209"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"464537459,540230069,535846465,315807486,327239083,572416667","5923409381,8264136205,2757833444,1284837192,1835596117,1380378331","1166062482,1364322964,1367846697,799875229,827915679,1457359117","15296085932,21025107027,7044930864,3337081691,4731852258,3512904577"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"91096185,113860953,113806081,73870597,98292991,202626298","659160895,771585891,263036356,121447190,227261024,216815633","227856562,285830948,283821645,178383825,266193565,478737472","1694149422,1968811064,667417809,303108039,560565411,536131471"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"319490,1558665,1983000,1297003,1515024,5074503","11181892,10202897,4263998,2147624,3642724,3080025","592189,1849033,2225891,1506329,1778476,6043771","3991753,13707121,5651147,2755338,4701091,4030626"
