,20kx1k,20kx4k,50kx1k,50kx4k
perf::PERF_COUNT_HW_CPU_CYCLES,"4022772922,4354372081,4785715872,5142632213,6163663886,8472526907","37421350416,42869547157,30136595404,19248063679,11869937792,10822605717","10856101853,12825712986,12839479694,13557318263,16207309075,24170237391","100093328728,116151384536,79384399603,50671697822,30507265412,26850548221"
perf::PERF_COUNT_HW_INSTRUCTIONS,"4441977450,4846868165,4866878367,4944647287,5424322764,5748751285","63869259074,68573649342,44071411347,25330381852,12425112214,9551736906","11203417069,12218428855,12267380502,12316913245,13452886647,14041494939","166306149986,178051952099,116252920535,66017189351,33771944790,25512741519"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"40352826,71939832,78160740,116090994,336957192,318965824","424485642,486810628,366244381,246526700,193198207,202933804","100763792,170175685,198643998,235522465,732443483,557277766","1100091007,1176477903,861986809,586202622,410897997,458251273"
perf::PERF_COUNT_HW_BRANCH_MISSES,"134706,256603,402652,434154,512565,508428","1294342,2427423,2163896,1531033,1123499,1038544","285594,352315,507579,562880,649268,589793","3182301,4878632,3937314,2719971,1733104,1589368"
perf::PERF_COUNT_HW_BUS_CYCLES,"28068783,32423606,39775505,43816154,57983633,84204541","274058210,316678386,235102610,150379242,113234598,106186644","75542053,94335962,102306983,111004698,154208336,243100784","727704357,860243145,622483239,400876000,294654955,267909908"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"3043821996,3504397860,4280831784,4744296324,6291875700,9282319992","29392964208,34151999400,25434528264,16264859148,12246010128,11515064724","8157880944,10159389504,11120162328,11954577744,16458531876,26020474956","78678547416,92368920924,67283035236,43129978812,31515949224,28814194332"
perf::PERF_COUNT_SW_PAGE_FAULTS,"2,0,154,0,0,4","39,21,80,92,226,395","0,0,0,0,142,242","98,306,288,161,229,392"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"1570489732,1804374424,1802933622,1831203549,1974626912,2173740529","22457350494,25793461895,16671751065,9683008358,5097120174,3500640911","3959599277,4539011606,4551093181,4574545305,4881474449,5316442238","58446307391,67100548014,44058111473,25134003631,12631228873,9502104428"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"464516465,540737831,536123778,536879898,538183623,572497672","5929227027,8289850806,5331850150,3148213421,1708717724,1255680111","1165744136,1365470412,1368217877,1367873655,1370215204,1457467512","15282220281,21081362817,14008573699,8197397812,4458410862,3318101909"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"91096182,116409638,114388684,121077695,157896574,203512784","659160896,782626656,550052552,344119668,223840517,195815475","227856562,287483061,289456199,288826372,382310918,456558021","1694149423,1973736606,1390545196,893293936,567877911,499460100"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"312198,1664732,1998976,2056545,2277506,5919494","2021604,10143919,9117451,5771310,4561640,3979525","570925,1983630,2273853,2365359,2536259,5906318","3845616,14275372,11424082,7747684,5801569,5057897"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"68080631,14082646,12063209,12450994,13669823,29758420","335873746,38881240,31218333,20896778,16924367,16993161","184179407,165050550,86553273,85137626,77963281,115163258","945382380,651288507,334249465,281858886,212246402,181436804"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"17356777,4786626,6098973,6106792,6179399,10381238","149383501,9669260,13434703,9785546,9106381,9281952","61344212,15901351,16760929,17727458,18168594,47431145","455292382,19743037,22783996,22809701,22534447,22136727"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"5306912,19518460,19802642,19854779,20093866,20095101","123683492,187561175,120886148,68394824,35568600,25425394","11430467,48863334,50140581,50177090,50632429,49897194","307921973,483889390,317418913,179581162,94430245,66288571"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"1307749,10298107,10167370,10198870,10092169,8661348","51350142,128985265,87466459,51484487,27442311,18075638","2423238,41846257,41946724,43568158,44216261,41105602","122522778,386745783,283233408,166361182,83145601,61217808"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"1570469620,1802287874,1805246542,1828029010,1983379347,2182322411","22457537985,25797741333,16632886663,9419070767,5001183948,3548954371","3959617735,4539164970,4547006802,4573773286,4921040763,5305176684","58446317225,67083261163,43954733731,25134355551,13208865356,9628300130"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"6846,16523,30575,36210,37644,47993","89060,116508,102644,87257,63241,50765","14299,24195,34942,46185,41185,54659","24194,169258,111992,97169,76285,60271"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"91096184,115436826,114726593,120722974,158332968,201133646","659160896,781668221,548001440,340937332,226298488,199387288","227856550,287046318,285430753,292396157,383069059,455468408","1694149423,1977221445,1383703118,880347850,579949277,507283315"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"59,857,1761,2279,1473,1097","810,817,1686,2973,3533,3868","85,409,1520,1725,1565,1878","610,836,1542,3403,3588,3405"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"1936183822,1983071762,2192660528,2377977243,2920217812,4060945821","15295927326,17525457042,12811810118,8311005303,5480565012,5365025631","5838795201,6875475002,6602526441,7341556670,9459311615,14660543522","40847524074,50260547520,34442691934,23403849054,15341817446,14260937007"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"1665415009,940789611,1138376967,1315095224,1815226517,2576823465","11210088307,2001092174,2563559308,1997800379,2060040850,2429191751","5166925837,4019011284,3626784131,4130292197,5769446985,9068648980","30845555822,10404123113,7867531928,6881241538,6355223374,6648694466"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"1070787993,621643507,740886941,772410167,804899886,1372966739","8522572440,1005024293,1369442704,1055807928,1126010817,1315701948","3666968471,2018026547,2103523405,2432711606,2683775286,6464632492","24886710582,2366924355,2590112855,2713647106,2874606781,3511800698"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"1439982807,1352761380,1504013809,1676814511,2163704451,3037061671","10297770411,8202276689,6320583095,4513476713,3403341491,3776757413","4652546895,5121838975,4689591485,5444324454,7133078355,12646580038","29277741451,26191621081,18045910822,13479310818,9660963773,10088185286"
CYCLE_ACTIVITY:STALLS_L2_MISS,"1341561912,715185523,918971658,1080729304,1548553436,2155942794","9422748642,1525179507,2050580409,1679045101,1894029624,2168143014","4380005530,3146491759,2891642465,3346997998,4812906551,8368659490","27914654685,7651443652,5759819769,5630659644,5171577015,5672445696"
CYCLE_ACTIVITY:STALLS_L3_MISS,"947427015,542369116,651398704,684243967,709291754,1239870563","7491043582,886938179,1231757392,1045897145,998784100,1223149312","3323169811,1789326070,1858877552,2157191619,2389516306,6159324652","23046568792,2105269021,2226252818,2433227298,2531589583,2983082535"
RESOURCE_STALLS,"2396822241,2476914230,2562293536,2624047642,2716558733,4291608883","19106053134,20616089253,14120756156,9178511701,5713604255,5378662813","7141611926,8389753889,7717363475,8369448909,9012135786,16615541371","53776692546,59983254329,40777697384,27354435753,16797555624,15957220752"
L2_RQSTS:ALL_DEMAND_DATA_RD,"125998330,150983399,143520385,143189740,143874460,140436132","976296195,1435590390,987396739,629467658,422375568,369046473","310231107,386095002,386585860,389297563,386493878,376560877","2425176806,3729573212,2717206753,1830785965,1251006771,1088383311"
L2_RQSTS:DEMAND_DATA_RD_HIT,"63624378,138586511,132526161,131891894,131378033,111533287","661505053,1401355966,960985035,620244719,421000101,360339010","142750320,246235026,312378162,315172241,319093292,270836727","1545379373,3186646992,2436069343,1611589099,1078387295,927341355"
L2_RQSTS:DEMAND_DATA_RD_MISS,"62474548,12433092,10979112,11364861,12496356,28744800","315370537,32685443,25283178,18652124,13919176,14504289","167510219,140135785,74955579,73756679,66874403,104545018","879875771,546527806,286617693,224799689,177149801,156531373"
L2_RQSTS:ALL_RFO,"40583132,58053489,58766556,58876515,59030162,82448457","396078622,548810190,355971527,207079285,110068107,76900450","98346410,145808380,147214121,147181520,147569226,205024858","998926835,1415951520,932579947,544110424,284070808,205287119"
L2_RQSTS:RFO_HIT,"35920991,38702812,39146104,39183134,39138033,62610928","280134389,362554173,237281450,137751697,73889898,52652414","88890258,97133294,97341660,97283014,97294331,155571029","715824082,932950455,617113096,364018864,192804982,139903061"
L2_RQSTS:RFO_MISS,"4668700,19376456,19623254,19675747,19901122,19841202","115983285,186216956,120811104,68574131,35776776,25714677","9407439,48661404,49881051,49940088,50325949,49449418","283142017,482956367,317430477,180458994,92781456,63746508"
L2_RQSTS:ALL_CODE_RD,"289008,1586552,1960531,1961029,2156982,5005435","1857124,9985945,8654330,5848843,4161980,4118521","546857,1842576,2185096,2262578,2425192,5712059","3621080,13471282,10869560,7379159,5431039,5003260"
L2_RQSTS:CODE_RD_HIT,"3771,92423,179508,205812,265129,440058","24290,505334,572076,459883,512907,629406","5179,108281,103896,131277,170597,330844","24233,644953,485893,347726,302847,370141"
L2_RQSTS:CODE_RD_MISS,"292436,1448350,1779269,1768023,1896627,4537971","1843566,9226167,7900621,5476028,3819476,3530429","549306,1790860,2066424,2137357,2249340,5379093","3548898,12998537,10756808,7007478,5358468,4703219"
L2_RQSTS:ALL_PF,"393191297,425322476,409543183,411387697,415791192,486899382","5266465218,7082476008,4545444429,2615361106,1318798142,946483052","1001339389,1076259806,1066216001,1067963048,1091373905,1248366163","13714690903,17983541431,11885244964,6923786278,3540488586,2648531323"
L2_RQSTS:PF_HIT,"308798679,319434049,313408352,314589044,317069607,302469693","4686609031,6157738294,3955845167,2230693404,1144918689,734008850","779000456,759633768,780651276,780967108,785954872,737361883","12188019893,15330968616,10131169784,5801756688,2922861995,2002224909"
L2_RQSTS:PF_MISS,"84668692,105839761,95961372,96785511,98248271,184624109","570060944,924230828,597276338,345881123,185749770,141406423","222100398,316429295,284794466,286853866,305161594,511284766","1522020931,2652058758,1766381416,1085335721,680231676,541274493"
L2_RQSTS:ALL_DEMAND_REFERENCES,"166221646,210576552,204185862,204256698,205034745,227543613","1385772175,1999586464,1348063809,853105703,548683528,464889356","409122403,533804647,537536893,538341210,535342300,587150574","3425666378,5153460519,3696898082,2351859428,1569615648,1273595140"
L2_RQSTS:ALL_DEMAND_MISS,"66904163,33328125,32354325,32943861,34262606,53184126","434048767,228407924,153335724,91518918,52868150,43327874","177450305,190582985,126733218,126052187,119476138,160525707","1167264218,1040440377,618489158,411853335,267431108,220529199"
L2_RQSTS:REFERENCES,"560348744,635777984,613541929,615672109,620338206,713537988","6638239874,9075819034,5894460303,3452171055,1900469911,1399150461","1410506381,1611870757,1602841563,1605954574,1628012424,1835721606","17141422448,23157378436,15525201787,9261266622,5153230580,3931720878"
