,20kx1k,20kx4k,50kx1k,50kx4k
perf::PERF_COUNT_HW_CPU_CYCLES,"3935167714,4295119528,4625543424,5232749168,5786881909,8468994205","38305854392,38865910044,14453726184,18790126865,11691789927,11298734900","10861857920,12715291718,13056389662,13921839176,17163352250,24187798327","100813896987,112797719528,40519668439,50275850625,31621156607,28935106743"
perf::PERF_COUNT_HW_INSTRUCTIONS,"4441977608,4831746440,4859089414,4932144313,5312880933,5686998076","63869259872,68417747182,22678406569,27185858991,15278214193,12286029223","11203417068,12189319916,12222304332,12353525830,13719320222,14271793676","166306150705,177961127627,59192296020,71031095309,39360620841,31981295288"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"40352865,64500306,74617906,107020566,294847017,288170125","424486271,451161475,156807737,261143652,286534767,563763005","100763793,164268304,176050485,235922560,817989319,665460799","1100091619,1142015465,399711123,594314851,709625474,1385945058"
perf::PERF_COUNT_HW_BRANCH_MISSES,"137616,240262,413920,427058,492726,508716","1316464,2367818,1081945,1364923,913931,760858","284100,351124,506898,570480,692277,631334","3079732,4788411,1923469,2551951,1584589,1322699"
perf::PERF_COUNT_HW_BUS_CYCLES,"27210004,30643175,36043767,45454710,54210343,83710331","273114438,294404219,109139259,159757655,113656447,110014198","75370735,90651938,98368742,118230631,157226884,264493859","736648637,856452941,309398925,441549215,333983933,289197864"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"2941652484,3307795632,3870630792,4937258052,5863025988,9203926140","29338180776,31788839880,11739050316,17090527392,12400127964,11824228252","8133301332,9738019008,10594418760,12776051304,17001329472,28541106472","79414210404,92444517648,33629508936,47674683468,36096348852,31045600764"
perf::PERF_COUNT_SW_PAGE_FAULTS,"0,24,0,89,0,0","219,120,381,264,590,444","0,0,0,0,50,282","236,154,294,306,476,404"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"1570488997,1796026147,1799331645,1823234131,1944400988,2149911110","22457450660,25794239954,8563402813,10212571002,5773654881,4567011812","3959619044,4535062043,4534278702,4570626884,4984430136,5454239518","58446884564,67068621347,22333816477,26751209769,14866598559,11878503447"
