,30kx1k,30kx4k,50kx1k,50kx4k,70kx1k,70kx4k
perf::PERF_COUNT_HW_INSTRUCTIONS,"6695833009,7313416697,7330093786,7474314268,8073566881,9091792657","98016888652,105134200964,69900599309,40345298033,20437032546,15920383091","11203418284,12259004789,12227750541,13214558237,13397690845,18536414295","166306152864,177991426110,116096552312,65345785716,32700217041,24951527530","15710757191,17325108037,11429824554,6715579536,4152787344,22825485619","234592095965,239494684948,155935483721,84374235881,48706934453,30608597729"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"60492290,3652970154,121988256,182033983,454011026,388340449","649744180,737317452,591141071,381756697,2387273576,264831864","100764668,183554692,2416817788,5413617592,839847291,1015220466","1100092189,1194408948,943324539,14264080245,11118384707,531079485","141031223,264704889,193432546,126715619,128607331,3031343575","1550391725,1755026521,1418788259,32903685853,976570416,624261230"
perf::PERF_COUNT_HW_BRANCH_MISSES,"187452,288244,428658,1593425190,508688,527208","1883613,33825449933,29495128925,1949055,1433061,1749325177","285451,375159,518099,564263,12395136954,662316","3124848,4903029,3920120,105230432,2276617,1483001","420900,462945,459674,2128089797,650060074,973205","4081524,4256740,3581498,2324510,10378479490,1551301"
perf::PERF_COUNT_HW_BUS_CYCLES,"42313660,54841940,3853295140,65573605,93496722,4036419165","415762527,501394501,363979026,241200398,175712222,159889511","73543491,93594205,105155467,7672681170,4350013173,251125947","709749093,887735694,650104125,27700182837,21582877190,370128219","104231601,119818957,91842183,62699274,60469093,2368925767","1012738841,1063551222,805989853,534100011,25917868944,511398058"
perf::PERF_COUNT_SW_PAGE_FAULTS,"421,0,0,0,0,0","354,979,879,1084,181,400","623,355,15,0,1886583469,12","1175,795,34,13847121437,827,1931","157,11737047797,307,464,2569193634,687","2178,541,3487,2688,5979428164,1523"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,0","0,16620369739,6009977159,0,0,0","0,0,0,0,0,0","0,0,10458239927,13438453634,0,0","0,0,0,5283534419,220989719,0","0,0,0,0,0,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,5268985331,4403695098,0,0","0,0,5973186552,11880592702,0,0","0,2976181615,0,0,0,0","0,0,10803126437,25842527142,0,111510867","0,11939356203,0,0,0,4487141442","0,0,76620986484,0,0,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"2365217860,5092673540,4083856115,5357073358,2926144292,6027693107","34443786076,60114611026,26017175781,15079958761,7326804050,5415465696","3959339323,4554373174,4551700857,4585566632,4918975428,5837435620","58443617424,67229488871,43245245662,25498902311,15221409647,9783987805","5546353056,13781727466,11141114896,4859937711,1556625652,8122810661","82393657364,97740754158,60177024054,32368314137,28128367646,14388924826"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"700612396,817903801,5033502896,817762850,819633041,4131329119","9057543761,12564770698,8361297930,4840798120,3445301648,2276040809","1172272987,1364560583,1368766517,1367603637,1369438876,1471410471","15401724867,21073292564,13825540444,29984707991,5449038234,3708150617","1644737351,1908762245,1348053303,874143764,2151387788,1896137957","21709548501,29883786062,19784717962,11638264130,7342779857,5369699570"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"136672642,172701021,173200718,183154588,226094022,3472735016","1004014210,33410442585,823655373,7574086367,368555228,352932063","227856570,289405942,284480562,292188974,392929390,1912429348","1694149403,1994226834,1403098200,25963583596,744424662,507221129","319012461,381595534,252279392,198835668,141012184,834913512","2383844336,37812373519,2076283090,1311420021,1033558208,568213587"
