,30kx1k,30kx4k,50kx1k,50kx4k,70kx1k,70kx4k
perf::PERF_COUNT_HW_CPU_CYCLES,"6657721691,7139786492,7762135393,8335399187,9765299178,14847342364,14752500406,15642452967","58361428477,67278403807,46769102360,29861862321,18511151605,17457837022,17049618891,16754973965","11220071762,12863941032,13292691494,14353777571,16615306609,26291251401,26944043323,26107439559","100184203727,119073843050,82696262004,52270882909,32036633278,27804644599,28041930259,28898412042","15409973645,16473964994,11708914165,7862795515,6760107097,35056778807,35671918343,38242644454","141951816004,147394414375,101852538912,63358280859,40330674214,38960069710,38210213462,40528896142"
perf::PERF_COUNT_HW_INSTRUCTIONS,"6695832682,7288887061,7326868835,7461482754,8201770651,9151590379,8787690619,8802769001","98016886684,104854122912,69546376871,39451558840,20194524669,15339004128,13330249478,14715859123","11203417180,12229593099,12412964048,12402739305,13480693924,16901035949,15159412062,17903096140","166306151870,178438899168,117200057552,63385354348,33630193720,22464483534,23102362973,26422917593","15710756346,17414940467,11072123537,5700744409,4609030927,23625457043,23506673721,27132213544","234592093058,239497878243,156466725020,96155081608,49160040521,35253974686,30811539571,35737629263"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"60491734,103638759,121644226,226291009,483802732,663741285,648896121,10362546987","649743292,707246582,524745249,365062080,269374690,282341616,279615161,4042566131","100764259,178149081,205667385,286322971,819651486,3752906065,10090709932,14816816312","1100092470,1183085905,916058668,638998965,579234880,395635566,470571766,10624909301","141030245,263474995,197968859,159534052,121935832,2496522150,3576038142,22202563020","1550389424,1755967062,1553501828,849112006,727825954,5089341483,9977496014,4949441220"
perf::PERF_COUNT_HW_BRANCH_MISSES,"187279,314556,432695,455849,512493,2933083664,2572714797,4005614239","1845523,3252393,2834271,2022225,1427660,1173536,1242029,1923586629","283312,362284,507046,560689,640282,594920,682173,4797662605","2903482,4944347,3951578,2595702,2009745,1517196,7350597001,1444962","382040,469026,8967251466,433862,330977,930630,993549,2418774237","4270049,4346588,3543517,2475854,1491774,1625513,8018590622,5563379556"
perf::PERF_COUNT_HW_BUS_CYCLES,"43435688,3665633119,61812263,65347383,90010458,141751226,142069420,5611108314","422462742,497791812,6359738928,240106051,175410972,2653267817,200702266,3808808627","74512119,93854717,104355738,113133889,160902861,252546980,254373945,2370712430","720004229,886378562,644757683,426039313,364358192,3940832297,5153284563,8080890333","105364815,123391844,91894327,60946960,1459889348,274995705,286667639,11293071894","1027222195,1068324488,791243139,509207046,21608989130,389195067,522226479,558750864"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"4580647308,5848197948,6606037944,7115348988,9911935116,16501860972,15109570851,16116418394","45117817560,53733619728,39577191948,26276026860,19096681608,22373639100,16726162696,18151127132","8047763316,10165665564,11465361864,12274505856,17849997000,27081978912,27212113985,26852504441","77457024792,95933836620,69964546284,47502534024,39182878548,29228277924,38235997170,41786223535","11537456400,13246377444,11064041409,6618921804,6488633736,30334292844,30107276640,32855305035","109884474180,114772712940,86727603852,57838987872,43069462668,42154939620,53474078124,40830105672"
perf::PERF_COUNT_SW_PAGE_FAULTS,"816,0,6432338462,784,0,3669590242,3301080687,3935128094","645,1016,415,642,318,425,183233756,574","140,598,0,27,54,12,52,9485916981","2498,388,152,1385,916,687,480,1754","650,51,84,127,511,481,3541510496,14627703405","831,425,24745477516,2073,2810,1198,7011099144,9608087156"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,1840286896,2594387439,0,0,0,0,344296165","0,33787107235,18254679594,0,0,0,0,3040244749","0,9527296216,1179358526,0,0,0,502340535,0","0,0,0,0,25433403674,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,5660585803,0,48747044"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,1337329833,0,3029768540","0,0,0,0,0,0,4281647249,2716944352","0,0,2273970745,0,0,0,0,1838187998","0,0,31255623343,0,71353855,0,153564780,0","0,0,0,0,0,0,3171738230,8076470630","0,106538569218,0,0,0,21900552,0,642110838"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"2365259746,2703666303,2719593555,2755865051,4941839352,3694624955,3264865535,8090106776","34443856536,59150141125,26301822953,15222044660,9214168519,6056190168,6277948700,11747203368","3959382531,4552615750,4559799726,8055530606,4957536463,5370417612,5426341544,8343009960","58446786512,67376922475,43514128744,25091110922,14592257818,10597164902,9231510835,9469123803","5546416408,13793424214,4044924249,2273002028,1828873672,10626459946,7869318384,7675073433","82396512453,82815245977,54274514542,47258206004,19700630056,14617726922,14129844553,18969322699"
