,30kx1k,30kx4k,50kx1k,50kx4k,70kx1k,70kx4k
perf::PERF_COUNT_HW_CPU_CYCLES,"6588346709,7273592714,7883657490,8364754045,9946903504,14324818722,15434498197,15854465892","58569031833,66984478825,46872879607,29984759348,18408533009,15906470301,16475904960,17494529093","11303392987,12712857822,13400523946,14657557556,17133452657,26240615902,26348587128,26962443357","99519451674,118757934299,83005421638,52498737517,31792151035,27926255227,28079593144,27843589428","15509278051,16089602914,11651034361,7971875277,6779035004,40929303457,38247581247,38148030946","142172074512,142616212481,100889483465,65137116301,40347295145,39548608010,40099120537,38932097821"
perf::PERF_COUNT_HW_INSTRUCTIONS,"6695833117,7295203671,7325947039,7395361395,8097089299,8581619441,8689641655,9679867813","98016886642,105319343324,69064351843,39283200909,20007173101,13827160850,13918176231,13695366407","11203417581,12220278235,12244178284,12522530322,13805405487,14431685182,14507884449,15926857019","166306151655,178234636566,115016101468,67496960645,32505491518,23537361491,23438278894,25913260973","15710756377,17358236709,11067471157,5445935032,4836756569,22834663238,29997549030,25882042682","234592094458,239488538270,156904830501,89725662785,48639217156,34273469572,36564567086,33875667761"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"60491598,103499881,119495074,173946039,528359078,360990838,3678973691,7476504618","649743086,760264195,564022790,354317029,265018732,376248709,309438705,366404351","100764670,176158298,200980241,294913420,977224078,746118505,750206708,4920314916","1100092860,1354657048,939666260,616835173,442600396,406444744,10975016449,12947082771","141030264,266810181,157278233,153211552,109496558,2596116873,2996310172,13924770225","1550392087,1752209367,1540438239,868292006,692242318,418660346,436589338,19750559013"
perf::PERF_COUNT_HW_BRANCH_MISSES,"183865,295332,432538,447142,549939,513306,562999,582760","1918295,3256896,2909844,2120327,1415407,1235753,1324497,2000821290","282653,354330,504127,556018,676377,583106,949620,7744078036","3190492,4919395,3938284,2638937,3648525143,1455788,3294185759,26664507","412184,8028762453,11597711215,2844141984,348592,1922503478,1019707,1271733","4458931,4315448,38907336514,2354412,9644395563,1609988,14205371610,2273261"
perf::PERF_COUNT_HW_BUS_CYCLES,"42392052,55426220,61869326,66291605,92793797,137379336,3028834732,7648889402","422288410,497765300,23686883476,15074887890,171889227,181703615,6716661120,158865296","76490141,94516198,105277984,115314963,158798394,249057409,252323554,281696730","713098036,887555046,21271181204,432890770,329362194,271606416,3887848454,11298535045","107231388,117684024,91975632,63092327,832203387,277704277,9824988194,316352182","1021645084,1061140690,790592033,535002175,395092476,10448791783,476398885,489032194"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"4579498944,6288878816,6715085868,7062308028,10038817296,14663106872,15162708492,17423855892","45142512084,53674675488,39932354484,28420115036,18676547460,16835762426,17193778208,16365887381","8248507884,10183783320,11405499840,12309659964,17205815886,26774669493,27215711964,28537579899","78368285484,95629160952,69870972276,46021868280,41191095348,30165225012,29899118844,39486296449","11569029228,12657319956,9950629140,6824243628,6419773044,29441308572,30166244964,31864822034","110239427520,114555442104,85837625316,58252141980,45221473800,54762829508,53052103440,55492303019"
perf::PERF_COUNT_SW_PAGE_FAULTS,"134,58,20,853,0,12,38,5030872465","1401,103,1597,1522,4577054172,2241619937,87290854,5403795600","143,262,0,0,70,3733903192,6563418502,1648523289","1347,59225261991,191,32474531965,457,7428728353,90658819,1454","669,95,87,158,260287552,3048165274,339,707230371","1868,854,2272,2740,39589343,1253,8018865594,14220213284"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,1818045234,0,0,0,1356176446,0,270562970","0,0,0,8136575312,0,0,6335684496,18897226","0,0,0,0,4549407292,4635604019,0,7672233918","0,0,51327801214,0,21529436,0,14435233071,79151670","0,7971094843,0,0,2248584723,0,6081317425,7686288228","0,0,0,0,0,193053903,12602131656,32381147"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,825694193,0,0,317476537,5425293415","0,50118838725,0,0,0,0,4995467092,4049769938","0,6302648212,0,0,0,0,0,7578594249","0,58656931276,0,0,40639434,9112316846,15241368721,10416154900","0,0,0,0,0,5186193116,2907703052,2230856483","0,0,0,0,13100849634,0,0,20904253853"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"2365257694,4002841387,7601027864,2742848074,4429564986,3265364359,3230741694,7019332672","34445173738,39580488459,26122610230,14898469454,10579496676,6543413919,7171526194,7015297289","3959374110,4526165684,4568333659,4593728416,9176377401,5432287566,5546214256,7154442255","58445438558,80145554000,43463381730,25583756001,19236188079,9077856761,10264026532,21301310376","5546469406,11279150380,4384590636,2189858148,2543433074,11659208650,7916924203,11697852956","82393333703,111918469143,54481796579,30203267700,18114155742,15546426191,14532089801,24996698117"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"700338148,817985255,818634760,817137424,820082612,868843734,870022794,3755038166","9055832184,12574192385,8368991064,4952145754,3322426259,2087587623,2258861933,5626717758","1171454077,1365439984,1367519357,1365412612,1368998027,5706034515,1458807663,1492249250","15400902033,21057574534,13824936013,8389350888,5419704718,4222651483,3586821479,22326194081","1644326380,1912209985,1317160537,822505994,663313635,1895489718,3754476451,8059507372","21690815988,29888673426,80650172200,11330551887,7055420717,5525514042,5195615854,19247265820"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"136672665,176728607,171427471,175565977,245262169,272259179,295151701,4404018724","1004014234,1170599084,35696880672,15224292591,398884828,6842494482,378134053,310845050","227856594,283656102,289486697,297023571,397957795,476731003,4282143191,7002714072","1694149424,2015595395,11549164243,897117064,686363636,670620484,581321273,600351467","319012485,387516607,262244540,182049473,146908270,769436991,5106323405,6704169377","2383844359,2808893549,2065450398,17160627264,941533868,611118657,598548526,6868049990"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"398005,1753561,707059155,2232982,2349095,5706198,5950704,6132229","2330103,11723749,9721550,7347747231,6133026,9267383993,5836169315,5571860383","556361,1897219,2386362,5216136878,2598896,6071002,6141793,7190766","3783935,13775401,11281250,8322124,8133303,10507917,128963648,7378401","740757,2110228,1887160,1466085,2354682904,2952686,3157722,14991829821","4712785,9749803,8815533,6100620,74121135,12007014,10527912,22410060485"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"109629258,1846440212,19570993,19867296,4028490480,46808398,45322076,3463055662","550107159,309075842,43037927,32416434,33842831,49156722,43249319,13590719308","186357335,166371140,86495825,85592461,77473681,6435907960,5866817900,905364168","944227514,668261193,346275431,282503987,5793298618,193038871,209443555,306454091","288962971,11909443810,154423117,152509878,109805143,171509726,3314975044,175212434","1435434196,36206303344,896196214,651141748,6733267027,254545877,7558294106,7431728962"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"32289939,8269829,9993788,10109619,10036167,22687352,1907545534,865413775","254974594,11693527,11736919662,8258941,10771206,17257072,14998004,17250110","61095373,16452800,17549254,18448691,18761038,48483975,7319706042,1649944251","451442673,23519999,21849521,22173536,26512726,41637586,117002906,30401815548","90879737,8648915,6772571,4380559,6376891,28842689,9041815368,28211640","658083256,281720511,199611751,129318062,10058009459,366928087,38375558,39038072"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"6070961,29323160,30174484,30051644,30616336,901423686,29942790,3991251777","177449136,288296078,23539555354,10350241102,67630366,47378185,44449482,194218787","10316698,48683599,8031619094,50092720,50631049,50053892,49973718,1359681305","298541895,484234865,316167222,179351176,104714359,15682947706,66819121,5001132597","15332261,11833685647,44914698,3058625616,14825576,3377022931,8267596370,3159829753","424985950,543003773,360021229,201000096,11552421759,196724345,7542617089,131364904"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"864457,20344425,22367724,22512999,22245328,20175592,19075137,19740386","69865408,222844289,159371914,93690066,57447563,33604943,29632734,10946258766","2311648,40303193,43570008,44719395,45075875,2331142976,2216535543,44359196","123124382,417243015,292947859,167084997,102424922,15126431347,60793057,86788485","4852087,59128711,40686240,15419833,1892929043,64773127,1891035930,4591823325","179087226,313770584,238960733,136673256,22370635380,102151443,93859619,98827987"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"2365295962,2717491373,3966964064,4584253809,2981258587,3186633234,3706349182,6363444560","34445144542,39538701527,25998384276,24784513619,9550691192,6105559589,6098497956,10229744001","3959384435,4542485596,4559998284,4594665142,4939720228,5464056752,8158632317,6838361668","58444946525,67218329244,44134351909,25601795334,16025984438,17786514128,13844637917,20724062257","5546453557,6573794664,4322108532,2126618671,1892436922,10757348302,10197413340,8215024196","82394319893,82818499722,54927323600,30398716466,26204922796,14847574365,30936515525,15355143968"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"10506,33783,36331,41724,39144,49216,5146325975,1276287758","242727,164335,178844,7493938724,47351515,112154,5776902303,34062270","54036,34421,38456,37753,129304,55643,2795693451,9818907916","494906,388908,168445,98469,99862,113817,4663644446,217870","64324,19141,29867,30759,22112,44118,69584,8575557223","1114802,245325,280851,264476,12290541265,15797417977,32095840,8065253469"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"136672665,174883950,171166759,175375993,239329947,275083692,303271005,292012973","1004014234,1177928007,832654644,551101803,365698843,8801571192,348232812,324516832","227856594,292616227,285284332,302536601,398951857,489501113,2063541625,496350395","1694149426,2027582567,1393898719,912639944,706832384,534937011,11836701619,16030709868","319012484,385486733,250263126,3039675257,2182603871,759965442,782692099,2847615151","2383844359,2808904263,39094530518,1285860971,919940163,666527480,636534586,791879641"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"175,583,2899410588,2395,1360,1196,3141,2833967816","1277,346,1047,13855252589,10084,6205273132,2992007679,3289844343","1250,2261,1362,3360,1601,1408,18210,7709263160","12476,29067236269,61435919459,2828,17649,9011,13158,16078","251,359,29886942,3448,3354,1101,2861,6228191906","6338,1504,55954814,11962,8715588750,4533,12393,14570727409"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"3431737061,3651287713,4077601192,4294501515,5162366636,8541224929,8392198856,7328558344","24256213286,37464248175,19534039216,17669504740,9546102822,8734099369,8755837229,9180545261","5874581233,6697815723,7257057409,7881029733,9998466391,17132330461,16559849277,16743538756","41433014386,49272195056,36270478489,22585645588,21005703389,18179817388,21501982062,20757125670","8246467840,7372486074,5751723993,4105296558,4304623317,17267530369,17430983467,19808366791","63345150424,83244412801,60336657014,38104519097,29389951115,26040885331,26280840360,27999908398"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"2997777091,1911319845,2075433238,2215406814,3012804781,5434625101,4430383595,8050371179","18215301557,5071126516,3012353983,9624132884,3267865989,9032922420,11216110623,4715067660","5149797711,8253449805,3988787274,4616694525,6210384659,9404999098,9678441053,8699023248","32826518864,9944012946,7966084592,7753943433,9351163426,11147551555,13907453758,21691359459","7348477274,3289372675,2906893109,2552445721,5439250785,15127680051,12177415636,15016976873","48891428241,32210884644,25022090535,23086358646,16867634900,12109146209,12460416867,11919423177"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"2143752676,1021046130,1436942178,1472846096,1534725883,3140081035,3997481947,6281646807","13712785716,1347825207,1419040518,15581373009,1098104050,9925134440,7225261807,10607575564","3682036674,1957912190,2403706763,2706065883,2802651740,6471937331,10193523556,6078315301","23990116749,2687844216,2657938215,3159697919,3352787388,4398070418,3796485005,13473591674","4998717204,925245772,787202829,573712691,818606293,6097221976,4451243011,15278877289","40035100505,20899280975,17261492890,11656093907,9732454618,5897423906,7357437219,19838432028"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"2592191969,2598060198,2970943583,3130725494,3989911842,6093758048,5868181912,8649818446","16219203632,13521161764,10009205596,7171238645,6398575645,6470577843,7337037490,6389577299","4609412210,4904922133,5281556142,5925763503,7713006041,15136392360,18360800749,14439638228","28518742281,25923119558,19989378360,14763862620,16403146723,17254993344,15448635744,13982476799","6245854079,5095275030,3941024282,2595455083,2941278068,14865268531,14231242033,16160515446","45221334604,38681989411,30593363912,21410468671,16517249069,18404230031,21651423290,39318496769"
CYCLE_ACTIVITY:STALLS_L2_MISS,"2271664664,1486652067,1688257804,1816124966,2822040845,4012661393,3994627289,4306526130","15078387149,3650018916,2519533694,2210034913,2486350728,3771141219,8762987283,6647621340","4330410326,3003117051,3206848598,3630646891,5387016684,8250373171,13450721041,10149234928","27240102104,7252625792,5943091218,6008862532,6825552603,7976218396,10021794299,19974032004","5924979218,9050403304,2354857122,1388220173,1855661080,10666323840,14275940639,13374648891","42186824310,26024489250,20724124722,14022232491,13371719987,9011816288,11001460679,11875596694"
CYCLE_ACTIVITY:STALLS_L3_MISS,"1641743436,894355963,2498394463,1343995644,1354705288,2876979742,2925181280,2718484276","12196990905,1078196304,1177067939,16341200274,1198384584,1777971524,1772121783,6367267015","3317511612,1735196467,2152772392,2496265533,2562077830,5874210302,6181839650,13446543996","22327673748,89184674523,2317911508,2579232251,3093346109,4084451157,8693935490,4198934530","4364389924,796693277,683591456,550214247,1859946983,3981987517,4293014062,3838932518","34844965413,79431433890,58545857024,9754721558,8311657665,5333934307,5863440170,5847411466"
RESOURCE_STALLS,"3844157765,4443054736,4736495207,4746264320,4794029257,8325718491,9156774350,9089478732","30351166313,33208059091,22984915063,20759551864,10744869925,9760243356,11468133563,10618482395","7057978733,8149942210,8420772136,9005691778,9436975318,16057523662,18955631940,16820894410","54263559948,61620656027,44141842493,29924334502,24135383264,19627716497,22446301011,19746519285","9681665943,9653004995,6983475756,4470824669,3765616257,14205889519,15072287094,15507880275","77737045124,72349022475,55234178372,32922317825,31047952763,30148451529,32519597567,40432125377"
L2_RQSTS:ALL_DEMAND_DATA_RD,"194484692,231436376,227466005,229660501,227576154,223810690,221270206,267853114","1502087997,2186868667,1591792576,1074060315,814571394,689563496,717475598,737720936","323399533,390356873,388052892,393423905,387134510,379433588,377838859,401828550","2520282372,3698721269,2740215650,1878008064,1683095337,1223796164,1231770173,1253603566","453196331,537851825,413205785,384684853,427927221,541916333,541368274,589878603","3586443348,8795556640,5947768610,3690947275,2824898973,1675554019,1470284338,1823577315"
L2_RQSTS:DEMAND_DATA_RD_HIT,"92077208,169883747,209806286,211416871,208382585,178649873,176928641,2762649073","985619325,1930166682,1554906390,4082938221,3668573449,3469587212,3987397971,634248093","150681465,246017669,312351218,319079697,320473115,272512784,1982658940,303465639","1641186520,3107779921,2443775933,1657218413,1251170425,1050805953,7224031754,10505452606","181546999,331600886,306930935,254772591,217113608,400688999,5364961389,441441899","2222059411,107322612089,5102554187,3014880238,2441079114,1271441788,16803968915,7387879058"
L2_RQSTS:DEMAND_DATA_RD_MISS,"101712874,61377645,17878236,17991238,19219860,45418713,44508746,50389983","516433104,258233362,36392401,27699105,55585853,43554661,37536673,43928071","173302151,143919427,76145212,74126047,67993817,106393732,100707263,99899658","879424793,586966919,289151199,217757479,169527990,145846820,161021590,197660883","271680555,205675392,129787571,97970644,124580451,141788815,144186245,133745113","1366776936,1195012867,827793168,590157313,440014004,235138335,274052097,175278363"
