,30kx1k,30kx4k,50kx1k,50kx4k,70kx1k,70kx4k
perf::PERF_COUNT_HW_CPU_CYCLES,"6656566239,7264671353,7794790336,8427435855,10007331268,14769664507,15018203162,21199954747","58180437483,67681302554,46597037852,30043654690,18271258493,16749857215,16485770356,16357592546","11186521571,12810259886,13473640139,14571801692,17730859998,26547685366,27183889126,29241840996","99466291943,119259186769,82342700027,52706340689,31695771030,27968357868,28137552186,28090016711","15421976800,16176952189,11839990621,8056177178,6867603399,32124250127,31605247998,39264509364","141824685650,142435477173,101342443056,64043812822,40329287362,39080947817,39958494333,39688647536"
perf::PERF_COUNT_HW_INSTRUCTIONS,"6695833127,7346195511,7339531094,7442572909,8117203667,8662549925,9333129800,9111715193","98016886773,105360719386,66785323704,39653516422,19917864908,14719565133,16365781452,15680043089","11203417291,12272450996,12242611228,12381375899,14302969533,15097703288,15101689716,17744153324","166306151704,178776331245,118812589502,64978122449,36104251814,21739862506,22075424986,24500713867","15710756433,17386521719,11086671002,5680960087,4103765888,22158997466,24277867522,25890655437","234592094746,239476962101,159441907357,93129984632,51544290770,37524358394,40086048657,39671949762"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"60491614,1862607499,125191142,164831315,613757564,452031707,628778321,8391209941","649744039,771710221,577908483,385230518,286459089,271975080,368022058,2664518418","100764360,3448365499,198911403,275336678,918338950,7020954673,2933638516,13397279066","1100092604,1468627099,893963564,604498183,491471467,430678055,450545295,10704395841","141030275,274008021,199753753,165724469,106603064,11409332956,5373052684,3107588708","1550392411,1746637538,1580961514,891936374,665606310,421819850,24783105618,455004460"
perf::PERF_COUNT_HW_BRANCH_MISSES,"186739,1910520924,422922,463543,487321,545227,556257,6722203928","1886337,3291552,2926224,1999905,1390882,1312616,1292447,1319648","314080,353032,2331844992,546402,620027,2393428369,5634810702,4091449019","3130890,4927423,27829847,2778289,1819777,1474722,1480369,9542409156","392105,475473,10157280702,418104,328029,1146681,910091,1152902388","4074298,4561746,111779778,2371350,1720884,1614880,2329913,350951570"
perf::PERF_COUNT_HW_BUS_CYCLES,"42806748,3697001822,6462305874,67044736,91923469,135882658,138963017,5600008058","431435849,498491427,367137869,248996365,174530263,211632035,2486352883,189762079","74479579,94309337,105896345,6873032269,173554761,252101466,262352673,970687542","719592332,882881948,11304658798,441524338,310942490,270572971,10533261947,6995240430","107487565,11949183484,94453469,1102113217,60851765,273317295,1031718102,7922399323","1024452993,1058283158,797845229,510392546,384376184,401765539,483997112,6166911862"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"4623416712,5836893480,6679073160,7142019048,10077472440,14763091860,14907146155,17413448556","49984800084,53818068384,40683704073,26246233980,18870398064,18556247988,17270841492,17365899881","8045080488,10161302364,11392043904,12533739228,17641632882,27069880104,28222347705,31093569336","82119016188,95343954660,70160728500,48951391716,36775007390,29851542684,37025632332,28912524057","11610681588,12791556504,10141318800,6583994172,6517362600,29688843260,30683417783,34319936261","113623741332,114254171352,84191266845,57674203200,43629073308,55011182832,56118299040,41084570179"
perf::PERF_COUNT_SW_PAGE_FAULTS,"139,762,0,713,0,12,533,424926681","1247,34,1162,818,4623090006,3946620191,427,4629746778","140,385,0,0,1,12,6063572133,10337353173","2125,835,681,344,1055,649,1061,14053397422","901,0,5787812035,83,384,2035700687,5518431545,4335511237","863,387,1867,5750,2517,1696,1724,1788181318"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,1870735358,0,0,0,0,0,708933170","0,0,6040788678,18252435887,0,0,0,0","0,6356023668,0,0,0,0,0,3928556219","0,0,0,0,0,13778015587,0,0","0,4108535196,0,0,0,0,0,15141036409","0,0,0,0,0,0,0,13611597829"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,3606494540,0,1285115891","0,0,0,0,9094830234,0,4903869673,2676709552","0,6177375663,0,0,4383246324,3341415571,6165021016,8538842800","0,0,0,0,0,0,4188623497,5749328153","0,4072749131,2800399092,0,0,0,0,0","0,0,12827260543,0,0,0,0,8003883741"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"2365265592,2712390639,5218167784,2759063243,2995887620,3259190390,3212020926,3387318604","34445469330,59892626544,25889709405,15097064173,8784280126,5651005088,6401861035,6519114750","3959449286,8477058859,4554336404,4585183610,8145124141,5404647042,5455674189,10308111167","58445487118,91955742171,44620586824,25642582140,13742668347,18918321317,10508162732,14699907734","5546408545,6566210928,5086447033,3635361375,1689903940,7785406161,7770436064,12496529780","82395440686,82817394419,72452365490,31752803838,21907547397,14741209364,14210027595,23754512636"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"700434105,817831176,818454729,817416427,818820754,868961035,869564869,6947236110","9057135078,12545092994,8280000994,4987263925,3171028910,2094345137,2374455397,4491585981","1172221957,1364213929,1367135923,1366073252,1367418583,1456048934,3979406645,7588882760","15402140589,21068800833,22147860197,8430745326,4862049129,3991395380,3891077801,19583676000","1644249572,1911897241,1307367993,801789995,672225850,1895410967,1895611620,8442910135","21706354324,29883696637,29718592703,12015817448,5932753862,5293422340,11228739950,5459139966"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"136672665,170273761,169281311,177590289,247116557,302147368,1966699859,2571579609","1004014234,1231558815,843155701,547698733,412509979,281936602,376156738,340805748","227856593,295742064,282741628,290944529,6281162560,463254946,7188485480,9190900059","1694149426,88587706942,1406263529,872886837,707554426,657130498,5858689701,614522478","319012485,383019850,261598723,188960141,135004301,770118293,739102396,7364728826","2383844359,2809184297,2160157141,18074247582,12893663753,613954743,623005193,721680872"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"404692,1669523,2122654,2230178,2328458,5648804,2934026993,6273513","2552066,33413465898,6157995042,6910191,6428151,2928512002,7366926,73374349","568458,1818255,2329457,693971879,2589583,6073114,3894200862,9047381897","3780626,13867054,11748838,8353892,7048014,6347352,7986113,7052362","735368,1927231,1955610,1423845,1294492,2882104,4737343291,12771245676","5037319,9815735,9297947,16911652414,7041542,11877554,7760188698,32886636321"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"109418138,72653297,19409575,19723941,20649167,47567597,45962288,2257832534","550389054,17959744372,45633451,36570831,35160135,48401595,40288629,34077380","185954352,167825041,85698642,85202490,77128255,116412559,112285699,7979261471","946656997,668126947,325441579,300289177,264546151,226835947,267949392,4470212927","289910040,229205317,3058784720,120447766,97299938,172458438,165448251,4626204975","1433800734,1348719428,958352577,473655634,634209540,28313419373,453022810,14173343477"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"32302942,8247718,9645715,9237229,10518657,21415974,21334677,7946296024","254985398,9924166,15238789,10138104,12303802,17298963,11562888,5640990418","61712935,16463770,17381485,18593025,19279157,2030238993,2680508687,4282272876","453231736,24028656,19489362,20972161,26635630,31514295,35482215,18428278","90945318,8534542,6610059,5273737,5269824,27056112,1461350109,6337799265","657472028,282544902,197060971,114471986,21066127583,35474042,51751523,16671175250"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"6011462,29369272,30236987,30425953,30147805,30028850,30143623,3496641689","176948279,287296569,189133251,108096904,71774440,44289939,8888540354,3236129602","10237560,48696243,50153184,49831502,4687521502,50064347,2037590301,6732344367","298705477,486588510,317434707,183543713,111288393,72974807,82439243,165889434","15459964,66887795,42334635,20076151,16936527,70025477,3177557588,8571094859","424334523,545920581,360031100,203918960,129552165,127792990,32094627002,14127165163"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"820916,20365114,22706584,21884635,1798585703,19193781,18896416,593411836","69961183,50418008716,161922570,87483968,66187761,29918038,39169158,35833755","2364456,40625062,43973407,45003535,45566735,42041389,40846749,9394481923","123356659,415773758,300668683,169365748,102850284,5003763417,15379955807,5340987278","4862695,59145837,36779335,3993206439,11664170,64529854,3073229043,64761496","179218986,315619630,12988953100,144248768,85775800,87665728,126048712,24264500933"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"2365257354,2707792863,2723650362,2752240230,3000142090,3269300933,3448337408,4472830071","34445454138,39605604182,25793830696,14961854990,10163078793,5690168154,7899566395,13521052904","3959387869,4540340777,4552715187,4582214028,5075609846,5421917402,9812275992,13149232860","58446854254,67015363087,44068289665,32848514405,15933963554,9556552798,17258068965,18164201489","5546501878,6559232876,10605897536,2259733352,1641839545,9280348738,15360502743,18197154970","82394171825,82817975090,53521942432,30563610742,19960353112,14009951350,14240517131,16718774307"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"18451,23074,34819,36710,38546,1200611810,1039781404,2942828613","294052,145083,159216,184545,30671913,57730838,5433783502,144633","36502,21842,38784,38073,40331,54058,4891635115,102752","268998,162319,174415,161151,104150,155164,133809,11993096931","35445,19600,67090,41368,20809,44481,75469,4038521730","1037868,195337,209280,816993,320896,16710863038,169588,7335558543"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"136672665,169857628,171967452,178058836,237040599,301395760,349856892,1216611762","1004014234,1227805689,6628232249,568232999,441011677,325285327,388047832,420920601","227856594,289786783,279409081,291722728,395463519,465050457,2161188258,2918519853","1694149426,1951304589,1391363102,871917894,697423046,564637831,525825992,15358611916","319012484,379672933,266207524,191346110,144051932,772668902,2511528109,1189134651","2383844359,2809212213,2073780235,1311007555,14678373394,645540587,24379378331,978439849"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"661,1725,1888,1574,1581,1185,3442,6044","1417,321,9218,5070,10883,11626,18304,18359957","90,429,1189,713393878,1675,6443,3003,2719360382","2335,1783,1113,5537,6027,4008,4927695235,11551","1722,337,1479,2523,3730,1410,1640319435,11089978780","6235,9210,10066,8499,12918,21860,7902,5486497354"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"3247753421,3620293610,3930340091,4106654113,5177837650,7276281669,8098416475,8072803113","25013979823,28491870893,19500522382,12756999738,9541504322,9340801513,8990610551,9122854203","5652106992,6810045056,7278791534,7997451309,10294911350,15573915816,17383593897,16200207204","41694040565,49727499523,35028573975,26127571634,18333436411,17637845724,18391612591,17307964769","8597692530,7486032445,5744451249,4246973206,3926283008,17704387421,17905682460,18398417713","60820653893,83587020004,60221401452,37613500359,33933996219,33301301723,25082648209,31341351109"
