,20kx1k,20kx4k,50kx1k,50kx4k
perf::PERF_COUNT_HW_CPU_CYCLES,"4074088515,2203438885,2505488896,2704327435,4353961493,9652886470","37753595208,21599463118,15012883820,10027615300,6965199465,6286762875","10779492984,6663748597,6925301150,8177425928,13515534377,32156001930","99477452771,63232245989,42245169702,28393102871,19189070080,17589707258"
perf::PERF_COUNT_HW_INSTRUCTIONS,"4441977515,2385120164,2293053478,2366250441,3712328297,5531806272","63869259572,35473516152,23125020142,13314627584,7363540196,5379461908","11203417400,6081029107,5693161620,5983132518,9342211505,14326966491","166306149880,90857555758,60299536597,34350469144,18029137317,12883948741"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"40352776,32149607,41997956,43222574,145461203,215262162","424485897,262596318,203169900,120689710,83120698,94502369","100764104,105246752,98772830,113681628,470314620,642237312","1100090963,674527933,437054005,271026805,211266657,216267348"
perf::PERF_COUNT_HW_BRANCH_MISSES,"136739,131535,251754,294264,383624,477999","1267082,1266914,1095582,771210,630181,557823","299879,202082,299946,354376,482909,678597","3125145,2643533,1965128,1337588,918039,788660"
perf::PERF_COUNT_HW_BUS_CYCLES,"28179804,17075741,19801987,22265946,39118048,93608650","266234170,154484298,118206042,75361668,64500678,58947258","79588256,48118878,52867603,60277693,112517823,282104800","720801787,454130829,329493390,216571062,174595095,177778222"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"3042078300,1842988716,2143003860,2410099920,4389424776,10084071276","28674433368,16664975064,12784259376,8126415360,6723447361,6277898477","8438714784,5205881880,5727778092,6536072160,11969384220,30805617996","78845338332,49038004260,35999443008,23422189464,18815121324,18853284960"
perf::PERF_COUNT_SW_PAGE_FAULTS,"0,0,20,0,15,0","271,68,177,108,271,374","58,0,12,24,161,4","586,99,18,121,314,516"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"1570456673,919070943,866965277,892788148,1347193034,2090341983","22457074486,13681138600,8911337188,5235744163,2790157295,2022115749","3959385603,2275627169,2364775221,2319868978,3436755516,5402635814","58444156149,35630487596,23134723950,13807788520,7143962733,5084933808"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"464595388,274391714,271981628,292691459,404993601,571871812","5933326011,4383850084,2838963634,1721843618,930958640,674178091","1166423122,687588942,759833328,776476225,1044559822,1456076494","15311721314,11113708229,7247514994,4413753432,2409719316,1674138115"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"91096184,59393772,61246938,65540446,101154179,178523816","659160897,427253990,280487796,179627033,117619877,103226133","227856562,151069678,153432831,168868749,258846868,480068356","1694149426,1072702188,738529969,438715847,285287353,241929558"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"331867,828170,1113782,1265697,1794589,5302396","1755781,5681380,4805176,3199795,2549016,2296564","585570,975972,1340743,1464960,2028371,6238063","3768860,7523588,6170849,4070810,3200276,3000959"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"68951855,6707118,6097533,6523803,9442234,28524935","341169910,19090973,14027678,10254462,8123171,8517480","186012419,84561781,53978726,62689185,68203651,113469301","946642472,340365954,161944054,111496079,85586564,93467990"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"17346927,2211888,2217091,1934654,2801333,9253419","150218643,2877063,1812802,1088211,1148100,1212866","61421672,7898120,8174111,8146860,12743691,49455970","454318462,10281851,7106302,6976072,7745541,9294166"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"5303093,9753851,10095186,9879721,14497867,20557835","122794124,98204896,64691476,39840614,21390321,15318834","11374736,24569328,24725077,24719389,35371014,49640873","307242825,258205512,168178876,99655633,50944503,32950290"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"1278087,5377464,5557986,5213371,7382744,9196862","50608988,65138398,47876342,29812259,15790810,10704397","2359801,19871698,21408693,20731902,31135866,42659019","121579821,224780192,154716569,93460002,48651743,30154615"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"1570447788,901312473,907115824,897907801,1356187727,2088204587","22456956975,13544683716,8762784098,5339114566,2773176219,1892827984","3959505336,2328500588,2309299602,2319315594,3477398317,5327740493","58443999348,35850943781,23203945533,13827866838,7285902691,4653670131"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"18815,12014,17332,74571,27304,47261","118414,80488,57305,49098,35852,35508","18174,13352,18535,25351,31165,55954","87512,87287,78898,51601,48843,39210"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"91096186,58659676,60248390,66482448,98454258,179296543","659160899,412652814,277472453,180963039,110485256,98998948","227856550,149284474,149702418,165004028,265207944,463046483","1694149422,1118000516,738249580,433510196,290956001,238961731"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"141,529,964,1267,1202,1138","1443,449,1604,2163,3345,3885","121,371,827,1147,1275,1691","1626,647,1153,1652,3128,5234"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"1886601598,1024833074,1159867905,1294287363,2006083567,4738177509","14647503295,8823957480,6147609366,4395400401,2790623316,2669801912","5796422768,3563885127,3611322601,4578185991,7986657882,21480305912","41755531846,26146310966,17848050482,13119334633,9351153585,9518522597"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"1610303065,423317594,547334743,593979676,1091527782,2566103412","10759291748,902362243,966421312,656490897,737159384,974615394","5118048902,1959849848,1934717413,2556090441,4504829578,12288844004","30326834343,5325628725,3792852783,3158461812,3135556340,4867972412"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"1045315140,288141901,311890156,305656355,471021702,1440744206","8555202840,377227184,312312051,214896571,224261068,285470612","3670327258,1019953947,1091230146,1441633942,2555532606,8659517060","25798678730,1387209818,967949617,1110034003,1370173164,1773689244"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"1390844582,690311798,792235125,869929622,1451621968,3703427640","10112606955,3720649223,2921840461,2270878435,1639168466,1838751435","4579159165,2603594748,2546323142,3367171263,7245844075,18811050345","29849203954,13442736776,9430604173,8081709062,6220097718,7226157443"
CYCLE_ACTIVITY:STALLS_L2_MISS,"1294033112,335586348,460810028,472532464,919569772,2205798817","9321936848,630842454,789261456,521066962,601274460,845977589","4303922261,1583448481,1548125276,2042176877,4150581009,11096739742","27689164056,3875186924,2741157355,2623702877,2627632861,3846237926"
CYCLE_ACTIVITY:STALLS_L3_MISS,"915285843,254040736,277874247,274540087,430233552,1326127213","7649134123,308845195,254561126,182323965,219148810,275939390","3281652127,941111093,968890970,1275015337,2593258426,8172270659","23039714944,1095225999,810933148,985115934,1381035485,1822102673"
RESOURCE_STALLS,"2345143752,1274682439,1270316455,1371575987,1937695052,5085513795","19315603963,9881243419,6744178592,4821136947,2909425131,2845070770","7011731924,4244618573,4148927411,4951517776,9236989133,22394278169","51542114741,32386487423,22091521189,16031489766,11086962238,10905279652"
L2_RQSTS:ALL_DEMAND_DATA_RD,"127908141,74314490,86774562,107287248,126682649,140286112","994692536,752188091,508321402,339133657,213311737,189658632","315915156,199031624,237254259,276442010,336469843,373653523","2431911306,1964649984,1339199469,903785917,630734627,530621340"
L2_RQSTS:DEMAND_DATA_RD_HIT,"62773195,68328954,80965809,98454779,119864936,112731518","667902658,737419302,486158294,333155915,217257110,178954740","142289385,124588133,196314367,229107275,285009559,275876590","1535868311,1656054316,1246478152,796932512,529702330,450660437"
L2_RQSTS:DEMAND_DATA_RD_MISS,"65228510,5967309,5540220,5677544,8399460,27183275","326488264,16632910,11696561,8085001,6369397,7549405","173772526,75774719,45070801,54474696,52522747,98938627","895409120,296136896,127154194,90989046,71002614,72072388"
L2_RQSTS:ALL_RFO,"40478166,29072146,29816426,29055851,42721663,83426416","394859026,278249009,188653752,114037341,61648289,45167208","98255720,74168437,73775796,73583655,104111280,205335290","998180553,740757919,501370246,287975345,151604822,110970764"
L2_RQSTS:RFO_HIT,"35877204,19370977,19666073,19394427,28374980,62936487","279766379,184736257,124712031,75907620,41221547,30542874","88843408,49820136,49246673,48798374,69021078,156328164","715250943,486257970,330642572,190662841,104830536,70496850"
