,20kx1k,20kx4k,50kx1k,50kx4k
perf::PERF_COUNT_HW_CPU_CYCLES,"4062234006,2327161930,2479663785,2697105327,4238539528,9377308563","37587144288,21433342486,15015385102,9970376955,6872975263,6322086906","10292857505,6580446054,6979185531,8144424026,13441024659,32555037550","98867738401,62842363384,42425044413,28393923591,19352614673,17620657934"
perf::PERF_COUNT_HW_INSTRUCTIONS,"4441977534,2441641489,2254281643,2373816228,3692003720,5589084143","63869258983,34815650113,23448896732,13294197015,7321728472,5649147524","11203417025,6353270217,5741339245,5832435795,9325876053,14279363276","166306149401,89063061888,58614062427,35093882507,18127707932,12462732572"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"40352827,34491739,43017276,43074556,152622739,230290849","424485308,264499474,178425931,125071462,91653873,93099130","100763733,100277401,93274552,109529511,451709073,646647344","1100090761,665235360,482124463,278250230,194604286,229284695"
perf::PERF_COUNT_HW_BRANCH_MISSES,"134567,131583,241380,291750,373827,498504","1226338,1259405,1098080,820526,548878,526391","293901,191021,365383,351820,485506,578278","3057117,2563825,2004038,1361451,882251,782027"
perf::PERF_COUNT_HW_BUS_CYCLES,"27225700,17058287,20081560,21074392,39039756,92745973","265512417,155470638,118051670,74704271,56509921,53833521","72882959,47981659,54120708,59201306,111811025,307748816","736915521,451828757,328534692,223662519,179432244,153752608"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"2948878080,1838231856,2162787300,2255281272,4246778808,9778501548","29103064956,16829474040,12756286872,8058208392,6428790504,6074254044","7871032908,5182163208,5836030956,6375811752,12053386800,36469273932","79567649928,48756578976,35815527468,23940793080,19464385500,16583969376"
perf::PERF_COUNT_SW_PAGE_FAULTS,"59,0,24,0,11,0","82,0,56,127,319,484","0,0,0,0,212,155","152,28,133,147,532,562"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"1570390980,903953350,879070195,892334805,1367614028,2105033110","22456308480,13345042334,8766884943,5310334333,2853550134,1966251816","3959304890,2339052385,2372189095,2244951838,3423549019,5337089772","58443510981,35734026196,23524513560,13574181998,7035108759,4843228134"
