,20kx1k,20kx4k,50kx1k,50kx4k
perf::PERF_COUNT_HW_CPU_CYCLES,"3947378439,8124716629,8009708894,8242991870,9752065571,12989273029","37987784727,78788599822,51162532417,32190553360,21204089963,18104287776","10611534662,22785963082,22868594633,23793756739,28405180180,37701023256","100652989909,235647353947,152546676514,93420723268,58718227552,49218301012"
perf::PERF_COUNT_HW_INSTRUCTIONS,"4441977614,4805219188,4846866433,4908183877,5138443851,5624612814","63869259140,68435968162,45048476955,26158996132,13813928556,10059318966","11203416985,12108252745,12183158939,12330221655,13082056083,14247901114","166306150611,178316996286,116892427849,65818270400,31942417170,23468783277"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"40352832,59516416,75640086,102182164,217947175,260639782","424485409,454947781,360772342,262333619,195834472,197856426","100763757,144411526,186547617,277714918,636645576,710057052","1100091597,1230699284,949434150,667539297,468301656,447090406"
perf::PERF_COUNT_HW_BRANCH_MISSES,"136699,422282,544145,552727,609378,579743","1287764,3787800,2928841,2033578,1361342,1194569","284822,861910,949168,985970,1092463,967169","3140182,9591271,6483440,4256612,2511987,2194275"
perf::PERF_COUNT_HW_BUS_CYCLES,"27252265,58290804,61195244,64194663,77102305,105185368","268228960,560102461,386411556,252077340,162998005,142238651","74251540,165348106,171971532,186688354,221383462,305835309","735380009,1694247817,1159795040,728190144,448535540,394322776"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"2960185572,6302980620,6589636668,6908850360,8222168124,11191112568","28966781880,60541573572,41845350204,27038224044,17492319468,15792122232","8129740176,17646720012,18718747668,20264045184,23975465652,33470460900","78977370708,183046508604,125396459100,78661725588,48378936960,42122380824"
perf::PERF_COUNT_SW_PAGE_FAULTS,"17,0,0,15,0,67","100,0,13,308,136,253","15,0,0,0,0,0","612,42,139,23,492,631"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"1570556347,1797400583,1803765078,1822523148,1901021046,2145575870","22457655554,25790980907,17023794631,9919530463,5337843739,3891848915","3959667834,4527622112,4543396145,4602902706,4814302058,5437842775","58446994167,67381775564,44475220305,24996131633,12492818409,8515584267"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"464274139,650467799,651129485,650805748,650191839,649762909","5932958110,9036603553,6044027512,3570614486,1986370434,1490164811","1166688979,1630271315,1629804136,1625199785,1622960383,1642063598","15308978151,23437945482,15656254298,9107154829,4745654858,3570994445"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"91096185,112359626,112179162,116115351,134379581,188576052","659160897,771264311,553445361,357751150,231072965,205011799","227856560,276462140,278665928,288754697,339602996,477583582","1694149421,2010140070,1400860100,914554030,564226157,479363865"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"318758,994715,1241181,1286513,1361001,3001677","1953836,7662512,6253142,4209928,2989679,2840969","599196,1261297,1471693,1520686,1635361,3650918","3869371,12701947,9582073,6274287,4131779,3707963"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"67968052,58556118,18973858,19101301,19834438,36571526","336712001,261260184,61675838,42612542,31086884,26525338","186013609,180112192,154140946,157453179,157921631,168983897","944780863,847531823,601840043,501791732,430071560,386625610"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"17306520,5975147,7173524,6896744,7061683,12833023","149298805,15951124,11184551,9757490,8620690,8790737","60966390,21841550,23459539,23255098,23208012,54166745","453488674,139415539,58612639,40801821,37976955,37274605"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"5337909,19382261,19739966,19739427,19874633,20770160","123560193,211667270,139466246,81072665,41477812,28660939","11452953,48085480,48914622,48994203,49142166,50445116","307687786,548998542,361153067,196122039,93085646,68791693"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"1355587,11769330,12315018,12732864,13373493,11359314","51223515,119392721,87506368,53371790,29258442,20442425","2291132,39503123,42025015,43976338,45846843,44121103","122471310,403195852,289487827,160582279,79079956,55491011"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"1570530328,1797581360,1802696859,1818162199,1900164248,2144744393","22457677052,25791658986,17124848175,9920569507,5309120895,3904781233","3959640516,4524133655,4547218325,4591402331,4809155125,5430540093","58446740807,67373370571,44452926786,25148028950,12348931890,8840470421"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"16906,21261,61069,166685,53213,42846","79579,207259,177435,233040,112653,91026","45372,26332,69457,45132,67372,88436","27085,633460,158315,108328,167653,178431"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"91096187,112782239,111874963,116332397,134006624,188396497","659160899,770212091,552773081,355869447,232358689,212353771","227856546,275572938,278111179,287006177,339729657,481619899","1694149422,1993665289,1408554763,914865511,567960321,483034511"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"80,422,2863,3722,3583,3207","851,792,4381,6477,4389,3589","54,755,4423,7059,6729,7411","589,1347,19571,11788,10698,10506"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"1922164577,3644705029,3109456062,3302053255,4196865698,5606425308","15444480578,25296530836,15269819600,10083428276,6901673612,6219666122","5466741121,10998337388,10656231585,11299137396,13778674647,21193677983","43071963555,78484470538,52042756500,35045422439,25353257704,22963315476"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"1711041094,2065148761,1549740689,1730378522,2400938219,3197882885","11333498341,7699299914,3558571540,2844201190,2397454476,2526275761","4812647186,6454354457,6455267082,6957667444,8969668011,12922734968","34066531409,29552160832,20699449423,16806795953,13862538772,13803189790"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"1114728549,847961582,988894850,987831110,1193642450,1873067755","8346132261,2039228777,1532329493,1317398428,1291999068,1455623039","3275151420,2981402191,3218109296,3265964896,3801603754,8555624699","27302032677,14501257388,7208580163,5082864939,5197009133,5413229550"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"1493180926,2839690094,2330455400,2474336477,3361276958,4579184119","10480844088,16859981384,9674251495,6695193121,4998016397,4711550262","4223969711,8942125141,8614388407,9184280387,11605594695,18730761925","30524022223,57588062768,37644707304,26285859006,20219071995,18595018133"
CYCLE_ACTIVITY:STALLS_L2_MISS,"1397098506,1785329281,1345528367,1504892330,2230223230,2895919800","9685935141,6444485433,2991724441,2438406017,2274548851,2427814231","3979348124,5702137240,5702947016,6270447329,8153888031,12076328586","28021785212,26169103541,18155974847,14288224286,13233492793,12423156045"
CYCLE_ACTIVITY:STALLS_L3_MISS,"994962506,797557013,917499265,951973127,1107376916,1782681228","7880887425,1944244584,1437962321,1239661628,1213084298,1258433917","2902797186,2800333922,3026348607,3139229793,3610421010,8130267917","23082096200,13634192761,6751741834,4893351553,5026077486,5219077330"
RESOURCE_STALLS,"2445659820,4826772478,4347331885,4445529054,5309188181,7706270520","19280704452,35470010711,21755065087,14026261983,9265917959,7993793636","6723172456,14543026566,14184974380,14696563176,17390823739,26576417509","54325216522,124124189276,77292791821,48225706976,32875909370,27725445273"
L2_RQSTS:ALL_DEMAND_DATA_RD,"125742467,199922173,193962857,194295939,194805088,174777661","989482331,1715488588,1206592437,799179414,516215966,470796988","311734276,508191345,504947128,505991399,504628957,453769013","2423784199,4593574296,3281654179,2177430688,1442039547,1245541709"
L2_RQSTS:DEMAND_DATA_RD_HIT,"63546768,146414110,176339899,176271213,176102029,139327451","674992040,1474830790,1162318501,766409772,523607681,452104777","142306143,341033575,363364726,360551369,358914650,295057303","1544938415,3803519996,2725763881,1695115994,1038432937,876071072"
L2_RQSTS:DEMAND_DATA_RD_MISS,"62095553,53527586,17766191,18095811,18733612,35515854","315840857,239842255,58474985,39970213,27137742,24291357","169411089,167102415,141322248,145632803,145356265,158585877","878820462,790111977,550062025,447221265,373276579,347430626"
L2_RQSTS:ALL_RFO,"40601590,59393383,59917731,59917382,60054825,92039263","395328304,556119894,370365173,216818560,119182188,86240907","98368268,148170970,148989166,149133781,149144399,229873373","999121966,1424985701,948218474,541906201,268586585,195456233"
L2_RQSTS:RFO_HIT,"35903016,40052488,40276515,40255513,40269932,71340061","279588834,347972797,234808193,137905063,76106882,58150565","88841898,100116231,100196680,100215360,100174048,179665211","715795604,886409320,595056796,348670230,181029401,126908476"
L2_RQSTS:RFO_MISS,"4754771,19352407,19636290,19678826,19784189,20721038","116041194,208098674,135696437,78945703,41583404,29175615","9514957,48067810,48805262,48838568,49002286,50222744","283328970,538444167,351851819,191918879,91815913,69450149"
L2_RQSTS:ALL_CODE_RD,"302807,946687,1177534,1206445,1284361,2852977","1872450,7273268,5921606,3993303,2814178,2602776","556397,1195730,1378886,1433630,1529077,3402261","3741553,12053850,9055664,5879852,3956865,3508944"
L2_RQSTS:CODE_RD_HIT,"4020,59522,79805,93201,126896,188918","21950,377781,302721,199048,172331,217278","5482,70127,79069,98052,124737,234252","31264,435210,404889,280894,221214,228604"
L2_RQSTS:CODE_RD_MISS,"295346,891032,1095924,1121722,1150813,2654340","1853588,6876505,5617314,3771082,2618183,2309224","547246,1130779,1307187,1328794,1399910,3167843","3662726,11587300,8586249,5597620,3667082,3246120"
L2_RQSTS:ALL_PF,"393381024,466577932,471267301,473921724,475760391,488915446","5256230823,7304891127,4821840838,2838303862,1540095935,1124700856","999512992,1177426278,1180691520,1176009081,1178187853,1247241515","13740434496,19101211201,12641472446,7099010330,3545254236,2584627850"
L2_RQSTS:PF_HIT,"308795496,343227447,368292738,370278154,369731765,302534088","4687506650,6321261836,4228889260,2462638011,1315975954,909457727","778961071,854523403,861119328,860030746,859038281,722049432","12217945234,16408921165,10780084303,5907515461,2817811670,2009160416"
L2_RQSTS:PF_MISS,"84712866,123127636,102970044,103619514,105669458,186405228","569691159,982598651,597614135,362774061,208659026,160597028","220651855,323223739,319317084,316430253,319383696,524799675","1522457458,2663449818,1873155444,1156770097,702163697,597378470"
L2_RQSTS:ALL_DEMAND_REFERENCES,"166580324,260296463,255218280,255336378,255928143,269697218","1387023350,2273803811,1591336437,1018433590,669861152,570210209","410486267,657549581,655360909,657149699,654900154,687277007","3424096628,6032465945,4237203725,2710423971,1686232651,1441698874"
L2_RQSTS:ALL_DEMAND_MISS,"67025162,73762059,38524656,38848640,39837947,58837617","433834795,452057102,199607309,122368444,71096911,54730676","179008853,216433610,191584357,196198481,195839459,212590585","1165780066,1339006607,906876121,664578984,465709195,422245288"
