,20kx1k,20kx4k,50kx1k,50kx4k
perf::PERF_COUNT_HW_CPU_CYCLES,"4115577102,10445477213,14991941419,21101861645,37115430027,52048367590","52132874266,131723295065,150301944910,191502325854,295170403889,377835503671","10871813463,27588632566,40185688446,58319470837,100115398038,134114544557","137743922599,346985977916,402001470404,545169436127,790333768504,964564323517"
perf::PERF_COUNT_HW_INSTRUCTIONS,"5741563307,6675052222,6858740496,7200659003,7968667115,8658165721","81389702586,93028235320,93754514684,95217296530,98358557570,100959377164","14479245037,16821982348,17309852179,18176070256,20095635603,21716429766","211972858121,242252509677,244156279069,247916612533,256052640535,262644128172"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"121696046,274927061,346564331,439737138,647587022,821025398","1289000619,3315588663,3610041940,3981343479,4811601991,5469765142","305066643,689413162,876751957,1117877444,1621419870,2047100336","3340941787,8605199626,9393488696,10377981076,12531509957,14219321827"
perf::PERF_COUNT_HW_BRANCH_MISSES,"537365,1249755,1629451,2020190,2435500,2989050","5388335,13481105,15315885,17621368,20319230,24624465","1255559,2863682,3640309,4423713,5290679,6289027","13558992,34099428,38271310,41938312,51697021,60168415"
perf::PERF_COUNT_HW_BUS_CYCLES,"28547987,75885619,110775273,164124325,311578443,434179673","372357453,956294163,1128302654,1678435474,2282666846,2999848080","76136876,198269336,294065951,482999746,722715155,1005352404","993803651,2474469360,3016584016,4125509469,6128610523,8034579780"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"3099946248,8283029148,11994651648,17722483596,33648776928,47102836968","39929187312,102947050872,121761140904,181371993048,246611914092,326990113272","8219486196,21464806968,31812431508,51550992864,78768792612,112634463492","108136963764,267888048048,323929935936,447090335748,670916025000,913233790584"
perf::PERF_COUNT_SW_PAGE_FAULTS,"0,0,97,0,261,335","107,2,257,148,487,345","0,0,0,0,0,542","536,219,4,250,0,394"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"2097516671,2548896815,2578523087,2643772817,2790988917,2942482478","28360753685,34663125204,34769197527,35048113007,35687779421,36201568262","5294711196,6431319323,6504574123,6670034527,7026867636,7384679834","73926123308,90351229055,90611476463,91340221955,92958590422,94221822006"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"623857840,806120201,809317538,824157820,858713839,894537409","7160229166,10040714731,10028253000,10044310837,10181430125,10224610018","1575938793,2043109745,2049767676,2083514589,2152860202,2240012644","18671857863,26215839457,26231208518,26183187395,26535737796,26604845488"
