,20kx1k,20kx4k,50kx1k,50kx4k
perf::PERF_COUNT_HW_CPU_CYCLES,"4131675982,4947253777,7604766080,5769085595,9061614694,41376279291","49306674957,62392990298,99650232596,93028705538,109759068766,352698294416","10498638308,13674708336,22274698648,14820824558,21488229928,100458331637","128802536918,166665556941,277606740291,180627011539,272701909361,762408115468"
perf::PERF_COUNT_HW_INSTRUCTIONS,"5741563249,6655909658,6726737245,4076098410,4609733962,8235982173","81389701601,92930164404,93209320277,56051673505,62808226799,99402185907","14479244966,16775679304,16983523740,10150064372,11371518237,20740770607","211972855155,242019357430,242739377188,145420503866,162453109631,258767251797"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"121696185,269175629,307752561,197399455,259163856,693360771","1288999275,3285768414,3452550773,2116573377,2553113043,5051389084","305066521,675343640,785144240,465954229,588785503,1776819088","3340939725,8534472062,8981893417,5384915612,6361937135,13139553980"
perf::PERF_COUNT_HW_BRANCH_MISSES,"539842,1180403,1564728,1115704,1482061,2529476","5416202,12377819,14307416,9442350,12753631,21235963","1255881,2743867,3500104,2435492,3082791,5219553","13527848,31299015,35356544,22788670,29910747,50439720"
perf::PERF_COUNT_HW_BUS_CYCLES,"28932250,36891334,62591255,51208641,99016681,385649482","356207626,473941268,807384184,568023804,1045453303,2918739157","75025239,101452505,182009787,139588726,221723635,839374587","915852690,1262954314,2194149976,1600662863,2813215932,7470770375"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"3050589744,3985367796,6768031068,5483005344,9775020312,40938272460","38474317476,51179247972,87198611580,61286345532,112757981688,315798490224","8104652928,10956623328,19531930716,14989826484,21697096536,91097173296","101274015240,136422176652,238149669996,173275722648,303703135344,808617238784"
perf::PERF_COUNT_SW_PAGE_FAULTS,"86,0,81,0,122,0","40,132,0,211,303,742","0,100,0,123,321,0","128,311,249,0,617,1861"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"2097507815,2546460685,2559051427,1540483577,1708397481,2878256246","28360753106,34651922177,34693691652,20819376724,23199417442,35975741299","5294712174,6425165944,6459149497,3863929894,4266513701,7255921435","73926123970,90322869893,90414748631,54164931676,60261372103,93704594304"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"623918673,821807572,841971847,508268046,564295178,904147736","7164366965,10107414555,10185183041,6126769014,6832921471,10503449873","1576300957,2074788207,2112183809,1276676039,1399835135,2341408142","18672590899,26383611721,26498634770,15946210641,17728069971,27427255658"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"197835801,201844339,206831308,125778860,138296989,227637297","2238383885,2260149503,2277648026,1375108572,1533283848,2370001163","496230816,503505581,512827102,306837292,333873221,548853902","5796396450,5841010311,5872213710,3519758745,3905774054,6055033960"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"177082,363767,575705,1908166,3178942,1451046","1615822,2423173,3701539,8665787,15354851,9652117","389869,717848,913211,2182808,3737646,2034254","3882671,5572016,6705046,11333702,18561358,15392030"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"79456252,26790974,16359045,13473357,16960414,35365095","332252850,130992277,106336405,82952993,104078234,199868580","207628140,126391951,116522257,69476085,63040836,130165763","914128129,612299146,545992849,343977777,322281849,666272995"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"4093696,3071182,2585185,4079457,7186099,14600911","53911943,45816711,45995182,40114622,58720067,113181725","17183774,14784128,12366548,12215466,22199563,48544369","157553457,141670764,135994260,108230568,156232324,337062854"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"4693120,4840688,8595186,6702510,7305331,13139349","89990726,54303962,45819014,38604197,44368481,81376313","12491581,12801126,11824482,10509425,8879036,26110082","206298298,146900700,78539041,71747429,56242661,161416892"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"162364,330520,291292,2715201,4003410,7866563","1022981,2529068,4445390,19177934,26636676,50078475","348186,539794,480347,3999811,4728191,13070593","1692329,3220470,5652363,27869484,32650537,83230470"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"2097499707,2546406477,2558940950,1540574548,1708499131,2878666049","28360754031,34651878707,34692746820,20819582801,23200138503,35977379605","5294710269,6425174652,6459120716,3864018683,4266523825,7255788687","73926121609,90322938857,90414615687,54165535999,60254342100,93702750022"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"137,8480,32478,22689,78270,179435","850,4702,17842,26969,338586,745667","87,19427,13197,58877,195809,362636","6605,22144,29021,282229,1036495,2079988"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"197835803,201834575,206833100,125798993,138321637,227684573","2238383887,2260156078,2277650419,1375170433,1533285451,2370009214","496230816,503504916,512827582,306839683,333875653,548832880","5796396450,5841029433,5872218953,3517986905,3901619188,6055088053"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"66,685,2300,880,1756,3774","126,1250,1076,979,4981,25320","22,736,1696,1831,8656,9066","617,2162,7402,4531,30210,38082"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"2812265111,3293381444,4591146581,3932100035,5613089572,15321558166","28631630402,45021741720,76559494736,54091243837,83744002562,210548461750","7106744221,9652302445,14068843701,10164931635,13571878751,35778150083","75539180061,122494879987,206051317810,142551528782,211753364399,517402036640"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"1386377555,885728897,1266858070,1594410492,2595225137,10424454040","11573902659,9322730633,16383816730,15945484118,27727608885,96463571020","3952195095,3536033421,4847069116,4210471392,6360219846,23309410796","32249271101,29688383771,47715556928,40593967631,67448995036,223086404813"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"506494840,366717119,614083286,1033819716,1651189664,3910622673","7245113264,6216509617,12830912845,12665120093,19319510962,46083493008","1719615626,1439009755,2515995031,2470103057,3965540890,11509606747","20591639226,17729615217,35909605724,31169775286,45314636645,120269060034"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"1745507480,1493600586,2727863517,2743460880,4281745609,13099267247","19273294041,21863844112,51849712793,39643547106,64093390074,184682331400","4820606770,4987993915,9184865954,6968621438,10069010718,29881555490","51864677470,61723679564,143930140182,104633365662,166941491896,445486424362"
CYCLE_ACTIVITY:STALLS_L2_MISS,"951378694,661017796,1064708680,1406492865,2370880233,9943557237","9237816132,7473533996,14614802763,14580356390,25750564273,93024730973","2945774715,2680881216,3919265905,3592425940,5701906683,21844693895","25281353191,23431446488,41519397161,36572216087,62020117021,213011619011"
CYCLE_ACTIVITY:STALLS_L3_MISS,"403707970,331128799,577707282,910565754,1571481288,3744975629","6652860575,5757460759,12153665624,12077591189,18674472321,44871290444","1464904432,1269815525,2353619221,2374598879,3705036193,10965391278","18212085100,16060245466,33973847098,29425549068,43322857257,112044657655"
RESOURCE_STALLS,"2239610373,2398109150,3536071742,3309185297,5429863635,11329457270","27170347935,34092431623,66266255733,51740802165,78797989278,197580965799","6282008220,7303575078,11421288267,8823767710,11725510817,29199094920","69920966830,93495572409,182017908320,131563319853,197183475222,480608421794"
L2_RQSTS:ALL_DEMAND_DATA_RD,"186541216,233927908,249687903,160901392,194264489,329366645","1111220721,2158698790,2244154700,1411614495,1669704085,2750541654","473130086,620877088,667879378,428080036,494917314,865830940","2806468861,5769659735,5955969377,3747123584,4326260137,7096952004"
L2_RQSTS:DEMAND_DATA_RD_HIT,"122830230,215108992,238722354,152398759,182156684,303435131","839345339,2065107080,2161940633,1351303106,1587712758,2591968747","307667569,536772000,593737339,383045840,456204008,784566393","2061183808,5352406299,5578888807,3511613900,4105432805,6688224398"
L2_RQSTS:DEMAND_DATA_RD_MISS,"63690950,18852289,10956022,8522662,12312695,26068521","272117372,93599797,82508756,60837732,81704182,157548646","167372352,84198470,72817968,44928141,38719432,81282719","744815960,417288779,377327632,235277982,221029230,410857359"
L2_RQSTS:ALL_RFO,"43687301,45954532,50408717,31867857,35755837,57703334","592314701,619622330,641957184,395618144,449942841,697936220","109996535,114277334,118541360,73523382,80340829,139256910","1544008270,1600421975,1637163775,994704562,1113360247,1748834146"
L2_RQSTS:RFO_HIT,"40140510,42799450,44265653,26691989,29228315,46053835","517587117,577644679,607410725,364482532,408862767,623403196","100476636,105298728,108882631,65496176,72658087,117515010","1372878759,1484599611,1567913754,933736350,1055933991,1607493563"
L2_RQSTS:RFO_MISS,"3508001,3172156,6160503,5185690,6530229,11617516","74735209,41970344,34562052,31194929,40469215,74416473","9527671,8973941,9664378,8065529,7728061,21744023","170995381,115768802,69253959,60758406,57573998,141911187"
L2_RQSTS:ALL_CODE_RD,"171543,339902,555079,1901122,3156037,1417587","1521125,2274646,3591216,8667730,15089779,9547262","383824,699697,896272,2161261,3679996,1961205","3701270,5591140,6522540,11173586,18212612,15101430"
L2_RQSTS:CODE_RD_HIT,"319,10642,28649,1243047,2209518,208067","3056,49173,127042,5382741,9914116,871407","465,7086,23198,825975,2032176,218394","6822,29495,91819,3848749,8653457,1344651"
L2_RQSTS:CODE_RD_MISS,"171488,333635,527352,656168,960127,1210247","1478806,2210512,3451860,3277955,5202940,8616833","377278,680926,877463,1334945,1654676,1736847","3788112,5507597,6531904,7308213,9606532,13747393"
L2_RQSTS:ALL_PF,"672707938,850646229,827934801,493832584,538960680,842144055","9029759873,11190670494,10849742119,6480050557,7127250911,11142761633","1720720140,2216408601,2184549144,1295390399,1400141826,2367986020","23387874323,29591123478,28830805439,17183178907,18823708255,29940018727"
L2_RQSTS:PF_HIT,"462098680,650564003,631887459,365543573,383052861,578006657","6312789844,8808190648,8591070459,5118337952,5599621306,8708690975","1168160931,1558500401,1499108664,853725511,896663940,1470883045","16339727915,22717211646,22209481086,13129206997,14470469101,22829197019"
L2_RQSTS:PF_MISS,"210714445,200094365,195853654,128457482,155933387,264023602","2717319500,2381637029,2258186364,1355934147,1525550959,2434733587","552429718,657920424,685551700,438920453,505019364,897494912","7045587676,6874619367,6619921118,4052525790,4351937234,7111882860"
L2_RQSTS:ALL_DEMAND_REFERENCES,"230277868,280258224,300618216,194646830,233309044,387418752","1704994696,2780714939,2889827730,1814350619,2133760471,3459015231","584652441,735858989,787380010,504047449,579195613,1008489059","4355277048,7375612639,7599952084,4753375841,5466609792,9033425552"
L2_RQSTS:ALL_DEMAND_MISS,"67261591,22356273,17609079,14335168,19828478,38865346","348389664,137877434,120503635,94235836,127466248,240471587","177378358,93861647,84645340,54335744,47926212,104731339","920737465,539117216,452898004,303265814,290236579,609990538"
L2_RQSTS:REFERENCES,"902833966,1131017704,1128656050,688566673,773041435,1229635774","10735203512,13969736679,13738896574,8278586673,9260212909,14598053509","2305137675,2952632835,2971738503,1793332635,1980070182,3376887143","27733354987,36966946711,36429049565,21922667931,24291650918,39017665806"
L2_RQSTS:MISS,"277993100,222463890,213557645,142921319,176335022,302961637","3065532009,2521074104,2378492377,1450249706,1652989024,2674579825","729565435,751898022,770196580,492142377,553333960,1002393681","7962471610,7413282463,7073695539,4349105594,4642501100,7736503159"
OFFCORE_RESPONSE_0:DMND_DATA_RD:ANY_RESPONSE,"79444855,26812397,16369423,13375835,16871741,35010067","332271466,131114675,106516672,83075157,103580311,200246474","209602929,126371197,116693705,69233281,62556487,129326906","914256508,612666875,546716065,343027902,321190066,662222011"
OFFCORE_RESPONSE_0:DMND_RFO:ANY_RESPONSE,"4636889,4860520,8590806,6685515,7290403,13107628","89876320,54184028,45860608,37304060,44136928,81430495","12541635,12814307,11808246,10293912,8927720,25886799","205662250,146121890,78607196,72222389,56993116,159460170"
OFFCORE_RESPONSE_0:DMND_CODE_RD:ANY_RESPONSE,"173074,340496,525723,653448,952212,1200078","1578672,2343193,3427727,3353213,5177919,8603339","379514,681645,866208,1332167,1647716,1730385","3863224,5480666,6465227,7227042,9568123,13467089"
OFFCORE_RESPONSE_0:PF_L2_DATA_RD:ANY_RESPONSE,"146787718,152305155,148737213,87796182,106743141,177686525","2063659441,1889795430,1808912516,993283572,1072793070,1628999419","380815579,479475968,508564802,318210474,372421809,629601488","5316640965,5327701304,5246972000,3080952334,3286299331,5121335216"
OFFCORE_RESPONSE_0:PF_L2_RFO:ANY_RESPONSE,"21966204,16921556,19124479,18598556,27723443,47299950","148382575,142038409,131102758,135305446,204335950,357416473","59869495,66219728,65497822,52097949,56080819,136667310","384398063,476983510,396942869,328922031,347323052,733427181"
OFFCORE_RESPONSE_0:PF_L1D_AND_SW:ANY_RESPONSE,"24862514,20973462,19757165,14918762,16181797,27549871","426467557,299806952,280100641,196563171,220689028,392102139","66228999,66035225,64503959,42404066,49250944,75187047","1123170041,839983243,785467839,528638747,603914589,1030124419"
Runtime,"1.17052,0.381813,0.220773,0.340127,0.466826,0.31938","14.1483,4.79658,2.77092,2.91742,3.13781,2.82559","3.05512,1.04298,0.627993,0.806645,0.929182,0.77774","37.3947,12.7847,7.43681,7.04554,7.10206,6.88994"
