,20kx1k,20kx4k,50kx1k,50kx4k
perf::PERF_COUNT_HW_CPU_CYCLES,"4112398055,2870021052,4400121388,6454136360,15361222706,34410302492","47116325825,32895027481,61465835697,73434525587,142148255079,303702228265","10483851761,7431843995,12081135230,18582273162,41804347479,89359669097","126052262330,87566533115,128365512301,226833945967,423882582762,760498559866"
perf::PERF_COUNT_HW_INSTRUCTIONS,"5741563238,3428034092,3699411918,3923337334,5431009497,7943920577","81389701066,46786013243,47959029208,48863890471,67605457220,98457190028","14479244959,8630099897,9292176006,9855109407,13622919534,20043585001","211972853586,121790398759,124710567602,126936263921,170817104594,255725589482"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"121695994,140959890,174765211,207666904,359481249,615590299","1288998674,1667740296,1819468995,1952946195,2938820524,4803520602","305066560,351909328,433009804,517707327,910201768,1574095612","3340937969,4324129928,4675184158,5017673402,7505273619,12276563835"
perf::PERF_COUNT_HW_BRANCH_MISSES,"535588,611710,906393,1093216,1577000,2576488","5401194,6233719,7587487,8307746,13010249,20935095","1252159,1392938,1981496,2279168,3333230,5202943","13575057,15580538,18363357,19861611,30900765,50177122"
perf::PERF_COUNT_HW_BUS_CYCLES,"27973158,21500560,34100809,50401190,149127364,300799930","337105677,248444988,387508495,575993413,1355267477,3051695127","75149470,57124510,107308183,172157791,404987726,866697437","924143688,644420004,1121627283,1912680549,4487059551,7273749052"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"3021909876,2321277156,3685998816,5515159356,15924822408,32495178490","37562870124,26837087184,44216171976,73494533160,162841109688,318075386407","8115685812,6150656052,11586854520,18585664416,43755667452,93818933496","99595609560,69681171708,126282838392,206591772528,483257548224,785112748560"
perf::PERF_COUNT_SW_PAGE_FAULTS,"0,111,2,0,0,0","112,17,124,0,594,393","0,82,151,313,610,0","190,483,10,0,0,355"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"2097516768,1316429924,1449698729,1527023215,2014049984,2841931509","28360753853,17462866142,18018013060,18301218559,24327528878,35834795886","5294712071,3319354492,3650655921,3844487732,5074049050,7161164432","73926124436,45503409362,46930466615,47665395397,63272295644,93215298337"
