,20kx1k,20kx4k,50kx1k,50kx4k
perf::PERF_COUNT_HW_CPU_CYCLES,"4274433147,4674665551,6837835356,13427127825,23359494809,39344785413","40581110459,42501076792,68740401390,109731065897,156775792065,244742988126","11742093644,13175255958,19950754300,35801135946,57255579564,89500224055","109543723592,114048433209,188134201975,288565195765,403872606582,583426288519"
perf::PERF_COUNT_HW_INSTRUCTIONS,"5579949094,6052928029,6687989928,6864821761,7383922996,8013107324","76067627311,79858354170,88384701625,89133128604,91452565610,93857915565","14065133280,15238738956,16821099808,17287142906,18579134326,20277447576","198077343242,207914883842,230039928303,231876078650,237650236827,244132548743"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"126611368,209555461,328843604,401037096,530953717,717879823","1061773050,2011327830,3351696212,3631308876,4203823642,4831689236","316771577,522319426,822898355,997089633,1334425581,1778098461","2748892843,5208927121,8697669850,9409137980,10898772737,12524150034"
perf::PERF_COUNT_HW_BRANCH_MISSES,"491751,949655,1625754,1930914,2343963,2824908","3598237,7723428,13235502,14399732,17710583,19895393","1098463,2072987,3515227,4121580,4953485,5884567","8782032,18725375,31989314,34165234,41757846,46255423"
perf::PERF_COUNT_HW_BUS_CYCLES,"29988311,34857604,55746536,112388739,208820325,325746853","283509824,320408871,551386640,927294779,1364777387,2118367401","82538509,95678834,158580603,297509724,511722568,784203526","765218221,862062648,1479258185,2348953135,3950064772,5144131847"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"3239904564,3777739164,6100736112,12114293148,22712439060,34922832228","30613293252,34668537840,59426325936,100121222556,153016574400,228984326460","9103585320,10332113364,17043697548,32200460712,55211459256,84768519492","82840593960,92892771396,160618700592,254820271248,426965477940,556037035862"
perf::PERF_COUNT_SW_PAGE_FAULTS,"15,0,120,158,0,23","122,0,272,222,0,0","78,125,0,187,351,254","672,735,196,604,0,2"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"2069516261,2247081885,2568083876,2595905476,2710147437,2855059804","25536093292,27345995461,32054129649,32166430805,32709880225,33205675661","5223560299,5667261256,6472129984,6537758169,6822159249,7194831911","66582185343,71291910748,83543983884,83819704084,85189904332,86488928186"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"716165476,768411891,936352211,948289591,990467825,1017767631","6864814202,7497216549,9908821976,9961452311,10167742746,10257195114","1812616358,1942811890,2352977278,2385850744,2476132871,2557070544","17968222804,19615907901,25841790820,25979680625,26436936077,26657113342"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"171125382,174376600,180832393,185367610,192878262,199053945","1414342215,1430107069,1457579241,1472361213,1509622686,1539069511","428210816,433400790,445788040,453803319,467665651,476495550","3651073303,3679050930,3733457156,3758558617,3839399304,3887981275"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"167639,329999,399533,585616,797432,951993","1182328,1958593,2255661,3427374,4500467,6300089","367809,682445,729690,946302,1296960,1446987","2956475,4627823,4774425,6424397,8875995,10873255"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"149622048,66246317,16443340,20896333,25482297,29435167","585355862,245133260,82761285,112865258,130983870,161220840","315613570,201074811,187027036,155092068,167018357,153894253","1251126913,819663044,769634982,664988156,720484670,673902287"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"4164011,2619836,1828000,7773550,5773166,12544901","34888262,30083232,27476577,52501182,47284443,84995249","26982136,17935886,11008211,29323307,19036584,40932023","152620907,112506275,88274998,168167420,143571772,236853680"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"5476192,5640657,9548958,8615778,16147733,9822166","39021497,39321773,43125517,46787585,81805379,59774042","11520618,13378968,18546601,20550320,25033785,23409665","93249594,107993902,86827802,108027311,135387045,94508600"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"124521,171263,159073,2912506,3299518,5268931","626009,1301932,2268488,17025579,23596510,33109001","658454,557034,414869,5634635,5768069,9662654","2685370,2878084,3252705,29307073,38522426,46426506"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"2069519494,2246990881,2567658574,2595749983,2711629322,2862999288","25536093690,27345879955,32052443314,32163900557,32716609084,33206006411","5223565953,5667112300,6471609762,6538208460,6825262007,7194816855","66582181622,71291905609,83544795926,83819976470,85188684317,86496056170"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"16588,13048,52753,50983,61019,101546","3728,4214,13383,107924,398869,783211","893,32558,122562,130692,161328,195837","19122,21508,33776,245331,1218772,1477350"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"171125526,174379397,180833832,185365117,192935159,199089118","1414342359,1430105090,1457577657,1472612864,1509657279,1539114889","428210780,433402344,445778865,453761921,467640852,476435173","3651073267,3679064572,3733477301,3758392141,3839396538,3888775620"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"394,848,761,647,982,1874","700,1043,1672,2425,2828,7148","435,406,630,710,2706,5272","1202,3259,617,5106,14087,19097"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"3081395590,2696954297,3775565889,6141699497,9966720275,14641378618","19946228765,19072686439,46466923253,74038602759,79172502538,149320513257","8412284876,7720200959,12441250042,17512256183,23816641291,27059182954","54669969631,53729144913,134321223686,172588797204,282368588690,373174670318"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"1984902811,1379760995,972180465,2725742118,5370826335,10181495484","10349340950,7979516319,8363701375,22722743581,26512861338,71434901571","5757099392,4514351323,5259500564,8895421062,12521830437,17024129764","30084226324,25167900291,32267133791,55145240501,99348005603,158049685581"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"423399851,275915319,310199126,1420893625,1674633022,3291121257","3896803040,3452268323,5691851906,15407584148,14000511794,30247712793","2480499191,1389855416,1580430959,4496051225,4808855232,8096303239","15323862805,11704490712,16465565096,36401367588,55126820928,85537277492"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"1936873742,1599697498,1787002150,4235801771,7825432936,12335890534","12648118983,12303777936,25087720362,51987144801,54278642008,125713687481","5640526559,5036046130,7285588325,12234403165,17995554575,21118554861","36475113740,36316275891,76365992510,118217905349,222286449047,311954476455"
CYCLE_ACTIVITY:STALLS_L2_MISS,"1364315521,969488248,782325119,2527055581,5095902308,9864525505","7503328384,6114376299,7634457387,21246337667,24260304795,69007221312","4119420238,3349503088,4048030183,7726122841,11137429821,15603301894","22698435577,19504138937,26533957347,50105729566,92037424183,150859074339"
CYCLE_ACTIVITY:STALLS_L3_MISS,"374570585,220376717,281931979,1421468526,1599617854,3130974657","3544066576,3103366629,5449472899,14757931451,13274187883,29284686019","1963470885,1194562718,1445318159,4220491566,4490504560,7612722791","14648655995,10521058160,15515362186,34355398493,53675187442,83134419715"
RESOURCE_STALLS,"2599843908,2269940511,2640407026,5091428527,7347131798,8887089925","18867602386,18737337575,35824430990,64370691086,65735082619,124532858501","7253335537,6877544228,9675957192,14496635816,19403091786,20687968084","53064819859,53234092389,105272432032,149147545642,256621165949,339627361938"
