,20kx1k,20kx4k,50kx1k,50kx4k
perf::PERF_COUNT_HW_CPU_CYCLES,"4240854502,4674361992,6834742133,4929711785,7229289766,39034162844","40367443314,42351662217,68612001624,51628800605,71625133432,253288937168","11568931857,13196791015,19914112524,10994758150,15217272951,88645025384","108970844255,114742618491,188340043315,131955731968,188600030027,581641942426"
perf::PERF_COUNT_HW_INSTRUCTIONS,"5579948914,6051842746,6682012665,3941036202,4446548167,7986104094","76067627152,79857799316,88375914998,52735328317,59049938967,93892226012","14065133004,15241883625,16824304864,9803295281,10945430087,20219042473","198077343836,207923598056,230041820671,136726136693,152585921555,244165348313"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"126611228,209277156,329237553,200027395,260077279,687293671","1061772713,2011858672,3352576637,2024250398,2435030097,4849249848","316771339,522814472,822961813,471724380,589216209,1764273818","2748893021,5212129030,8695337522,5133365189,6046753201,12568155320"
perf::PERF_COUNT_HW_BRANCH_MISSES,"490320,946635,1622840,1148331,1537666,2804026","3594836,7709679,13265132,8652271,11642972,19774210","1095941,2071609,3514415,2455644,3225726,5877749","8745409,18741236,31854121,20394284,27357217,46278322"
perf::PERF_COUNT_HW_BUS_CYCLES,"30029526,34995560,56384996,42746592,76880137,319508241","284722982,320711979,545276147,383939120,748767557,2384587200","83159147,94374170,157164807,99888138,199482827,777991082","776097574,868839340,1509602585,991518273,1817289150,5394810865"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"3231456912,3772665792,6030422820,4604100876,8849976588,34438340916","30813345396,34641785556,59140716048,41445054324,77497857108,257094240912","8977799700,10221207984,16949594016,10824855120,21423760164,84250773612","83397690864,93833196264,162998962884,107062632468,201953817468,572072638752"
perf::PERF_COUNT_SW_PAGE_FAULTS,"11,0,0,94,201,42","56,46,366,0,519,9","0,298,0,186,0,22","586,188,0,0,0,0"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0","0,0,0,0,0,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"2069518615,2246836588,2566898692,1502078746,1660767107,2852241780","25536093194,27345931711,32052668863,19064506730,21225556872,33192169024","5223565040,5667184673,6472296227,3766677858,4144456021,7191405723","66582181003,71293353905,83545126029,49591334330,55124124691,86471365652"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"715866319,768482300,936355793,548137719,592306647,1017607137","6865375209,7497711184,9910921221,5891582906,6532370504,10257349042","1812287689,1942779707,2348485068,1369769986,1497785982,2556954465","17963940230,19666417832,25842708309,15320610739,17022696642,26723428960"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"171125382,174371013,180834491,106422196,115415196,199056060","1414342215,1430082529,1457578669,869511595,962803287,1537647382","428210816,433402346,445798391,257475510,275133713,476629335","3651073303,3679062058,3733458906,2198683934,2418383489,3885471182"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"158122,292763,384108,2002096,3538334,1017932","1129898,1760323,2282932,8895466,15554902,5727824","361209,648724,730428,2284358,3757954,1548343","2839945,4282967,4564052,10716821,17053090,10390615"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"152773038,67085178,16544618,13856003,15582835,30123719","589905562,248295362,84888064,69035669,85750002,163594511","301624027,203466617,185371680,97508842,84042498,157932755","1291917741,833079892,785178405,395881247,374020264,703437929"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"3159812,2540364,1833757,3269990,6478463,13045392","34009816,29694722,27442521,27444298,44873577,83022340","29322158,16454439,11260552,10100521,21901854,42508618","156538475,114061210,85122996,73965404,130656156,252556708"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"5145319,5810943,9571280,7457279,3750466,9696334","36770456,39990071,44504508,36242180,33146408,60078629","12140315,14174552,14854370,11225170,13394061,23511254","134770139,107090537,88820579,59772170,74260516,138753880"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"104165,166793,162108,1977885,2291563,5283034","616660,1326811,2142924,12517543,17485583,33111863","702474,530195,426990,3569378,5021600,9642495","2664495,2830153,3205944,22410014,30557328,61631022"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"2069513530,2246920432,2566962158,1501976730,1660658432,2856221230","25536093813,27345933409,32052761765,19064788471,21225786634,33197127185","5223565056,5667177880,6471885798,3766536017,4144325366,7191090437","66582185753,71293416527,83544663087,49591763027,55125659872,86477594147"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"189,13128,7178,33484,47642,98734","2152,3206,10929,49563,310449,676267","473,2669,122311,79201,143003,188449","21620,19132,18154,183360,824729,1837974"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"171125526,174376450,180833421,106417899,115386616,199040673","1414342359,1430088582,1457564539,869508242,962761729,1537818271","428210780,433400309,445799417,257433915,275284388,476653819","3651073267,3679067780,3733479841,2198768288,2418475675,3882441659"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"257,426,582,434,1250,1910","695,402,594,1008,5746,6433","248,352,620,584,4094,3473","2443,3416,834,6683,22486,25241"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"2861547741,2649100150,3919457987,3005166971,4241878050,14242710735","19798487510,18981104580,46765523772,39757377692,49558790428,122655783783","8309997762,7756418946,12243904910,8744465097,12059165208,29748745709","57750451716,54354190094,133913575546,99725578297,139128924729,273043592864"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"1875742205,1363932722,1015892769,1216008391,2093525669,10033854806","10251511232,7932461262,8721636211,11389241832,16361805106,60077033558","5550011823,4543705911,5179568239,3962024611,5945135863,18939543660","30644968939,25528226161,32323760268,27633329637,45161695251,113645501389"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"289444239,251391733,347548315,631514674,1299562858,2971534945","3857733843,3430499752,5484527656,8486906418,11648817804,23862960882","2344667463,1478785120,1540344121,1752069204,3374287388,9073289626","16870004393,11974552547,16371051198,17233112172,30025050351,61503211387"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"1777775379,1614517435,1919460552,1820575961,3350523837,11681734874","12887306212,12370632355,24875266387,26520667753,34321813651,99120143810","5622417723,5123764650,7034029824,5657924246,8076715954,23738577078","39219187859,36836833096,76257464987,58076815118,102571630981,210871646578"
CYCLE_ACTIVITY:STALLS_L2_MISS,"1251323662,977298819,817776811,1048195430,1871791663,9491528764","7508509030,6089822560,7490175956,10534558365,14992697817,57939324636","4061962417,3411179688,3980458558,3267347744,4891821141,17523969602","23566224170,19846596475,26491642762,23495621597,40816408632,107385984236"
CYCLE_ACTIVITY:STALLS_L3_MISS,"260161367,226388218,320926612,595699397,1227373225,2719380689","3569762909,3130984228,5201445920,8115063209,11076345555,22996268906","1964085798,1267066927,1407560023,1644163597,3049410783,8560151035","14770090674,10680333415,15286968105,16239862211,28236673890,58674295946"
RESOURCE_STALLS,"2479866789,2333640056,2788704269,2380065407,4164506514,7586414593","19154281903,18813728795,35724180848,35210314679,44167396616,94513165194","7355883485,6971730839,9390337595,7079583785,9708760736,23126878764","54821526817,53991854063,106309363573,77513187083,126032417881,234387695713"
L2_RQSTS:ALL_DEMAND_DATA_RD,"304531564,248291873,309893864,189831313,221815519,382671813","1370894721,1155766745,2332706016,1429687574,1684080813,2742282848","716276664,632579924,861979820,520242908,588398877,1022848128","3468512743,3145512735,6428627602,3852773833,4446215530,7361875596"
L2_RQSTS:DEMAND_DATA_RD_HIT,"178777141,200904624,300165399,183753358,213350522,362718643","882095728,975863576,2274966249,1383623331,1622123866,2625055525","482722378,500004880,743953510,460149072,537441225,932429240","2494741111,2563787264,5914630568,3597547101,4206787258,6933377774"
L2_RQSTS:DEMAND_DATA_RD_MISS,"125811966,47931499,9757025,7653347,9655618,20035900","488788606,179976844,57883350,45212675,63870238,117038500","232987747,137451988,117987169,60874608,50532659,90385694","964677670,582182053,514834374,260837597,239918425,430813844"
L2_RQSTS:ALL_RFO,"27283794,28566883,34180301,21478105,20764509,37074854","323627844,326451246,356173351,222871848,251070796,389943458","67794076,70446575,75356813,46208345,52841994,87088730","822558561,842304358,887277223,540684401,621754024,967626495"
L2_RQSTS:RFO_HIT,"23671594,24695678,27531401,16376062,17375203,28903099","295161309,296463788,324247099,194727230,220349582,336359466","59244559,60914631,63288379,37850158,42050940,68195280","715871470,761693277,816855706,492764501,556874094,848847032"
L2_RQSTS:RFO_MISS,"3611603,3836553,6648106,5242676,3371336,8171754","28464255,30137228,32077272,27129404,30716099,53588590","8457850,9512446,12078067,8346438,10876507,18787826","106709024,80659032,70529204,47591167,64594992,119899989"
L2_RQSTS:ALL_CODE_RD,"159227,286691,375817,1967563,3449355,915052","1124970,1769506,2260929,8750298,15448801,5582338","350849,632646,707171,2249177,3722098,1435547","2875804,4163632,4428874,10495607,16781587,9544257"
L2_RQSTS:CODE_RD_HIT,"1722,7313,20135,1492178,2825112,143473","3368,28055,85606,6565351,12162331,663445","1880,7369,21039,878512,2145865,248969","6353,29481,72030,3734786,8683970,1125305"
L2_RQSTS:CODE_RD_MISS,"152932,282925,356399,490911,679812,768619","1102918,1721904,2103284,2205318,3270018,4938805","343578,623117,683316,1367233,1579320,1198477","2791718,4079628,4338816,6855771,8078759,8383582"
L2_RQSTS:ALL_PF,"665049166,845441163,899896579,516543590,539707665,911800350","8041717509,9292576373,10297563068,6053107816,6643183898,10598188880","1835577159,2198719313,2448049657,1405884451,1525501613,2611587645","21816889801,24617944314,27669866993,16283323731,17954891390,28883435419"
L2_RQSTS:PF_HIT,"461171956,599575625,720498482,402505290,410547425,674638379","6309054690,7432678838,8733209715,5103309992,5564379344,8779539951","1217765028,1465763958,1616314323,895198025,938286549,1566430916","16347150863,19201270190,22073702603,12969210626,14199799518,22399476747"
L2_RQSTS:PF_MISS,"203449705,245815354,179587776,116409322,129888031,235896578","1732801168,1860708906,1564480519,946167125,1076929981,1817756714","618852894,733012003,831011108,508485361,585862531,1048970112","5496633543,5419685984,5595342091,3313505077,3756165658,6458207394"
L2_RQSTS:ALL_DEMAND_REFERENCES,"331891936,276414387,344463385,214535624,246324764,422809449","1695721708,1483328392,2690425553,1662415222,1953644887,3142604980","778366408,702878569,937441931,569063710,645351655,1111330396","4291863785,3988452176,7320117650,4401048393,5087610397,8344071184"
L2_RQSTS:ALL_DEMAND_MISS,"129777678,51815046,16853131,13378113,13873140,29325640","518289166,212082740,92079260,74711099,98002680,176137608","233149157,146641993,130914564,71003364,64394382,110362602","1105284184,665706089,590198540,308663971,311132952,558201744"
L2_RQSTS:REFERENCES,"996047596,1121732859,1244664791,729832348,787914846,1323308429","9738290705,10776415896,12987969065,7702566886,8594378279,13741035413","2613321489,2900908894,3385039842,1971769451,2166452022,3726527180","26117183758,28610877752,34988122848,20646328595,23030331698,37202965300"
L2_RQSTS:MISS,"333027753,297576535,196365204,129314517,143547540,265112824","2251793929,2072949282,1656420436,1014581567,1176167929,1986011692","851799454,878813249,961104647,578635700,649012603,1159238081","6577791312,6086309229,6184798668,3604468902,4065174183,7019173985"
