,30kx1k,30kx4k,50kx1k,50kx4k,70kx1k,70kx4k
perf::PERF_COUNT_HW_INSTRUCTIONS,"8654103012,9989524655,12322120748,16621060527,29428797228,43684940006","124917384346,142734481868,151995225068,145100636561,209101561683,158593517341","14479245871,16634336014,22895632456,31501743696,37748721745,24798633362","211972856553,210890802499,263660044245,329824070449,352194111169,591028612231","20304225094,23616418762,27495685124,53384715353,59385447708,76664253627","299028319205,321361980777,343337609474,347734716507,485001337916,604041107157"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"182825624,413100380,483590433,583757713,16274785591,10080148535","1972995716,30069020375,46537923322,119433017581,6795209374,213006039169","305067241,683758075,7162877170,9421954103,1421686767,22417001723","3340940681,8622823999,147240517251,127554964064,332912675085,409211204286","427287118,18081150401,16156709873,21669918007,2015331006,73367807536","4708884235,12133204070,136911603389,76470235872,16455594504,97248377324"
perf::PERF_COUNT_HW_BRANCH_MISSES,"775080,7102127971,2114797,2465756,25203213305,18174827521","8111135,51820911184,20551130,50855785431,203257629081,180848077775","1258492,3870079965,22741534241,3898681,48922383629,17802578078","13549657,30717010,34111342,123948831673,306305466545,49663430","1733249,3660120,4648704,14786554402,48082931176,26776747004","18989689,136919949818,48150836,475666324322,383057559980,426130511015"
perf::PERF_COUNT_HW_BUS_CYCLES,"43878204,69971580,3767765946,7240125174,12004063331,21946552988","540460941,26472629941,1258141339,2031040651,42750874026,88676095624","73453614,7753001035,10084897015,350860246,32720622939,61108489175","910532933,48420822864,2212564056,23254870686,219743640740,513669076032","108535823,176125032,27829072132,9254936403,841239466,36897655032","1286892541,1973674676,133752115178,86742914125,410642561936,131251390095"
perf::PERF_COUNT_SW_PAGE_FAULTS,"654,7105130650,0,10697649067,0,12232351238","318,27381608144,80335308424,53402816842,200786627135,201154522996","527,3821233760,776,18419074999,20340624096,25480747535","949,677,3440,257,356154676117,1313","133,209,12304532024,50302500310,22278854740,42223412093","1332,389,700,778,58514715034,248527844512"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,0,0,16154414078","0,54025780328,40545283880,63445002172,122291299016,63578519928","0,0,9822565520,16344144742,78159142110,15926899050","0,0,22605953474,42806603900,296374669242,572172564165","0,0,27405382201,8959409305,25821090238,23475423952","0,65097403789,199849836773,165041017502,382586402590,215832681251"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,3548565790,10359567841,15840591064","0,0,67068248092,195368262251,0,83153177867","0,0,9778767757,0,7030135646,36266118855","0,138787439357,200962326650,101709916302,0,242480045019","0,17097124758,0,18147180634,27162110204,34077025100","0,64662811117,323855604420,0,582318545589,382350854644"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"3163239188,5199106918,10099621794,16174183325,21347821191,27451309295","43549197508,67228558200,61962983090,168075981364,62320288945,94050802689","5294711503,8513569343,10231652430,6617389241,45425372710,66445863634","73926112610,90340592369,90484045337,138355127648,417023383003,93450836378","7426147416,12520477918,9077691339,49674195357,61221998459,101027849898","104303033756,127483138963,280571558068,315042772144,375198595413,313745737909"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"941501772,3228937855,1267792841,20682380349,22813961473,17022620341","10997362375,15558375517,15637269520,15777774392,25223751770,150615581138","1576421026,2077138772,2113676770,6771943524,47017360956,30980829424","18672029587,101482572251,84050238844,101066130101,210045364474,333132983180","2209715845,2911981884,2962988044,19531561640,32943962348,26548202795","26316258725,37230678812,37390574906,215429069966,120474401113,612540730889"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"297301342,4960270439,6268120388,314869416,27814164784,26679985774","3424402702,3454921115,3475772911,16855573056,85695438905,90099418040","496230784,503678295,512947766,32484334985,24436576473,24276112457","5796396418,5842858126,174385019825,45989373512,171566437524,348396011370","695134574,704849551,3702618824,728669325,3822337098,34777537500","8168388075,70372460472,8271285052,412123606511,64566251894,661259890397"
