,30kx1k,30kx4k,50kx1k,50kx4k,70kx1k,70kx4k
perf::PERF_COUNT_HW_CPU_CYCLES,"6630358261,8493252881,14362877669,22196574825,39540167832,61751983677,61171979485,72953609458","73436300143,109461127349,151067024690,225292606630,321817440033,442129391353,447994572257,508422008562","11319261425,15155772532,25355910826,42549436075,67524526788,99243032252,105903309064,178733818270","126302149889,178278382619,264615240873,378100842435,575515041209,758346071305,739830915618,817253371296","15842305868,22620916218,36724492206,58696020908,96932761279,135469235937,138559269218,150859009632","178271701969,262306229798,372762206344,531734150893,816776679846,1036699786169,990018336107,1204535110235"
perf::PERF_COUNT_HW_INSTRUCTIONS,"8654103609,10044863172,12304780664,21420975399,30727190764,30837557732,31255289870,24107817301","124917381276,125513109138,147044493077,187084961012,165920773890,211358705547,265829901364,861139957602","14479245112,16802727027,24771646754,33629099190,39314742087,20483089937,17926070621,23101209564","211972855465,209764541744,261405766326,308335897505,320560685514,391634413896,375036691546,532581815709","20304226266,23117698427,32002524290,43409796542,50275285252,29014294200,96847891142,87837669049","299028319964,341763210905,354646049001,502780752653,405998577130,564111965533,739717458159,555239367345"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"182824035,409776665,6269116446,594082222,11652964725,1012269743,21973165059,7685530671","1972994534,5070932869,98405602411,107530584759,240187244756,97466837664,131464469627,175623617199","305066943,4306758627,835874520,11516548788,16017618804,9634305213,1817790172,31091076577","3340941317,8586787379,52371270029,124487648247,267831122764,161048863730,124692683088,598145675255","427286611,12499992352,25223873419,30622132757,52966190263,65209686176,19396898386,136331730811","4708885086,76688208941,43590507870,96638317093,241910624473,260816680280,472487985028,885301607480"
perf::PERF_COUNT_HW_BRANCH_MISSES,"773524,7027201587,1217701903,2471673,1133490298,3510184,1292377167,3429901","8173928,81249496788,86384320133,161830272586,116997888967,162906531380,83107329436,325723132283","1247157,2640752,25078194283,2180661338,39620241230,6293955840,53023876761,58140779486","13602817,94009482744,134867958432,88627434071,103239647309,162172375790,264268138714,38233814158","1727031,3626450,6500504418,31309710927,49571253131,63620441125,92214922875,166624997119","19023334,43745087,231162660859,86391983004,516355219855,256416285023,63406103072,1000378045354"
perf::PERF_COUNT_HW_BUS_CYCLES,"43264834,68333296,12376046182,16726765635,333232360,28975996290,21717070913,31841867670","525617696,803514811,1361184205,91818926831,2957921758,32546389220,65645937708,223963999504","75675543,116065586,22362644476,338254195,19217926586,44094571137,34740535346,55615393518","905801220,1362298467,2097730318,161493165784,354146057927,356564997485,90764764366,312067689381","114556206,17775092602,3835439403,553632615,37363180843,1239249492,20771014457,24614832546","1364056415,132288592082,102602984025,4782156199,219846835004,548928842549,226177212959,476908980974"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"4674281796,7351423056,13002768216,23805269596,37293612826,54493765400,59629359167,74583612446","56717155908,86869686924,162339361642,190895244696,348624888744,499852919205,487177280848,781842306368","8447535036,13159370346,27382012983,38615179406,69795669276,95193823212,100697164054,125527976749","99977231988,155001333795,224347229547,357964542108,582616550923,943308772566,776636943962,1366559142069","12085855560,21180023249,40332110063,59834858976,92677630248,128138469912,126405910949,154383267754","147822279696,209357488836,363599627268,582491188931,837124204395,1191718210186,968984009162,1160408671747"
perf::PERF_COUNT_SW_PAGE_FAULTS,"410,0,9010049768,0,19922433390,16205182799,30208243411,29610881826","822,474,128,1715,57109682938,200165753660,291868702035,321870015050","321,0,17314622133,18011735824,17112977624,42840093290,54369636201,72485233482","6010,510,1135,0,470011302763,244380634814,372748439938,618385716773","339,11852436244,9941549343,22076927136,38846057405,76466070271,76854785042,62467519440","957,127181012014,202842828093,816,449580838091,650045699750,399168823637,10052"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,7087613917,0,9665331117,12445536724,3681515677,9046866573,0","0,0,0,102490970047,62198775276,46388171340,0,59987588774","0,0,14355227770,0,42880615301,30292911848,9443680709,36061077199","0,0,43915602665,0,150357301050,171221077470,157940404636,618513253748","0,17462970510,19939946130,43093977917,33726024218,40593717816,17387148905,33893850486","0,0,270588830771,141915248725,176745266836,0,594775860156,1028711590191"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,11056665711,0,13786700869,0,1638215066","0,26358067218,117601159612,181460164369,104516523061,261699214610,219992572501,420291184888","0,3732773053,0,0,8444860367,0,29827267343,67358454831","0,44986457260,0,0,153387527505,95813927846,650017542939,924000875672","0,0,23407080103,0,0,21588178427,74374579931,84183610648","0,62351610690,239918754260,104411919538,251669185001,495020682451,426924428639,922910869604"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"3163239184,5130493157,11351208137,3952475807,13074252037,13402718180,21142771275,28372856123","43549201667,66166689091,53297693319,53679125715,258250352233,144266581305,39675216717,428628228615","5294712112,8658698088,19474521804,35475001466,42128833515,7216639673,51147558405,30119959655","73926124627,111882361243,139546876949,267293211034,423945729927,270184517967,67590833806,422332180523","7426150103,12418127139,16302908604,52885632758,47578622521,10182061840,30872511252,66289285239","104303046003,127488124956,127652537585,128475886021,130664843101,454991952282,238988985405,647213476593"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"941369611,1240081069,1267224387,1295701912,1344547373,1384138672,17952564228,23853769484","11002134503,37818885641,15655543074,15772353824,160390579405,114881074858,11679741296,172026786166","1576163411,2075915828,17657585712,2163697868,33545279023,25755313744,34865080153,47710154800","18675597521,137521884889,196850649809,26744198884,144656796535,73411989321,19753813982,333388450296","2209542539,2906709907,2966263468,3030150096,55673269768,3295354872,25896312737,64868364772","26314558101,90788451186,306536963731,37715608486,38316833993,652774437595,94523144160,732783748056"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"297301371,302436044,1566363133,8514779891,325453644,19494330549,23103396939,7206429249","3424402733,3454299568,3476012716,3496837391,99703240539,230917129195,198984360264,341311061296","496230814,4165120171,512950368,40814897838,32488197896,20409446898,13933925693,458720069","5796396448,5842417247,5873186665,80083968158,414603305387,6040282975,110329048390,620030369011","695134978,704727916,716853892,729420264,747726951,762265003,24439733741,80594555190","8168388480,140540347135,231903824386,8307186166,196975960301,8506808115,691029989635,651431507562"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"236649,432455,4981039238,4951327484,12165243571,8597033708,5076242519,9993546382","2126141,3389030,4494636,79942804263,115711277959,11106517,7978914,303105156286","330832,733097,9544149944,36265593561,13340425992,1991972,36554306789,11365312073","3442715,5032052,6646706,8322308,18188852111,174506861887,99617700882,127370925947","443921,17597736330,1158927,1621229,1972214,20788306519,31612713686,59090985368","4727714,6804605,8916188,25732220981,15338277,209068069938,459685640288,28784162872"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"129054621,52448909,7506198515,18317476838,13446848625,17120585499,6454616274,9740944108","533211197,52568727249,55128839801,127880052758,251308863,79715456964,195844676039,220807293843","204028233,113700249,24004662092,107238086,118306984,33570315904,2191691215,53489066308","909839786,134482995755,222207725757,173629823517,252290903698,638456538,514366996311,481274377022","317775215,210530670,19839413661,211505025,209719540,197589219,53008830402,39328468548","1437882313,1018056654,97441174638,484018697293,466774098561,25511139497,80403291250,248645737783"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"6937160,9848675,10065632,13404023819,23394653381,20090706,20765746534,26859239493","84462158,92821224,92160895,122791943,117209169551,150560941389,119501126607,119579601573","18678884,22555200,4824778742,6908184730,17501845611,32851099029,65948048136,86074657148","163379976,43727012946,22442274839,205477699,251813257,454748362611,163491853870,255181573899","39221039,17548987500,22724788020,42074293530,65039442346,72575427720,8915730167,126053347436","239154805,133105197569,258488124818,283107995,262921195554,506104938600,458794543768,607771674357"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"7275768,2220892566,10950483944,11454704,15082918,8560976189,15315542,80550424900","109072085,52311568327,59543652,174244535821,44903816662,113269138,96382379650,57170184954","15017292,11896926,14161118,24856683830,10554941151,16293420,11793551085,23060153","167890642,92113509643,88452880932,231076911224,109638715256,189246972375,73208496688,482535534977","26184685,15801253,19768386,39147661612,48149291523,101007440621,24878001383,62463569054","199119847,195968996817,326319877510,153640300,206926322629,544014852518,267003707437,280178852471"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"191721,2847727,4493234,5406745,9957319713,7388028181,6374893394,29852835809","1195893,17710595,26951613,40905644,40157850,50370548,95267881654,189960750159","375790,4375203,11955249062,7603254,21372032835,8267755,51634342670,29424478944","1685654,135610923900,37302384,154573369652,55989152,90683105505,190844037802,39791018","636192,5439087,19804715498,9848419,11154675,53201581445,66992827370,82226156716","2300870,27748402,333871183764,219252685545,76978899,66237482,462327758868,191162937027"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"3163239262,3840358627,8314489138,12296331254,25606568274,27330015124,21849644614,11310832377","43549202590,53223508102,118098247789,53686936671,54426545861,55166959972,162792167731,165463410275","5294710149,11456787246,13479807200,6623606526,33949689383,13557041325,51000150948,15662562856","73926124868,90345920364,206513518047,225119802720,349526596111,93620517566,66983468327,317081702542","7426149870,16532293046,26040083528,33973576224,43263300086,10158523154,37452106809,49576179342","104303045990,127486803087,127649422997,128544661843,130650211049,263607648337,520192947765,76312719681"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"729,11880,42894,13471,177867,15508918880,22277811772,11516872343","13788,8182,128154,199169,62054251147,83271975971,181109325891,294869390449","1402,8050672494,25168198352,18196,2246175151,26083487770,326112,340670","43382,37666,33554,463203,1509914,2081882,387788653204,165927941037","2157,5604483213,69262,3427891870,65063272008,456791,26617838207,74914274852","69359,62687,173604,480736045691,2997231,169624159571,84407083604,376437926134"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"297301372,302466546,6606570620,13667882227,15233753353,22794366896,23966701359,29402339860","3424402733,3454697402,3475762165,3499418421,3549044676,34420923568,207618316742,2220296910","496230815,503608238,512857639,521777534,37357664110,11122686092,34188037306,459145727","5796396448,136991119507,5872627094,5900081311,253270715230,6042799903,4488256070,219225298729","695134979,11687973914,716769312,63178140112,747871558,9252077581,663753498,48392288278","8168388479,132399577489,8270905610,289328183274,109325636069,177021272981,6281464382,251303052377"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"411,4651482061,14084404397,1065,2313,8256730072,11209596709,13855","1821,2366,51276038489,2117,18819,181136061982,157010225089,36572889530","85,437,839,19262529555,24147247016,17547198651,17502253062,6773811843","3649,43613833019,1715,135218941528,15214,137721684206,51921726707,386285657417","763,5600245543,2218,641,6983,9060,3276337381,12197","4193,5092,5274,16211,86068,88425,428466,717849779656"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"4944475333,7689245741,11773114032,16725694499,16471192198,34669068724,28410291105,46068855237","40993906649,75695647614,123633591471,163314893494,197909732554,338639614047,265968993806,455739809186","8423694225,11202832460,14492354102,23849601004,36404360794,46058261309,38926036088,45795280702","72897449196,130188498982,243898489783,273230936089,423673799026,516085178606,428127035266,757643262433","10724590457,18235496082,23809490895,37980099673,63494942417,87845835056,57193025586,77955783444","103468977582,196031814333,355399489590,379216036101,704055084001,708785378474,509417594489,904450996057"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"2541652433,2352469243,3139866319,10145117848,23317823025,34663385927,24076765216,29739493000","17244915800,20192772439,110437864025,112217007945,70145685320,125495299429,213070218895,289927189249","4411051741,4431846401,6055869410,10876861388,18774086724,34803784178,25921615631,28135041939","31334813118,34841721071,49279795877,171468619585,275226532983,226968103596,365525556756,543786778799","6654793845,7183626533,33199346979,18192154612,22194645702,44824399946,66008909884,65520880052","47302865256,59019716216,70614575545,120824808360,548867202747,649630741410,481272757019,681505230701"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"905698995,1297483324,3004596761,16182601002,20528949589,24402419899,5509706186,19074348991","11175723197,14373942740,19415396474,160780434103,135987957757,109148309140,94618882854,313271426176","1866293029,2720889113,3756845650,12863620561,37606417605,31305067901,35235182052,39486963714","19792286501,24684011241,38466565121,61373791959,196795209958,99751834367,310773896442,194053833000","3183690396,9251785473,6610301708,56299792029,27847723203,68284896485,55633023416,41142462882","31112356371,152982219873,254346018698,93237910251,273059943784,406930229315,642500725406,628689447805"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"2615130613,3591298261,12907484204,9890867215,15139107105,24297791760,20670617457,21698182604","27921045785,73914880700,67011147206,126409448455,198752336363,401028007026,283578905519,429232292553","4975564109,6526988951,9628126679,18791717958,45982330727,45341109623,63153813598,88018017032","49294667943,72009785866,118773244903,247420856726,399407592075,373701366123,368368221053,485068043988","7342996164,9737325024,36509379324,47118685783,33753007981,40097752241,96505062464,155372669094","74351407894,110355196024,193134091696,290125974027,509350363302,652247634230,469276302787,816017404364"
CYCLE_ACTIVITY:STALLS_L2_MISS,"2083897564,1908378890,4775975138,19709832575,8060835953,13261510805,10241508021,32302514937","13902525162,16772358339,87608888224,47339661075,66034956194,248410421444,258163733212,175437511716","3062628790,3605356604,7161450074,9838049228,18350891759,59707680060,34197750001,46907026595","24888455149,28658657621,208285776936,120519186315,405007683964,278966464910,189541419431,655539487660","5049193557,5827548295,35503816040,16531828821,39066168700,27883646229,38814735837,37546045674","38268457088,49153228753,61443821368,110647412564,203187492706,478946786700,392966330391,542675563410"
CYCLE_ACTIVITY:STALLS_L3_MISS,"1206417802,1179125422,1789528476,10642349360,9846616562,5381039178,16358802837,22777098571","10239404102,36168251395,18195527688,49250505067,40981228186,56643143603,69296097049,144984467196","1611508063,2430776470,3445072713,18581533693,10199575682,27932173233,27980175531,12021925668","17792836491,139403295041,35790846640,58827164134,278750612109,194985091230,170397267568,257601921887","2781964777,13371258425,6170128894,38217010455,11718149706,14181938580,85688709254,49129954133","27850725522,35318521597,249431545976,160517094485,484528499124,245284358742,473424548349,758225945771"
RESOURCE_STALLS,"4546808857,6143098051,7212761080,11003008004,13568746470,35541238281,25097003897,23140534740","39296982009,60528549410,136824551556,155389039195,187924588141,266868620933,332572330113,341117848885","6350042876,9135100324,12242810981,21580701141,33202602724,28667806621,43658886013,62611229352","68572731863,104346427952,155866513623,236088214407,477410434770,517102282106,425043297410,729870291719","9641234225,13340216112,21710068989,52307873903,62507797271,55756544933,46543375903,72322798764","99934493847,205015200816,249164704636,435966297614,569466427591,648328394153,538664534581,812265518169"
L2_RQSTS:ALL_DEMAND_DATA_RD,"295654763,362748853,389653388,417813085,468678231,490487904,409228961,378295264","1701243021,3364103558,3495291372,3660099849,3904074068,4135486768,2658706625,2129446400","471775539,620886145,673184304,716223427,807326476,857502522,684817847,636164945","2768921931,5751107937,6043371813,6288775660,6764332119,7197420796,4713548402,3831417932","649673717,857954793,937253885,1010737492,1119708791,1203378549,937778403,882205766","3900095357,8074066760,8479999698,8816546801,9455786219,10056852008,6762474275,5298492656"
L2_RQSTS:DEMAND_DATA_RD_HIT,"181130787,6634629716,10294990649,392757204,437414307,15604030071,16833274123,35621558900","1217898313,28086193088,3353278253,3495982126,3716908219,137282812190,270022690958,62631030075","308445210,552940754,5103361818,653583887,13665857649,779139798,33747682532,40582817729","2036741663,5377652399,5715074022,328819171795,6366445592,283651044587,68701914198,635877051753","399971733,6192639909,818855314,884189343,37709398506,62647992323,23890936076,4036689934","2658104308,7428206040,105733075157,203566621337,156177696806,73763298281,124801152177,90597871916"
L2_RQSTS:DEMAND_DATA_RD_MISS,"102710610,30285421,22114919,25048940,31419666,35182459,33732237,28249167","483318209,187967532,141555847,161613397,186151800,240103694,260229228,223411622","163390136,67817517,55590328,63236029,76247052,80335681,68963970,65139193","731154098,379626408,330776714,380768842,400604758,460538510,430141383,454394638","249663381,125354353,117964377,126190927,131002104,137046687,115264767,105496112","1241211071,645200996,586709929,614461546,615965164,732685475,666297373,684785631"
L2_RQSTS:ALL_RFO,"65994139,68582259,72521763,75979863,81556243,81277005,73168531,71105881","916357742,941639522,971245229,988767152,1025992297,1052648724,766440406,603482163","109440683,113334443,117654698,121988928,130976037,137897403,116270286,114041963","1551699998,1587081876,1629474524,1663253572,1711593041,1749981462,1257285635,1051606827","150157844,154968063,163626036,169772486,182355097,191872167,162095468,156483210","2197118576,2227881210,2281183434,2322418804,2395156317,2444859063,1765048632,1443899465"
