,30kx1k,30kx4k,50kx1k,50kx4k,70kx1k,70kx4k
perf::PERF_COUNT_HW_CPU_CYCLES,"6618524540,7657550773,14192519421,22247234832,39690511913,60752736295,62446931118,70350052900","74402004607,105420514815,154851413691,223411576849,331315805832,450034654247,441470049581,687608687675","11232710381,14936583240,25247296391,40386920525,67346694923,97773923294,97746302367,106264351487","129677525541,182837567040,259743777494,375281141979,555229953918,735192300284,719458333211,787710049743","16160813102,21562334172,35637080047,57295368987,94263845440,136503295921,135294655559,152289308442","177155418811,258532153995,369468492029,553534377291,782656017515,1068478141902,1016384428657,1075524533149"
perf::PERF_COUNT_HW_INSTRUCTIONS,"8654102868,10038804436,12343658536,11059622719,24480858442,19188819402,16925716792,34176727933","124917381569,131693635543,150932890374,165437548298,148934482682,231890203691,230675561556,268908779754","14479245203,16811386579,20921578284,17822322338,33948830329,20475030525,25796305430,81208342551","211972855638,227506746415,252471402087,288520910943,373449427569,468889970410,409751419283,400436730652","20304226391,23354611649,32402702440,44977127901,63156400843,45187667558,74559944358,85763449090","299028319939,300654563405,342945923467,369944713131,636376449728,560144867518,534143110318,661074835208"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"182824185,4757796395,484209242,18780893596,816434570,1007918406,17917840025,2923488404","1972994652,32127390234,60255729428,72007129359,71134115859,135541534110,286131239983,115804161086","305067034,7927482039,10897146859,11502006265,27035617124,1698771802,45728889651,60727818239","3340941914,55736968084,56237109617,65882687997,57419795470,223976176555,175975533751,282151409673","427286753,6128001008,13432412221,23862182946,59051652712,81888610630,64461700387,183114295188","4708885015,12091121765,12830013112,67342740963,105301942188,249267142297,509831052676,132893000689"
perf::PERF_COUNT_HW_BRANCH_MISSES,"779567,2461902665,2111785,2175424772,14382434292,3561662688,3488348,11475095418","8154550,51145103692,111542700356,181333405098,228462797361,82849687632,210540000173,20957234815","1244927,2638867,22940778185,6384232480,13120874600,63601591724,44384569365,55234142666","13598184,43808173718,147504139571,148945585843,457261129599,136723682213,463107761115,42358714","1718856,5838603430,23896010400,34460519280,75034311250,26754326385,164496038181,58704709823","19019260,62698423535,48001136,219451363248,179426975246,230541887525,828313777205,836202986394"
perf::PERF_COUNT_HW_BUS_CYCLES,"43035696,2291573266,10874835115,170799182,24016941743,9989426297,9384407872,29067999792","556607694,28637975382,54650866564,14463217573,52617958932,60298032674,188331848414,408415466667","76338477,3852816622,212623671,340810948,31962551002,32332810911,42845367854,63204460231","920499722,43922627247,26280700968,153891151313,401380652185,191120866459,348370831130,523180505367","113600938,163475385,10190152379,45084333279,34215927819,1209342152,83421576125,53847628594","1342644865,65306251436,66667205825,170091803184,478894057652,60702283629,513342295256,170251940733"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"4618223316,7473318012,15440641833,20163812680,41280235200,53429868230,57683126153,68807213010","60107697648,95238192178,157012450933,242696596668,330524454726,451193781794,459253446129,596486031000","8462104992,12606791832,22881022452,39938155528,63960136577,100455771240,89024718496,237650707619","99087304212,144343421928,250817561151,350107479245,611495113358,728594078656,797468181089,958658165049","12425180328,17770315464,39377162219,53163222156,106065164369,132524010312,140781530223,150551253229","144851376060,207886391676,378859951750,484818979390,831660274150,1146199675805,1075998014640,1057240235341"
perf::PERF_COUNT_SW_PAGE_FAULTS,"78,4535763125,0,14764413968,20435927616,7359348193,4959395239,29984993532","601,5,39129471941,64295268594,75271057802,3678,289332651191,52886722894","668,11811649083,6932854937,0,24392182254,44491654728,39374459250,12222430949","371,86816132479,92719814109,102160681877,0,315359509337,513306475453,586372304864","1210,5333685771,19635451034,9935358767,55589696978,37942597725,0,7","1340,779,254909036445,108357367855,238241387426,198727083586,63383813679,232188941281"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,7015288475,7908718183,0,0,15450002058,26786230286,38553501512","0,77987786854,79863617624,193138818982,86206895876,181221453915,159719812786,294699518398","0,0,0,21864249698,20474257844,27267821658,31654651357,52871412507","0,129215804631,0,279113316462,509639848792,263901364824,327257212399,308381191783","0,10749774553,13181890813,0,15109647082,11598258923,6274246943,26627826592","0,0,0,190538200942,260887713078,507441275614,444930308215,546580755658"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,1341203900,3428927029,14438960638,18792451888,18984299113,11155983337","0,0,39373260269,174449393412,113345180501,320692151832,106994215771,222371540369","0,11828151949,0,0,0,0,43197777560,57297221823","0,133234168028,0,0,52771096925,0,0,259273666778","0,0,24705129828,33699715579,50154388642,55474076021,66510382978,64878231243","0,62720409532,0,251641416766,153314370785,669762833508,170806684235,29838986160"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"3163239084,3842733766,10660959913,3943759438,11461118013,30359275834,3692140750,41391546145","43549202088,53221438082,53307099190,53655601104,54494755169,97915768748,203268268687,545795578660","5294711651,11331239782,27275526467,10216275104,49530624610,54069916217,6133278586,71125038370","73926121512,110317612194,123739617984,167621387712,256956741393,330264519817,504134878686,54474123957","7426149790,9020740648,13871007982,46239416590,53923645676,50656585814,31730044060,87246231093","104303044547,189649529801,339821501312,128579638678,254565935734,321267443505,571993978427,860554449631"
