,30kx1k,30kx4k,50kx1k,50kx4k,70kx1k,70kx4k
perf::PERF_COUNT_HW_CPU_CYCLES,"6821070798,9100639965,14284245030,22176340260,39475255736,60588880912,62184415752,71009642265","73554971120,105501840532,154247290980,223265814103,333674359172,448711516268,446883363248,497196344875","11350364239,15720790542,25736148736,40160140264,68415203118,96083697297,101372087421,112995934741","124652660658,179444361117,268614597380,380822671293,559790795961,746070222357,703644265404,785769352664","15888186881,22182049040,36731540025,57362327579,98083999581,134935658729,144867686407,149118946050","182560893571,258327033288,377241086587,544074793446,818974173381,1055363039170,1008553237063,1139700953706"
perf::PERF_COUNT_HW_INSTRUCTIONS,"8654103130,9297271013,12796490016,19051260667,21322864846,32518381869,23256164006,44246589388","124917380959,142691492903,145936160766,157488909331,210573611090,152162163471,210157702552,117015243336","14479245167,16809720112,21715512998,37358143207,44660976371,56634334673,48117206206,71210447372","211972854884,242135528014,252317995636,271254596421,400184433085,311965838219,453799511448,441489930530","20304226319,23568427329,29840958550,24904733448,27102006897,41473008552,87568335829,91318613022","299028321661,297606176262,343355041674,381088486812,404498459966,695145941827,719974194464,255269847117"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"182824080,4551730548,480953842,589056041,20995032157,1000971922,24299831784,18323786460","1972994014,55797279767,74718014336,105646023267,60592100995,107586076792,226193941009,332886565442","305066997,4316552470,812265162,10792703621,16065401748,30931730513,49668710129,56808474666","3340940728,49948586749,30978535353,200801014108,150631446147,112627001594,24973264670,21594635474","427286596,6495179339,1149370150,9797212819,32217641831,83196038859,8496590166,95916763476","4708887308,76924933753,75710447785,154696931528,123593678148,373235041466,147926922761,582090132560"
perf::PERF_COUNT_HW_BRANCH_MISSES,"777583,6823922025,4785587490,2474426,15953080846,23211377095,1282396060,25503999709","8119712,50786412186,83697289045,45457432778,58116348222,276691159359,10863814408,285694667197","1251071,2658188,3362739,28479945185,30796042911,5332139,33957848062,47883063900","13602415,31232104,67494134161,19830589212,43976401,207568246691,433857848548,862868464457","1725669,10804927804,34162161438,12457345870,36098089891,41155452719,20836275148,159829375189","18985064,62462443608,192002305367,472118138630,233896386415,277854801638,73410921164,327858377667"
perf::PERF_COUNT_HW_BUS_CYCLES,"44332846,2263994902,6003600012,19813917536,10974449785,2834023417,14760217078,42702952690","549755784,783329327,110387879073,36706487738,200636943110,124345225861,4939062417,565459452416","77525287,8034396764,18288827464,28338999432,27059944295,12540674776,19681691665,92292132664","899478147,1337398509,91856227801,268805455661,282347434426,319479338620,183695500539,457939486368","110333461,162302593,24602334737,40136389291,58399193529,1092605451,34395078746,5479978406","1299736646,1891640000,2943874827,203584909254,6925780945,372890123082,519336559082,80829697925"
perf::PERF_COUNT_HW_REF_CPU_CYCLES,"4741370100,7828330014,13957970338,19565705304,39646387296,53335555254,57839822016,72848620226","59377913460,95668001751,137480681808,220702432894,333210103049,445742210996,543179625235,604266782939","8502895836,13928224931,22945414320,38264435814,63233683227,101776359708,91123300728,113684724980","99788026248,144296731476,255717403827,356050260658,601149344177,758405171074,789325732640,938323009886","11837476512,18503104924,35402500980,50975300700,94686261560,122276862169,142658522966,150623538618","139733090172,215893394332,363900335982,543072468954,744490167609,1233376951421,1121808333255,1102065510125"
perf::PERF_COUNT_SW_PAGE_FAULTS,"77,255,0,15329061440,17785439287,418,6701174936,32492773093","585,25201770322,42214133145,36544687651,151494427891,139136186344,271724458948,165971706862","347,3742987485,305,0,15218564673,52926392526,28241268159,56997033428","7741,1216,931,22225540361,70040432788,175710558409,347114145824,118459720212","6,15,31505754431,40213666577,9177764659,42347100567,6,73177926865","1506,1705,222423462289,86338413168,683,463954905681,423570488504,561307519258"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,4591542740,1193367307,13013435971,0,12551173788,31372063637,9779638229","0,0,99745303133,143281229561,138275070598,0,119261428929,238654785831","0,0,4755876859,0,27681490429,0,20819897794,53771625562","0,87159348662,0,0,0,121437507363,105347160001,376063453367","0,0,17386744380,18304368198,15726217435,46966394431,0,11740721703","0,0,63641894690,225484260307,337154650684,185086790550,575955618400,387559657122"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,0,10291436732,15086364752,48369020945","0,53139260489,0,173364249855,58908042680,246808157436,44478582694,289324224842","0,0,0,15214063950,22807606343,40038397449,0,41376957801","0,0,0,374303021065,405511136040,235551973350,0,384750155675","0,0,21014248033,29356702056,18517087984,45460691974,45852171020,0","0,62266563326,31272848978,0,416182280536,351759189477,137905363242,53012695463"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"3163238263,3841348059,10851702793,3947555984,4140845386,4310522307,34675365066,16872117548","43549202467,53218643890,53306483773,71261192504,131257302241,55115387275,193244395429,1115437374635","5294704026,8630743982,6471253910,6605256751,19043047023,35358014573,53465031171,5904464583","73926125758,90345136313,177292613627,91088885025,269885019329,93595997270,135660387804,216150546743","7426150137,9017436576,9078756468,26333183461,15389696404,50349987094,59479504656,90883714047","104303037751,127474340478,225320374520,282951577596,374688194997,741067110420,340417452502,443884101612"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"941393697,1240042972,1267283889,1295886909,6098246880,11472165960,15092331764,25534549525","11001032346,15557708303,56864790611,127793659327,16014431118,130232323073,11659836524,9611456182","1576848881,2073998845,2116006390,25865110913,4492897793,12969695041,35559967675,111921729009","18667155117,26365141878,145777205885,133647927358,82247506740,353248490846,521501865801,228992504719","2212353412,2907226804,38988313617,3019854159,3149366751,86472949713,2830016406,30561068587","26322258339,37180366962,299834885400,90612654422,38325669146,38762721928,374425758944,219564580880"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"297301372,2596086118,308711461,7210690198,16909219425,24471196173,9511854755,34816175976","3424402733,3454373266,3477483055,3496924818,164183981040,12827815764,188382186313,127600765728","496230815,503644258,512878852,34480710043,35948391630,17829007733,13428033394,20836019636","5796396449,5843540382,157074685625,5905537322,5989471327,121200987089,76279350973,3703699056","695134978,5884166920,716981636,728413800,27982364249,38479501405,34033399617,635200267","8168388479,67995071439,149304759451,8309611078,196509768852,193365122499,187545058599,254754769563"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"220618,466145,3616583480,17608975724,3564689592,4927634356,15501529271,897557","2061133,3147652,4508388,109507223450,93122265077,173902881209,157380840884,209693383539","337516,3816528956,18854160682,1251510,1780703,6731544248,24651042565,174803545481","3249737,87763517531,6477953,8687966,442419915246,288629895334,198465220794,555384802059","477601,840046,17939287666,34922895608,2091310,37452352223,53085695254,91474629050","5225541,62040000264,70851541631,117528702077,13484266,855397404494,12780354,837827558101"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"125594052,2200855677,38726680,42725160,47195755,6679277471,26705706100,21501328106","531790722,78864963211,60397133826,227733015,59016699002,289819720,290859145,307840249","204280115,109038359,9591060507,114902403,31627908294,28655381948,14741633093,72199524951","905922347,94254672523,515329670,557091057,579219209,384297972878,202032467738,262785491199","340542759,203972141,194530258,207587911,28336477312,16761766863,25536036494,90813144423","1389900774,991486602,876300251,250052409415,919714659,204373835706,860612621,160578274994"
perf::PERF_COUNT_HW_CACHE_LL:READ:MISS,"7104432,11115622,7203287719,15092548,9220146886,27056016008,11700919094,38312775661","79862711,94007841,62308941468,114727559,162701630056,149295035,160836013,108026887074","19549989,8077400497,18575447319,31278124,15715419234,17773612776,21805525261,29605247","157672172,170689253,136406572323,227130850,474561984384,302119267,216378716833,379751940096","34351888,11136518706,39826130,27089671152,22897383955,61125716,26179110074,23279425257","252451249,191941826072,282012081,27300011122,63284161080,515470931045,181807190911,875464534657"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:ACCESS,"9604391,6765355122,12005724918,11734023491,5917512702,10185063131,41811523425,9002242","87863173,85384156,62158558636,69872196,181540606754,204844317219,69769181622,409443231204","15387662,11525172,22532257141,17035667,56935399747,28384951638,14506521000,20970354","170163528,137880665541,227796827817,216917672451,268459501986,579796461671,115227505810,359599590780","20894778,16324579,3347438552,21296402631,70123634612,16540212965,51285776157,68147602227","257501726,63038277489,35533937742,200875392115,167279913,220452886997,194395889533,403599514538"
perf::PERF_COUNT_HW_CACHE_LL:WRITE:MISS,"200189,3332872,4464894,8186631992,5899339490,11392221028,5833315,28320641885","1104023,18076835,28793608,37825711,97449925776,113134016668,278161389550,27325642","406332,4423874,9046877395,15897586510,37871367714,17518446943,12824759289,135738180668","1612077,93214965796,137741244799,178433721532,221208797904,154177515889,294664282572,286870681824","573613,5280469753,22799975412,7594075,55413753975,89084712122,19558655350,55863186461","2407397,192370448001,44227318,345959696946,210922222120,255336033466,320928006003,306786707626"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:ACCESS,"3163239251,3841277466,10218653199,3947342102,7389327592,15407994694,17332559942,15793108975","43549202253,53219669299,130443677773,142050546892,159997167242,115124499705,264322696498,422700164776","5294709248,6429644741,15126494223,6603853473,6914686472,19694328838,20066081420,17426041873","73926125133,90346445246,90486534525,232074686987,639765655831,93597937515,256125903486,494567307241","7426150027,18130254078,9075694925,9291027976,9702690689,10118101222,87613315127,24760122988","104303044641,164630091665,350973963369,438168265679,130284916839,132369654557,443719103556,608935198385"
perf::PERF_COUNT_HW_CACHE_DTLB:READ:MISS,"491,6534474321,8558,15225,182938,10452622628,17637692799,29292375762","5807,25999767790,107517149400,176808,850554,83974414657,33753498049,291916370858","194,7639572234,52677,87234,4471094674,24707192354,30564596411,32436709452","62437,87900938768,126237,67819340753,223848948710,2102201,76372041362,481939851658","418,3537,68328,33740183196,5822149538,16783956585,42461384486,67974965755","408333,47277,320371924414,1058299,2502707,530620818871,64914673250,611901671493"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:ACCESS,"297301372,302454845,308716257,314803896,325661730,4259308686,33740271156,15789599532","3424402733,3454900034,3477789533,3498296919,36393172783,3594440133,30153552022,2220654760","496230815,503616702,512775799,25094738127,536890836,548570804,21582056968,62761708804","5796396449,5844124196,51026548691,5905653007,47044382754,207574062343,136200373994,277930940279","695134978,704623552,16673744638,22157027039,23338900598,6116066793,15896745956,75716729944","8168388470,8231054277,358110088551,8311009710,8401466057,179073116395,241175226533,775328496900"
perf::PERF_COUNT_HW_CACHE_DTLB:WRITE:MISS,"279,751,903,9361440620,6985742059,20802376850,30288682148,10096","4244,548,1563,5819,15011,113229446831,20240,142551857404","130,503,1009,20305444758,13026711237,20517,10850627674,97358535004","4676,2404,90820735373,3028,21015,496839476594,331891493147,51824459709","372,5299250767,811,767,65375875497,42430829674,3268863226,16478553653","19317,5119,6669,23548,109812574216,256631740309,25704925878,727184028990"
CYCLE_ACTIVITY:CYCLES_L1D_MISS,"3924956347,6187674306,7693360559,10863496184,17311680916,39011817469,24505055567,38187741993","39521092265,90714490359,130515999817,182560438279,243641276927,269031603823,233552959305,347195498456","7181625362,11087762932,15292252439,24414625951,35478738650,64640897122,53772660644,47520151472","71616324053,132892799671,186273193145,298001367409,559923101219,648649206819,340899179292,522093548078","10342626812,15583436286,22381876537,47434732110,39455385137,88765741729,92390600812,127896972238","106226229639,189020026838,321998736976,413309918601,644834503841,908679280197,751480471227,879805052957"
CYCLE_ACTIVITY:CYCLES_L2_MISS,"2140562460,2271824755,4777613367,14288920760,13023001742,16247355708,13970202274,26087651665","16697152729,62003177400,34997677010,130877447845,89821587696,313714659481,97220591951,470866059540","4028314714,4300566689,16834915253,11319664258,18703498851,24791815318,25909918854,107502781315","30729757160,34541779654,51305809717,94358339161,179055072479,241830264717,320324767927,469063310950","6451176054,6437705405,9395812478,22828944531,32800241898,47897305182,56327095319,96576194888","48168655220,52279781265,83523052361,137272685784,329411724469,623793973314,648483718896,429969492429"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"766507149,3250584442,1690225835,3144521248,4077571001,4924789402,14149578828,31262600859","10492858611,14029925964,58457327419,165443525250,57603479292,59802384442,191768784512,284670840397","1829518050,2626841379,4157360517,7522262775,10859336487,23686100473,28766311218,36137335402","19889177381,141520395201,157489905304,74590009197,115337012471,124610900210,386359223769,126217004688","2995936885,12867763086,16934153212,7808609035,31961263705,38640824814,17345299732,62726704069","30517270900,36619037366,64738451642,399858749984,136979635833,157211423154,711300607964,275262550957"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"2591606998,3457717452,4973968813,15099798610,16194880221,15821452589,35806879011,17779414875","26997728326,73599617449,100545650485,126696093333,196692528862,284967094974,197554302205,445186291323","4826216999,6472584237,10619613467,32214019063,32851366935,50193891999,36163386654,35631554428","50031643249,73902148105,198179527773,235063668972,428793344755,646526516092,408991078079,815603756049","7049110782,9037402613,15529841599,21216337136,37474206601,39468022854,54906817900,54639020579","74499480534,104192567948,228005400248,367502970851,596121215913,859142976797,479472633553,799880390214"
CYCLE_ACTIVITY:STALLS_L2_MISS,"1557257973,1833107842,5437546307,4472140093,19496210192,13390995052,47857031358,31326752827","13163571087,15919271131,34825901501,46990807744,85047731323,239414790850,89667655120,246017800811","3026326819,3488127684,7004269899,10286204429,48873779706,43703033095,48065326484,28752006714","25883850483,28593001724,45154234105,87705041749,306559323461,223260361478,328864756501,461753960476","4869379527,17807884834,7892155492,25920078212,19897063416,65090894299,41734137340,110304615840","39140971208,43882173853,80655758836,132201426578,279208352885,653065545364,701782918901,1490809588705"
