,10kx10k,10kx30k,20kx10k,20kx30k,30kx10k,30kx30k
perf::PERF_COUNT_HW_INSTRUCTIONS,"197780952660,198026528700,188405165025,199295039785,201177634918,172865399585","593211814851,593461253042,499905643283,594724749909,473679950515,579434753369","790775191230,791746526761,588996452440,700395096931,820696799598,766739964803","2371805618064,2372777388041,2375243855897,2377696629397,2383354834938,2293070491263","1778488337343,1780661093836,1695809883655,1791667926035,1822660942709,1828000838345","5334298434257,5336471594875,5058422956433,5347470240074,5360130833703,5368772377313"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"1397100623,1404827064,7533089379,1442154697,1510871364,1499493706","4188814412,4196565767,76135905381,4233993357,4286057983,30606999027","5578133461,77135952200,54463642053,5720865894,6024036176,81548015992","16724852069,16749791108,165149273106,16867235537,235085142905,17160510240","12533113483,12586392276,350329359343,12837931352,13182092631,300084827099","37578217661,37631496055,853697620813,37881059555,397529763514,94183542215"
perf::PERF_COUNT_HW_BRANCH_MISSES,"683792,828602,1294468,1963159,2414411,19652985919","2032812,2204174,36489772787,3320362,3813631,4796479","2736362,72780649907,4877076,172680168071,4275732,51157561631","7784003,8463504,9284792,13011058,305425125581,18652134","6000778,7048685,10634082,327814736070,8851099,22418325054","17260532,472369120545,662200580654,29743189,655550540993,1013023085176"
perf::PERF_COUNT_HW_BUS_CYCLES,"490987723,547836913,592003779,59871112845,979308388,1546196774","1523603569,1604010540,110779375416,178881618217,2437749266,3087172897","2010227914,2153975179,2352070804,50001592332,3227499004,4055771846","5983927874,6418843260,661182045382,6883416912,9660018607,12536860648","4367757005,4919804442,62437565314,5695313935,7151593640,9116796399","13654249573,491947926512,1310694576888,15399805946,521206576933,1290189215689"
perf::PERF_COUNT_SW_PAGE_FAULTS,"1297,253,1125,893,84,1980","3656,54827621362,36461544286,88677298058,1085,51099993863","6118,154517626114,4345,1048,38105003610,23826549823","28957,25782,8669,440263649424,196248983311,218019028618","17381,4835,281209964656,2206,206739820643,169454839824","96661,25977,9102,884080023266,1603616962692,45244"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,50873773512,0,28737362673,0","0,0,0,0,0,0","0,0,98966033120,172871604407,47400349402,0","0,211683770631,72617773063,349965874146,0,0","0,0,0,106170459930,474185629617,0","0,950803752217,322644168196,394450944512,0,0"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,0,0,11454730553,0","0,0,110564333428,0,0,0","0,0,0,126975323220,0,0","0,430723581355,72527171292,395914269016,0,0","0,0,287155728843,0,144139395431,0","0,944958240700,0,490989574461,0,399829041274"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"64689270382,64766791999,72245573368,65132809460,68988366164,77299839068","194040471119,198060359163,194299680508,194483898671,210123875684,230161857937","258654535214,258960864594,263017986727,265725951673,274655446019,280420760822","775854643281,834660116842,804178457960,816921853978,779506381942,887869172415","581443243806,597503070990,623480367701,644879701861,713513360976,605717942815","1744085084107,1744762520757,1746391672231,1747993052406,1752265268248,1754759833799"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"21722759245,21827422649,31310815166,28081361708,23221568721,23150508100","65076315143,65206303157,142392758197,160156695060,66410026111,132894958591","86757319524,87202674534,88502253302,89355769378,129503890998,90461563558","260091860650,260535207783,261632945094,447186626206,265350434843,754070943488","195492087129,196416731297,355510938323,201262410822,198889693332,315860230641","585547519912,586954734707,933546480784,591750525181,868253667734,1171371637968"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"432088420,490249518,645491479,12586060590,1110497351,7640438248","1257450651,1315611750,129002110068,1625827804,99756632241,67833867085","1653134526,74762044448,127832529865,176379618127,3241540232,3847145298","4804319607,5036744753,5656678108,6276429144,638221910522,8448041443","3663136600,4185916066,512911444684,6974347124,5902251766,6795935960","10640609616,11163389082,499187385087,893620663375,1410857550641,18835853827"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"726360,950780,44655336590,2406793,37377314468,7128149","1970608,2578695,2921525,3960810,48167622005,10883249","2871042,3903902,202216211395,8609297,16002039,22181091","8159173,9861541,144817156663,14803925,27603317,281285571116","5766891,8165117,227034534313,19965619,32428738,30839207","15507440,22155907,24933282,32472629,59559009,90782228"
