,10kx10k,10kx30k,20kx10k,20kx30k,30kx10k,30kx30k
perf::PERF_COUNT_HW_INSTRUCTIONS,"223408053000,223176309673,185011412385,155429283959,143947366272,204244294847","669285074050,551490608849,592192256810,447126164874,566884587245,533764487210","892929454200,891945863599,892882836998,771246738533,602821129414,844580749484","2675032382038,2202718352033,2360782822412,2314659226559,1845959404547,2206083209936","2008564457590,2005909940740,1656763668443,1870320760117,2019084052877,1540077747144","6017242702254,6008476685202,6011332385485,3528226397468,4782022491627,3799389587481"
perf::PERF_COUNT_HW_BRANCH_INSTRUCTIONS,"1622452697,1598604491,52107585553,40672057169,51208467676,57327086428","4724799239,103288518211,139941540781,81849668871,5470233153,39231590053","6449853533,6343359181,202611377637,47652741706,214404716630,171867786988","18779388560,18455767304,83124213214,103230541749,648704872549,346051629173","14482238729,14142133127,554702082873,15135605250,17525580234,654894903248","42163901065,483309230101,478201232086,861055503372,1164368673673,1625090272225"
perf::PERF_COUNT_HW_BRANCH_MISSES,"1479886,16840475437,11443071596,2483222,36915932251,47541104724","4344203,4921647,34502162404,33804070648,224420504522,8213525","5433309,199220232216,111822372443,42048977068,13702756,235387140331","15861584,17613512,203081598520,339619833382,25623037,294545317939","11906206,147954712390,17283453,372450034362,29651900,452397454369","35442554,443215429204,300674342665,934884106077,54624774,892431116480"
perf::PERF_COUNT_HW_BUS_CYCLES,"473650175,503521466,40233635687,572569545,49950908267,1356506916","1420392428,51586522883,87411638148,170093427238,3076085913,127520075180","1922265082,67993025338,2091855448,2175472295,87360283703,85489585772","5672532053,604236205220,468284154633,429735513205,209435847826,754416528736","4216110274,4452273821,152886293778,4847991516,83165885916,264550807027","12763064819,893656550548,313555376890,755854151674,953509688430,404515189478"
perf::PERF_COUNT_SW_PAGE_FAULTS,"1642,33467036728,11502876310,7355943257,18718676063,525","14435,50432466250,51913049203,134452429570,97495565233,211","4219,707,44662816106,166845208344,3147,69155263456","7074,7668,199736069600,3911,191877555897,522783682160","16221,296200190023,6820,337779123662,212241449382,7359","73085,22712,2229,940643867456,574715869521,14225"
perf::PERF_COUNT_SW_CONTEXT_SWITCHES,"0,0,0,22514389265,46663887536,65028738175","0,50414427139,17324849191,11525197628,0,242245312519","0,0,134075924734,83251831020,145319618034,80274068025","0,603010152654,0,340087474300,187685604634,388496637634","0,448292851555,301551577682,0,96025068370,281413936115","0,0,445908555415,1033916038080,1265028163395,925147874984"
perf::PERF_COUNT_SW_CPU_MIGRATIONS,"0,0,5716006645,0,24886548014,0","0,151758197184,121671280250,103504225504,44058515531,0","0,66195637488,133721584015,0,268762248728,252362693830","0,0,336105500341,254263441178,601237508310,224484700895","0,296094440662,351884557731,459438215102,0,109888643076","0,0,751730496785,1128545125090,0,0"
perf::PERF_COUNT_HW_CACHE_L1D:READ:ACCESS,"66368626411,66881443307,66403289536,66520363707,74316887341,67152207574","198689197181,199136027900,200518227823,219961598081,247632946469,306957553564","265213976650,264819044193,266800040535,268117693950,268579700454,329301170985","793975281477,803777189714,799289782478,805843602741,929992747721,937060325574","596536097755,595468548229,602257068964,608685268350,602954327553,728240697903","1785858431878,1782226018998,1794484990289,1828632137187,1788138238616,1783846023935"
perf::PERF_COUNT_HW_CACHE_L1D:READ:MISS,"19083070510,42973614149,52122862891,36027815164,49413462370,67419439257","57161960122,57209602061,132777917652,184493804783,225542720895,109699919706","76231214396,171212234115,76570440548,76801737540,174335151813,142490196015","228472905949,228583023151,516074015820,475545185158,608637121082,229118288597","171544002387,171500665523,280389982882,349301717938,343749324508,272378586388","513831871965,831250749651,514818792529,516485182567,838992667687,515331203194"
perf::PERF_COUNT_HW_CACHE_L1D:WRITE:ACCESS,"563729532,33676493462,514702901,516875201,31061121137,68397176769","1565655106,152216288556,36034414068,170686405350,1428814279,1431480311","2028450552,67590729105,156544625583,153964929823,212393410155,152817785420","5583267790,208966980756,468873777116,4914789392,4927700719,194920410458","4394189420,302734839234,354427948751,65041982849,510830752857,505670185149","12052916170,450945347965,157463717603,1039904011318,713677102896,10618451492"
perf::PERF_COUNT_HW_CACHE_L1I:READ:MISS,"489706,657458,22913910795,1023257,52156919145,54199439159","1256436,1341304,1906167,124100854998,4034680,4280619","1937651,2577030,133947539939,3758145,192487400712,172643695443","4613380,198826241785,200142271290,421901822562,659510464085,14339265","4299149,6477936,402511294132,92067358374,75077291226,151160877479","11095790,897186585859,894929040649,374742613851,33163931,637330550254"
perf::PERF_COUNT_HW_CACHE_LL:READ:ACCESS,"16096793,33452751923,40052338656,22279308089,26678431,71371317248","36053664,50255050856,51873237582,34239855110,104363590970,43215722961","48170870,30702330,89441755728,36652720,19922505731,175883679707","103382327,602631359663,533226775962,380374836456,66055431,201134325","132103872,83685995,98408107,122557984060,148732484,182518691738","282542066,454335376311,119550086,377012637353,1491898069581,1370151592681"
