Nyx,Amrex::MLCellLinOp::applyBC,BR,BACLEARS:ANY,1.0
Nyx,Amrex::MLCellLinOp::applyBC,TLB,DTLB_LOAD_MISSES:WALK_COMPLETED,0.015034304444544422
Nyx,Amrex::MLCellLinOp::applyBC,TLB,DTLB_LOAD_MISSES:WALK_DURATION,0.0703986296650718
Nyx,Amrex::MLCellLinOp::applyBC,TLB,DTLB_STORE_MISSES:WALK_COMPLETED,1.0
Nyx,Amrex::MLCellLinOp::applyBC,TLB,DTLB_STORE_MISSES:WALK_DURATION,0.515361547216519
Nyx,Amrex::MLCellLinOp::applyBC,TLB,PAGE_WALKER_LOADS:DTLB_L1,0.1761474435376366
Nyx,Amrex::MLCellLinOp::applyBC,TLB,PAGE_WALKER_LOADS:DTLB_L2,0.026984750771733634
Nyx,Amrex::MLCellLinOp::applyBC,TLB,PAGE_WALKER_LOADS:DTLB_L3,0.12182493276244345
Nyx,Amrex::MLCellLinOp::applyBC,MEM,MEM_LOAD_UOPS_L3_HIT_RETIRED:XSNP_HIT,0.5970989057961539
Nyx,Amrex::MLCellLinOp::applyBC,MEM,MISALIGN_MEM_REF:STORES,1.0
Nyx,Amrex::MLCellLinOp::applyBC,UOPS,UOPS_ISSUED:FLAGS_MERGE,1.0
Nyx,analriem,TLB,DTLB_STORE_MISSES:WALK_COMPLETED,1.0
Nyx,analriem,TLB,DTLB_STORE_MISSES:WALK_DURATION,0.8603319654881951
Nyx,analriem,STALL,LD_BLOCKS:NO_SR,1.0
Nyx,ctoprim,STALL,ILD_STALL:LCP,1.0
Nyx,ctoprim,MEM,MEM_LOAD_UOPS_L3_HIT_RETIRED:XSNP_HIT,1.0
Nyx,ctoprim,MEM,MEM_LOAD_UOPS_L3_HIT_RETIRED:XSNP_HITM,0.5530205310833263
Nyx,ctoprim,UOPS,MOVE_ELIMINATION:SIMD_NOT_ELIMINATED,1.0
Nyx,loop1,TLB,PAGE_WALKER_LOADS:DTLB_L1,1.0
Nyx,loop1,MEM,MEM_LOAD_UOPS_L3_HIT_RETIRED:XSNP_HIT,1.0
Nyx,loop1,MEM,MEM_LOAD_UOPS_RETIRED:L3_MISS,0.10298088712416475
Nyx,loop2,TLB,PAGE_WALKER_LOADS:DTLB_L2,1.0
Nyx,loop2,TLB,PAGE_WALKER_LOADS:DTLB_L3,0.06623454216129758
Nyx,loop2,STALL,RESOURCE_STALLS:SB,1.0
Nyx,loop2,MEM,MEM_LOAD_UOPS_L3_HIT_RETIRED:XSNP_HITM,0.2016372427208258
Nyx,loop2,MEM,MEM_LOAD_UOPS_L3_MISS_RETIRED:LOCAL_DRAM,1.0
Nyx,loop3,TLB,DTLB_LOAD_MISSES:WALK_DURATION,1.0
Nyx,loop3,TLB,DTLB_STORE_MISSES:WALK_COMPLETED,0.6089973537728738
Nyx,loop3,TLB,PAGE_WALKER_LOADS:DTLB_L2,0.4878046765397201
Nyx,loop3,TLB,PAGE_WALKER_LOADS:DTLB_L3,0.336683328694374
Nyx,loop3,STALL,LD_BLOCKS_PARTIAL:ADDRESS_ALIAS,1.0
Nyx,loop3,STALL,RESOURCE_STALLS:ROB,0.33269706769792345
Nyx,loop3,MEM,MEM_LOAD_UOPS_L3_HIT_RETIRED:XSNP_HIT,0.004802392741950862
Nyx,loop3,MEM,MEM_LOAD_UOPS_L3_MISS_RETIRED:LOCAL_DRAM,1.0
Nyx,loop3,MEM,MEM_LOAD_UOPS_L3_MISS_RETIRED:REMOTE_DRAM,0.006575499278637341
Nyx,loop4,TLB,DTLB_LOAD_MISSES:WALK_DURATION,0.8389242380504909
Nyx,loop4,TLB,PAGE_WALKER_LOADS:DTLB_L2,1.0
Nyx,loop4,L1,L1D_PEND_MISS:FB_FULL,1.0
Nyx,loop4,L1,L1D_PEND_MISS:REQUEST_FB_FULL,0.8027240853884056
Nyx,loop4,MEM,MEM_LOAD_UOPS_L3_MISS_RETIRED:LOCAL_DRAM,1.0
Nyx,loop5,TLB,DTLB_STORE_MISSES:WALK_DURATION,0.001432282890607988
Nyx,loop5,TLB,PAGE_WALKER_LOADS:DTLB_L1,1.0
Nyx,loop5,TLB,PAGE_WALKER_LOADS:DTLB_L2,0.03616488246735619
Nyx,loop5,TLB,PAGE_WALKER_LOADS:DTLB_L3,0.9073301012977957
Nyx,loop5,STALL,LD_BLOCKS_PARTIAL:ADDRESS_ALIAS,1.0
Nyx,loop5,MEM,MEM_LOAD_UOPS_L3_HIT_RETIRED:XSNP_HIT,0.00886038483755559
Nyx,loop5,MEM,MEM_LOAD_UOPS_L3_MISS_RETIRED:LOCAL_DRAM,1.0
Nyx,loop6,TLB,DTLB_LOAD_MISSES:WALK_DURATION,0.001994791502698606
Nyx,loop6,TLB,DTLB_STORE_MISSES:WALK_COMPLETED,1.0
Nyx,loop6,TLB,DTLB_STORE_MISSES:WALK_DURATION,0.15859705853917644
Nyx,loop6,TLB,PAGE_WALKER_LOADS:DTLB_L1,0.39642016697776766
Nyx,loop6,TLB,PAGE_WALKER_LOADS:DTLB_L2,0.2899357848904783
Nyx,loop6,STALL,RESOURCE_STALLS:ROB,1.0
Nyx,loop6,MEM,MEM_LOAD_UOPS_L3_HIT_RETIRED:XSNP_HIT,0.20558923941081417
Nyx,loop6,MEM,MEM_LOAD_UOPS_L3_HIT_RETIRED:XSNP_HITM,0.8434138827594605
Nyx,loop6,MEM,MEM_LOAD_UOPS_L3_MISS_RETIRED:LOCAL_DRAM,1.0
Nyx,loop6,MEM,MEM_UOPS_RETIRED:STLB_MISS_STORES,0.08916268699697352
Nyx,loop7,TLB,PAGE_WALKER_LOADS:DTLB_L1,1.0
Nyx,loop7,TLB,PAGE_WALKER_LOADS:DTLB_L3,0.4382431207169841
Nyx,loop7,STALL,RESOURCE_STALLS:ROB,1.0
Nyx,loop7,STALL,RESOURCE_STALLS:SB,0.10742680940967954
Nyx,loop7,L1,L1D_PEND_MISS:FB_FULL,1.0
Nyx,loop7,L1,L1D_PEND_MISS:REQUEST_FB_FULL,0.9881854527644326
Nyx,loop7,MEM,MEM_LOAD_UOPS_L3_HIT_RETIRED:XSNP_HIT,0.745345693213076
Nyx,loop7,MEM,MEM_LOAD_UOPS_L3_MISS_RETIRED:LOCAL_DRAM,1.0
Nyx,loop8,TLB,DTLB_LOAD_MISSES:WALK_COMPLETED,0.2501282623424332
Nyx,loop8,TLB,DTLB_LOAD_MISSES:WALK_COMPLETED_4K,0.2041378641042402
Nyx,loop8,TLB,DTLB_STORE_MISSES:PDE_CACHE_MISS,0.0326347954910315
Nyx,loop8,TLB,DTLB_STORE_MISSES:WALK_DURATION,0.006724747378886899
Nyx,loop8,TLB,ITLB:ITLB_FLUSH,1.0
Nyx,loop8,TLB,PAGE_WALKER_LOADS:DTLB_L1,0.599118978764787
Nyx,loop8,TLB,PAGE_WALKER_LOADS:DTLB_L3,0.0542765785834976
Nyx,loop8,STALL,RESOURCE_STALLS:ROB,0.7348048110675449
Nyx,loop8,STALL,RESOURCE_STALLS:SB,1.0
Nyx,loop8,MEM,MEM_LOAD_UOPS_L3_HIT_RETIRED:XSNP_HIT,1.0
Nyx,loop8,MEM,MEM_LOAD_UOPS_L3_MISS_RETIRED:REMOTE_DRAM,0.007924375821437263
