OpenBLAS,
time,m,n,NRHS,threads,
1.14876,4000,4000,1,4,
0.714874,4000,4000,1,12,
0.671848,4000,4000,1,24,
0.785967,4000,4000,1,48,
0.999572,4000,4000,1,72,
1.13245,4000,4000,1,96,
6.06458,4000,9000,1,4,
2.60652,4000,9000,1,12,
2.457,4000,9000,1,24,
2.91947,4000,9000,1,48,
3.69607,4000,9000,1,72,
4.01782,4000,9000,1,96,
11.5297,4000,16000,1,4,
4.84086,4000,16000,1,12,
4.63792,4000,16000,1,24,
5.32597,4000,16000,1,48,
6.51061,4000,16000,1,72,
7.17865,4000,16000,1,96,
19.0417,4000,25000,1,4,
8.0057,4000,25000,1,12,
7.33423,4000,25000,1,24,
8.19802,4000,25000,1,48,
10.6488,4000,25000,1,72,
11.4321,4000,25000,1,96,
3.08958,9000,4000,1,4,
1.83712,9000,4000,1,12,
1.71899,9000,4000,1,24,
1.83288,9000,4000,1,48,
2.14986,9000,4000,1,72,
2.38731,9000,4000,1,96,
11.3746,9000,9000,1,4,
6.34389,9000,9000,1,12,
6.04914,9000,9000,1,24,
6.23964,9000,9000,1,48,
7.18743,9000,9000,1,72,
7.43538,9000,9000,1,96,
34.5351,9000,16000,1,4,
14.4764,9000,16000,1,12,
13.9399,9000,16000,1,24,
14.3847,9000,16000,1,48,
17.7668,9000,16000,1,72,
18.098,9000,16000,1,96,
59.5781,9000,25000,1,4,
26.6005,9000,25000,1,12,
23.8386,9000,25000,1,24,
25.002,9000,25000,1,48,
28.0292,9000,25000,1,72,
32.0564,9000,25000,1,96,
5.38499,16000,4000,1,4,
3.35055,16000,4000,1,12,
3.29312,16000,4000,1,24,
3.38571,16000,4000,1,48,
3.67692,16000,4000,1,72,
3.68609,16000,4000,1,96,
21.9764,16000,9000,1,4,
12.8479,16000,9000,1,12,
11.9193,16000,9000,1,24,
13.9733,16000,9000,1,48,
12.7176,16000,9000,1,72,
13.2391,16000,9000,1,96,
57.1345,16000,16000,1,4,
30.8607,16000,16000,1,12,
27.2819,16000,16000,1,24,
26.9568,16000,16000,1,48,
33.0267,16000,16000,1,72,
28.4588,16000,16000,1,96,
128.998,16000,25000,1,4,
58.8246,16000,25000,1,12,
57.8898,16000,25000,1,24,
60.0616,16000,25000,1,48,
65.5371,16000,25000,1,72,
72.0111,16000,25000,1,96,
9.46025,25000,4000,1,4,
5.38558,25000,4000,1,12,
5.07791,25000,4000,1,24,
5.31168,25000,4000,1,48,
5.63119,25000,4000,1,72,
5.83975,25000,4000,1,96,
39.3678,25000,9000,1,4,
20.7248,25000,9000,1,12,
19.6005,25000,9000,1,24,
18.2402,25000,9000,1,48,
19.2454,25000,9000,1,72,
22.138,25000,9000,1,96,
110.142,25000,16000,1,4,
52.8893,25000,16000,1,12,
44.3201,25000,16000,1,24,
42.3518,25000,16000,1,48,
43.1124,25000,16000,1,72,
46.8816,25000,16000,1,96,
225.293,25000,25000,1,4,
107.593,25000,25000,1,12,
88.7702,25000,25000,1,24,
94.6828,25000,25000,1,48,
89.7201,25000,25000,1,72,
104.904,25000,25000,1,96,
MKL,
time,m,n,k,threads,
0.748899,4000,4000,1,4,
0.220801,4000,4000,1,12,
0.15606,4000,4000,1,24,
0.171347,4000,4000,1,48,
0.167548,4000,4000,1,72,
0.167117,4000,4000,1,96,
1.7299,4000,9000,1,4,
0.758985,4000,9000,1,12,
0.509431,4000,9000,1,24,
0.434607,4000,9000,1,48,
0.461178,4000,9000,1,72,
0.439439,4000,9000,1,96,
3.04485,4000,16000,1,4,
1.38947,4000,16000,1,12,
0.990304,4000,16000,1,24,
0.908836,4000,16000,1,48,
0.878952,4000,16000,1,72,
0.873843,4000,16000,1,96,
5.56742,4000,25000,1,4,
2.34919,4000,25000,1,12,
1.64008,4000,25000,1,24,
1.46726,4000,25000,1,48,
1.4891,4000,25000,1,72,
1.43663,4000,25000,1,96,
1.58918,9000,4000,1,4,
0.661129,9000,4000,1,12,
0.43812,9000,4000,1,24,
0.381359,9000,4000,1,48,
0.377734,9000,4000,1,72,
0.383604,9000,4000,1,96,
4.36185,9000,9000,1,4,
1.64057,9000,9000,1,12,
1.17451,9000,9000,1,24,
1.04562,9000,9000,1,48,
1.01485,9000,9000,1,72,
1.05346,9000,9000,1,96,
10.1348,9000,16000,1,4,
4.08548,9000,16000,1,12,
2.90815,9000,16000,1,24,
2.73656,9000,16000,1,48,
2.71721,9000,16000,1,72,
2.67885,9000,16000,1,96,
18.8273,9000,25000,1,4,
7.66326,9000,25000,1,12,
5.33501,9000,25000,1,24,
4.64766,9000,25000,1,48,
4.68479,9000,25000,1,72,
4.46285,9000,25000,1,96,
2.7182,16000,4000,1,4,
1.16228,16000,4000,1,12,
0.809791,16000,4000,1,24,
0.768477,16000,4000,1,48,
0.761151,16000,4000,1,72,
0.75701,16000,4000,1,96,
9.15962,16000,9000,1,4,
3.60393,16000,9000,1,12,
2.65191,16000,9000,1,24,
2.49634,16000,9000,1,48,
2.45724,16000,9000,1,72,
2.4534,16000,9000,1,96,
21.9361,16000,16000,1,4,
8.38934,16000,16000,1,12,
5.9852,16000,16000,1,24,
5.64508,16000,16000,1,48,
5.64693,16000,16000,1,72,
5.6427,16000,16000,1,96,
47.9373,16000,25000,1,4,
17.5123,16000,25000,1,12,
11.1882,16000,25000,1,24,
9.44175,16000,25000,1,48,
10.8044,16000,25000,1,72,
10.6289,16000,25000,1,96,
4.83311,25000,4000,1,4,
2.01964,25000,4000,1,12,
1.39621,25000,4000,1,24,
1.27113,25000,4000,1,48,
1.27003,25000,4000,1,72,
1.26929,25000,4000,1,96,
17.1901,25000,9000,1,4,
6.62475,25000,9000,1,12,
4.2069,25000,9000,1,24,
3.98034,25000,9000,1,48,
3.91605,25000,9000,1,72,
3.72518,25000,9000,1,96,
45.0391,25000,16000,1,4,
16.5665,25000,16000,1,12,
11.1611,25000,16000,1,24,
10.2271,25000,16000,1,48,
10.1514,25000,16000,1,72,
10.2396,25000,16000,1,96,
88.6212,25000,25000,1,4,
31.6055,25000,25000,1,12,
20.3268,25000,25000,1,24,
15.5536,25000,25000,1,48,
17.2659,25000,25000,1,72,
17.0574,25000,25000,1,96,
