OpenBLAS,
cycles,instructions,m,n,NRHS,threads,
2739707055,3691020611,4000,4000,1,4,
1787234254,1531984893,4000,4000,1,12,
1675042412,1029023239,4000,4000,1,24,
1894708979,829866667,4000,4000,1,48,
2353899176,806881593,4000,4000,1,72,
2703215552,834532760,4000,4000,1,96,
22386697476,15712512140,4000,12000,1,4,
9988862394,5763865252,4000,12000,1,12,
8644268100,3553253778,4000,12000,1,24,
9606806404,3061815437,4000,12000,1,48,
12176928803,3147936062,4000,12000,1,72,
13436974783,3270437427,4000,12000,1,96,
40915366037,27526884574,4000,20000,1,4,
17106436732,9937778283,4000,20000,1,12,
14605384002,6014804927,4000,20000,1,24,
15764906576,5117652775,4000,20000,1,48,
19782570716,5319685863,4000,20000,1,72,
23086438154,5410854796,4000,20000,1,96,
64176404009,42274848166,4000,30000,1,4,
24900158587,15145654421,4000,30000,1,12,
22205507324,9097678667,4000,30000,1,24,
25345210423,7693829871,4000,30000,1,48,
31765970819,7873189032,4000,30000,1,72,
35332853385,8097051907,4000,30000,1,96,
10333905757,14193715374,12000,4000,1,4,
6433808458,5481103134,12000,4000,1,12,
6086007155,3392230620,12000,4000,1,24,
5292966187,2413248699,12000,4000,1,48,
5610840872,2139298727,12000,4000,1,72,
6093082009,2054479731,12000,4000,1,96,
68585155965,90706079093,12000,12000,1,4,
35587772822,32558490373,12000,12000,1,12,
35167690727,18182354732,12000,12000,1,24,
30921250632,11183576777,12000,12000,1,48,
31109303473,8988702310,12000,12000,1,72,
29855750508,8039910541,12000,12000,1,96,
174121749742,177112712640,12000,20000,1,4,
76802725962,61539121322,12000,20000,1,12,
66262967251,33784020431,12000,20000,1,24,
68603727537,22464940680,12000,20000,1,48,
79516710682,19672135538,12000,20000,1,72,
76907313656,18498663698,12000,20000,1,96,
303384065957,288158126397,12000,30000,1,4,
131490129078,99503669112,12000,30000,1,12,
120685496495,54275992136,12000,30000,1,24,
108887056910,35714888065,12000,30000,1,48,
131400885114,31262423589,12000,30000,1,72,
144683242441,29805357281,12000,30000,1,96,
18670245316,24690429748,20000,4000,1,4,
11171824524,9423392367,20000,4000,1,12,
9622616861,5746296701,20000,4000,1,24,
8827377112,3979790587,20000,4000,1,48,
9439756070,3450519478,20000,4000,1,72,
9531127711,3237450959,20000,4000,1,96,
129429823149,180123555014,20000,12000,1,4,
67711461085,63726837218,20000,12000,1,12,
53056925738,34965950958,20000,12000,1,24,
52349754113,20729408676,20000,12000,1,48,
53673188154,16162008006,20000,12000,1,72,
51079953184,14068538932,20000,12000,1,96,
302530325118,412548214233,20000,20000,1,4,
158356719147,143739232310,20000,20000,1,12,
124730790423,76917806535,20000,20000,1,24,
103815451758,43809495408,20000,20000,1,48,
109487159992,33044710070,20000,20000,1,72,
115927369802,27850129298,20000,20000,1,96,
622264289513,689835568313,20000,30000,1,4,
281313837126,236068739201,20000,30000,1,12,
246654949899,125338382790,20000,30000,1,24,
227173332424,75680682814,20000,30000,1,48,
238055449554,61493869318,20000,30000,1,72,
270261625047,55316523564,20000,30000,1,96,
27712202570,37826309563,30000,4000,1,4,
15788322427,14360612618,30000,4000,1,12,
15384561447,8696165394,30000,4000,1,24,
13215029565,5942255184,30000,4000,1,48,
14018273551,5088142918,30000,4000,1,72,
14103782166,4720708215,30000,4000,1,96,
209766979450,291904058286,30000,12000,1,4,
98187392655,102685380061,30000,12000,1,12,
92116776687,55941837747,30000,12000,1,24,
74283547972,32689864623,30000,12000,1,48,
78946636740,25123008052,30000,12000,1,72,
85953291624,21466503158,30000,12000,1,96,
525313504690,719587173438,30000,20000,1,4,
244869794502,248956599931,30000,20000,1,12,
200114039848,131922473716,30000,20000,1,24,
179556793815,73748910481,30000,20000,1,48,
173673016996,54694140513,30000,20000,1,72,
198762828203,45337348261,30000,20000,1,96,
1005903190820,1381320853256,30000,30000,1,4,
494616565158,474082666494,30000,30000,1,12,
426577921517,248137701857,30000,30000,1,24,
333057738037,135682943616,30000,30000,1,48,
326116242795,98662511299,30000,30000,1,72,
379780942427,80716312607,30000,30000,1,96,
MKL,
cycles,instructions,m,n,NRHS,threads,
1705768436,2655704221,4000,4000,1,4,
573955784,877906309,4000,4000,1,12,
359865259,460892975,4000,4000,1,24,
253400034,189067802,4000,4000,1,48,
257958571,232566790,4000,4000,1,72,
257256380,224737885,4000,4000,1,96,
6871275892,10241883072,4000,12000,1,4,
2740577229,3476001491,4000,12000,1,12,
1775574952,1833001256,4000,12000,1,24,
1417772244,829509144,4000,12000,1,48,
1342108018,971209943,4000,12000,1,72,
1367926151,989551494,4000,12000,1,96,
12290988916,17550418518,4000,20000,1,4,
4869864152,6044020311,4000,20000,1,12,
3349019628,3040082079,4000,20000,1,24,
2541381778,1754923955,4000,20000,1,48,
2523277556,1824462040,4000,20000,1,72,
2509408445,1769096520,4000,20000,1,96,
19841481592,27464175527,4000,30000,1,4,
7717096694,9205890194,4000,30000,1,12,
5426995814,4839918826,4000,30000,1,24,
4292566585,2510636506,4000,30000,1,48,
4193501106,2414197258,4000,30000,1,72,
4297699001,2660994713,4000,30000,1,96,
6315613047,10637474590,12000,4000,1,4,
2379592300,3536652622,12000,4000,1,12,
1466484690,1769793465,12000,4000,1,24,
1080045427,945744000,12000,4000,1,48,
952587298,711880539,12000,4000,1,72,
1091403689,881016426,12000,4000,1,96,
31481750307,64055035324,12000,12000,1,4,
10619023673,21374345384,12000,12000,1,12,
6970972488,10788810508,12000,12000,1,24,
4975479287,4747331928,12000,12000,1,48,
5102366214,4696683148,12000,12000,1,72,
