OpenBLAS,
time,m,n,NRHS,threads,
1.11064,4000,4000,1,4,
0.709902,4000,4000,1,12,
0.651134,4000,4000,1,24,
0.795941,4000,4000,1,48,
0.974593,4000,4000,1,72,
1.15155,4000,4000,1,96,
8.6111,4000,12000,1,4,
3.71032,4000,12000,1,12,
3.2865,4000,12000,1,24,
3.80004,4000,12000,1,48,
4.73027,4000,12000,1,72,
5.23425,4000,12000,1,96,
15.0974,4000,20000,1,4,
6.24768,4000,20000,1,12,
5.92476,4000,20000,1,24,
6.7211,4000,20000,1,48,
7.47253,4000,20000,1,72,
9.48531,4000,20000,1,96,
23.6406,4000,30000,1,4,
9.38453,4000,30000,1,12,
8.54316,4000,30000,1,24,
10.2029,4000,30000,1,48,
12.7462,4000,30000,1,72,
13.9689,4000,30000,1,96,
4.05724,12000,4000,1,4,
2.49445,12000,4000,1,12,
2.22476,12000,4000,1,24,
2.38553,12000,4000,1,48,
2.57126,12000,4000,1,72,
2.72462,12000,4000,1,96,
26.5241,12000,12000,1,4,
13.7889,12000,12000,1,12,
14.2488,12000,12000,1,24,
13.6531,12000,12000,1,48,
12.6217,12000,12000,1,72,
14.9071,12000,12000,1,96,
64.679,12000,20000,1,4,
30.1076,12000,20000,1,12,
27.2596,12000,20000,1,24,
29.4478,12000,20000,1,48,
33.2918,12000,20000,1,72,
35.2843,12000,20000,1,96,
107.809,12000,30000,1,4,
47.7645,12000,30000,1,12,
48.0542,12000,30000,1,24,
48.0542,12000,30000,1,48,
49.8794,12000,30000,1,72,
54.5342,12000,30000,1,96,
6.90669,20000,4000,1,4,
4.1563,20000,4000,1,12,
3.95974,20000,4000,1,24,
4.21602,20000,4000,1,48,
4.35734,20000,4000,1,72,
4.62404,20000,4000,1,96,
51.9792,20000,12000,1,4,
24.826,20000,12000,1,12,
21.6306,20000,12000,1,24,
27.2757,20000,12000,1,48,
24.4037,20000,12000,1,72,
24.7274,20000,12000,1,96,
115.58,20000,20000,1,4,
55.5806,20000,20000,1,12,
47.3033,20000,20000,1,24,
48.5691,20000,20000,1,48,
56.1697,20000,20000,1,72,
53.9026,20000,20000,1,96,
239.184,20000,30000,1,4,
107.042,20000,30000,1,12,
95.9504,20000,30000,1,24,
103.845,20000,30000,1,48,
105.722,20000,30000,1,72,
117.483,20000,30000,1,96,
10.8099,30000,4000,1,4,
6.32839,30000,4000,1,12,
6.00367,30000,4000,1,24,
6.02678,30000,4000,1,48,
6.07841,30000,4000,1,72,
6.86413,30000,4000,1,96,
80.278,30000,12000,1,4,
40.2284,30000,12000,1,12,
32.2245,30000,12000,1,24,
35.6637,30000,12000,1,48,
36.1667,30000,12000,1,72,
37.5346,30000,12000,1,96,
202.328,30000,20000,1,4,
100.619,30000,20000,1,12,
99.058,30000,20000,1,24,
93.8675,30000,20000,1,48,
98.206,30000,20000,1,72,
106.449,30000,20000,1,96,
390.236,30000,30000,1,4,
185.994,30000,30000,1,12,
165.84,30000,30000,1,24,
172.695,30000,30000,1,48,
157.425,30000,30000,1,72,
163.692,30000,30000,1,96,
MKL,
time,m,n,NRHS,threads,
0.761512,4000,4000,1,4,
0.235448,4000,4000,1,12,
0.161489,4000,4000,1,24,
0.168195,4000,4000,1,48,
0.17138,4000,4000,1,72,
0.176811,4000,4000,1,96,
2.28231,4000,12000,1,4,
1.01893,4000,12000,1,12,
0.712396,4000,12000,1,24,
0.633262,4000,12000,1,48,
0.62833,4000,12000,1,72,
0.650318,4000,12000,1,96,
4.25446,4000,20000,1,4,
1.80609,4000,20000,1,12,
1.30627,4000,20000,1,24,
1.14963,4000,20000,1,48,
1.15713,4000,20000,1,72,
1.14674,4000,20000,1,96,
6.86547,4000,30000,1,4,
2.86436,4000,30000,1,12,
2.03742,4000,30000,1,24,
1.8316,4000,30000,1,48,
1.89312,4000,30000,1,72,
1.89555,4000,30000,1,96,
2.08425,12000,4000,1,4,
0.902113,12000,4000,1,12,
0.600781,12000,4000,1,24,
0.535214,12000,4000,1,48,
0.534883,12000,4000,1,72,
0.538825,12000,4000,1,96,
10.0041,12000,12000,1,4,
3.71145,12000,12000,1,12,
2.56373,12000,12000,1,24,
2.33023,12000,12000,1,48,
2.3112,12000,12000,1,72,
2.33255,12000,12000,1,96,
22.2711,12000,20000,1,4,
8.4088,12000,20000,1,12,
5.84129,12000,20000,1,24,
4.68642,12000,20000,1,48,
5.09975,12000,20000,1,72,
5.03334,12000,20000,1,96,
38.4608,12000,30000,1,4,
14.1061,12000,30000,1,12,
9.34711,12000,30000,1,24,
8.41965,12000,30000,1,48,
7.95972,12000,30000,1,72,
8.13914,12000,30000,1,96,
3.86273,20000,4000,1,4,
1.53192,20000,4000,1,12,
1.08375,20000,4000,1,24,
0.988541,20000,4000,1,48,
0.981713,20000,4000,1,72,
0.988547,20000,4000,1,96,
21.2075,20000,12000,1,4,
7.72349,20000,12000,1,12,
5.4522,20000,12000,1,24,
4.81401,20000,12000,1,48,
4.84093,20000,12000,1,72,
4.85785,20000,12000,1,96,
45.2618,20000,20000,1,4,
16.5832,20000,20000,1,12,
11.2399,20000,20000,1,24,
10.0023,20000,20000,1,48,
10.2085,20000,20000,1,72,
10.1391,20000,20000,1,96,
87.1973,20000,30000,1,4,
31.8119,20000,30000,1,12,
21.046,20000,30000,1,24,
18.7427,20000,30000,1,48,
18.8646,20000,30000,1,72,
18.8403,20000,30000,1,96,
6.36602,30000,4000,1,4,
2.49171,30000,4000,1,12,
1.71223,30000,4000,1,24,
1.55065,30000,4000,1,48,
1.57182,30000,4000,1,72,
1.54795,30000,4000,1,96,
