OpenBLAS,
time,m,n,k,threads,
5.08431,10000,10000,10000,4,
1.84341,10000,10000,10000,12,
1.34685,10000,10000,10000,24,
1.33044,10000,10000,10000,48,
1.30324,10000,10000,10000,72,
1.18266,10000,10000,10000,96,
15.5176,10000,10000,30000,4,
5.87034,10000,10000,30000,12,
3.78302,10000,10000,30000,24,
3.51852,10000,10000,30000,48,
3.67357,10000,10000,30000,72,
3.87248,10000,10000,30000,96,
26.1038,10000,10000,50000,4,
9.55135,10000,10000,50000,12,
7.11511,10000,10000,50000,24,
7.1128,10000,10000,50000,48,
6.65869,10000,10000,50000,72,
6.39595,10000,10000,50000,96,
16.2817,10000,30000,10000,4,
5.71603,10000,30000,10000,12,
3.96298,10000,30000,10000,24,
3.89407,10000,30000,10000,48,
4.17198,10000,30000,10000,72,
3.58006,10000,30000,10000,96,
46.7929,10000,30000,30000,4,
16.7886,10000,30000,30000,12,
12.3316,10000,30000,30000,24,
11.6135,10000,30000,30000,48,
11.5717,10000,30000,30000,72,
11.0273,10000,30000,30000,96,
77.9929,10000,30000,50000,4,
27.8354,10000,30000,50000,12,
19.0322,10000,30000,50000,24,
18.4952,10000,30000,50000,48,
17.468,10000,30000,50000,72,
17.2827,10000,30000,50000,96,
26.1256,10000,50000,10000,4,
9.20867,10000,50000,10000,12,
7.09255,10000,50000,10000,24,
6.37241,10000,50000,10000,48,
6.05159,10000,50000,10000,72,
5.71527,10000,50000,10000,96,
78.7086,10000,50000,30000,4,
27.6924,10000,50000,30000,12,
19.9299,10000,50000,30000,24,
18.6883,10000,50000,30000,48,
18.0437,10000,50000,30000,72,
16.4954,10000,50000,30000,96,
128.704,10000,50000,50000,4,
45.6634,10000,50000,50000,12,
33.2133,10000,50000,50000,24,
31.5611,10000,50000,50000,48,
30.0428,10000,50000,50000,72,
29.8922,10000,50000,50000,96,
15.3086,30000,10000,10000,4,
5.69525,30000,10000,10000,12,
3.38221,30000,10000,10000,24,
3.31467,30000,10000,10000,48,
3.92246,30000,10000,10000,72,
3.63325,30000,10000,10000,96,
46.1024,30000,10000,30000,4,
17.5719,30000,10000,30000,12,
11.1674,30000,10000,30000,24,
11.0356,30000,10000,30000,48,
12.0696,30000,10000,30000,72,
10.5947,30000,10000,30000,96,
77.5356,30000,10000,50000,4,
27.8794,30000,10000,50000,12,
17.778,30000,10000,50000,24,
19.898,30000,10000,50000,48,
21.1552,30000,10000,50000,72,
19.3768,30000,10000,50000,96,
46.6132,30000,30000,10000,4,
16.1349,30000,30000,10000,12,
10.6091,30000,30000,10000,24,
10.3884,30000,30000,10000,48,
11.4221,30000,30000,10000,72,
10.3256,30000,30000,10000,96,
141.114,30000,30000,30000,4,
49.6966,30000,30000,30000,12,
38.0715,30000,30000,30000,24,
34.8529,30000,30000,30000,48,
37.6265,30000,30000,30000,72,
33.4464,30000,30000,30000,96,
228.213,30000,30000,50000,4,
81.0275,30000,30000,50000,12,
56.3896,30000,30000,50000,24,
56.0396,30000,30000,50000,48,
61.6399,30000,30000,50000,72,
55.3315,30000,30000,50000,96,
78.9674,30000,50000,10000,4,
27.9516,30000,50000,10000,12,
15.1394,30000,50000,10000,24,
16.5139,30000,50000,10000,48,
18.3235,30000,50000,10000,72,
17.031,30000,50000,10000,96,
228.935,30000,50000,30000,4,
80.4929,30000,50000,30000,12,
56.8249,30000,50000,30000,24,
62.0495,30000,50000,30000,48,
62.0714,30000,50000,30000,72,
55.882,30000,50000,30000,96,
380.583,30000,50000,50000,4,
136.847,30000,50000,50000,12,
82.3464,30000,50000,50000,24,
92.2814,30000,50000,50000,48,
96.9541,30000,50000,50000,72,
82.1342,30000,50000,50000,96,
25.5081,50000,10000,10000,4,
9.09132,50000,10000,10000,12,
6.05281,50000,10000,10000,24,
6.68679,50000,10000,10000,48,
6.95034,50000,10000,10000,72,
6.73052,50000,10000,10000,96,
77.2439,50000,10000,30000,4,
28.1289,50000,10000,30000,12,
18.5092,50000,10000,30000,24,
18.0679,50000,10000,30000,48,
21.0554,50000,10000,30000,72,
19.2247,50000,10000,30000,96,
129.691,50000,10000,50000,4,
46.7491,50000,10000,50000,12,
28.1308,50000,10000,50000,24,
45.2053,50000,10000,50000,48,
41.7991,50000,10000,50000,72,
52.4063,50000,10000,50000,96,
75.4618,50000,30000,10000,4,
26.7249,50000,30000,10000,12,
15.5281,50000,30000,10000,24,
17.7536,50000,30000,10000,48,
19.5283,50000,30000,10000,72,
18.8812,50000,30000,10000,96,
226.869,50000,30000,30000,4,
86.6988,50000,30000,30000,12,
56.9653,50000,30000,30000,24,
54.7922,50000,30000,30000,48,
62.204,50000,30000,30000,72,
56.6686,50000,30000,30000,96,
398.405,50000,30000,50000,4,
134.883,50000,30000,50000,12,
77.2701,50000,30000,50000,24,
107.8,50000,30000,50000,48,
144.677,50000,30000,50000,72,
169.079,50000,30000,50000,96,
131.147,50000,50000,10000,4,
44.3326,50000,50000,10000,12,
33.1074,50000,50000,10000,24,
30.1947,50000,50000,10000,48,
31.6101,50000,50000,10000,72,
30.6563,50000,50000,10000,96,
377.068,50000,50000,30000,4,
131.827,50000,50000,30000,12,
75.881,50000,50000,30000,24,
83.7,50000,50000,30000,48,
96.2479,50000,50000,30000,72,
85.0949,50000,50000,30000,96,
637.217,50000,50000,50000,4,
219.735,50000,50000,50000,12,
141.977,50000,50000,50000,24,
237.729,50000,50000,50000,48,
201.747,50000,50000,50000,72,
281.235,50000,50000,50000,96,
MKL,
time,m,n,k,threads,
5.26209,10000,10000,10000,4,
1.85086,10000,10000,10000,12,
1.07753,10000,10000,10000,24,
1.08128,10000,10000,10000,48,
1.10338,10000,10000,10000,72,
1.09991,10000,10000,10000,96,
15.2219,10000,10000,30000,4,
5.3752,10000,10000,30000,12,
2.93735,10000,10000,30000,24,
2.44309,10000,10000,30000,48,
