OpenBLAS,
cycles,instructions,m,n,k,threads,
16659465108,55802162964,10000,10000,10000,4,
5913746336,18760701439,10000,10000,10000,12,
3880531093,9532591892,10000,10000,10000,24,
3280982341,4878246590,10000,10000,10000,48,
3156880492,3229871559,10000,10000,10000,72,
2979753059,2560881960,10000,10000,10000,96,
50713877026,167342714461,10000,10000,30000,4,
17622189197,56216824738,10000,10000,30000,12,
9837256638,28425711725,10000,10000,30000,24,
8657528344,14530813718,10000,10000,30000,48,
8975838710,9679539917,10000,10000,30000,72,
8823702097,7489063344,10000,10000,30000,96,
84490717052,278845222042,10000,10000,50000,4,
29326916454,93688296349,10000,10000,50000,12,
20263161571,47369966641,10000,10000,50000,24,
15991356616,24267183598,10000,10000,50000,48,
16150701396,16038144642,10000,10000,50000,72,
15951613278,12503597086,10000,10000,50000,96,
49876801191,167353317407,10000,30000,10000,4,
17179852622,56265640771,10000,30000,10000,12,
11212423652,28588078641,10000,30000,10000,24,
9466847654,14627145284,10000,30000,10000,48,
9277560144,9684799600,10000,30000,10000,72,
8869550152,7679034596,10000,30000,10000,96,
151643311280,501864253272,10000,30000,30000,4,
51688598829,168603443341,10000,30000,30000,12,
36370793339,85249499785,10000,30000,30000,24,
27691194695,43579135185,10000,30000,30000,48,
15943910596,29094838741,10000,30000,30000,72,
24852524250,22448574272,10000,30000,30000,96,
250062358051,836266142664,10000,30000,50000,4,
86047753386,280958568172,10000,30000,50000,12,
57975842991,142060268259,10000,30000,50000,24,
43042460285,72766539943,10000,30000,50000,48,
23908739909,48196460821,10000,30000,50000,72,
38264085402,37489495178,10000,30000,50000,96,
85014330267,278901387979,10000,50000,10000,4,
29024837832,93765342550,10000,50000,10000,12,
23363820167,47642127739,10000,50000,10000,24,
15600699994,24375809462,10000,50000,10000,48,
14975885797,16140060189,10000,50000,10000,72,
13784954789,12794492719,10000,50000,10000,96,
255142776304,836385894425,10000,50000,30000,4,
89966649093,280974467723,10000,50000,30000,12,
60404874562,142071356460,10000,50000,30000,24,
45539425061,72620477895,10000,50000,30000,48,
43748746121,48370541436,10000,50000,30000,72,
37707945828,37411190073,10000,50000,30000,96,
416516347370,1393663467838,10000,50000,50000,4,
141629767924,468229701402,10000,50000,50000,12,
92299013972,236745498548,10000,50000,50000,24,
73474470279,121252107609,10000,50000,50000,48,
45378496357,80282383120,10000,50000,50000,72,
71782964149,62474940965,10000,50000,50000,96,
54645937324,166994238184,30000,10000,10000,4,
17377801574,55813746573,30000,10000,10000,12,
9997471505,28147877407,30000,10000,10000,24,
8439722608,14192785157,30000,10000,10000,48,
9522334754,9533584494,30000,10000,10000,72,
8231258008,7309471492,30000,10000,10000,96,
149514698859,500838335383,30000,10000,30000,4,
50706052472,167254697462,30000,10000,30000,12,
32101452429,83944651689,30000,10000,30000,24,
25411488695,42304355896,30000,10000,30000,48,
30581798846,28571234115,30000,10000,30000,72,
23743939764,21373220932,30000,10000,30000,96,
250667170069,834473953072,30000,10000,50000,4,
86091260629,278709214010,30000,10000,50000,12,
48706952546,139883839230,30000,10000,50000,24,
42694655809,70628763096,30000,10000,50000,48,
51090954990,47332866245,30000,10000,50000,72,
44273312634,35682587221,30000,10000,50000,96,
156906437726,500821316171,30000,30000,10000,4,
51809911954,167388202943,30000,30000,10000,12,
30024912667,84417832418,30000,30000,10000,24,
24906245440,42572314775,30000,30000,10000,48,
28942857842,28590424586,30000,30000,10000,72,
25566532975,21910854238,30000,30000,10000,96,
449793031556,1501892363969,30000,30000,30000,4,
153151042998,501597710453,30000,30000,30000,12,
93029699014,251751160235,30000,30000,30000,24,
82736595293,126824661930,30000,30000,30000,48,
93817975653,85682295517,30000,30000,30000,72,
79258694769,64077565425,30000,30000,30000,96,
759440431491,2502621105061,30000,30000,50000,4,
251466235901,835873634828,30000,30000,50000,12,
195573872624,419510296365,30000,30000,50000,24,
145827297654,211760462729,30000,30000,50000,48,
149785529292,141949573602,30000,30000,50000,72,
129956438026,107016869891,30000,30000,50000,96,
245346500466,834656343342,30000,50000,10000,4,
82908009974,278966449074,30000,50000,10000,12,
44658855878,140696733412,30000,50000,10000,24,
42078378402,70936191391,30000,50000,10000,48,
45775921266,47647263093,30000,50000,10000,72,
40123656518,36516209387,30000,50000,10000,96,
765594017141,2502991219433,30000,50000,30000,4,
250660238370,835956710128,30000,50000,30000,12,
163346110854,419582558955,30000,50000,30000,24,
121628266222,211448372889,30000,50000,30000,48,
151769217528,142794077400,30000,50000,30000,72,
135014233456,106776922120,30000,50000,30000,96,
1256181840990,4170733206993,30000,50000,50000,4,
432796867443,1392997126901,30000,50000,50000,12,
250852999157,699156888240,30000,50000,50000,24,
191530337601,353097328924,30000,50000,50000,48,
238237028767,236564315726,30000,50000,50000,72,
199423769021,178352952654,30000,50000,50000,96,
82159455349,278258255213,50000,10000,10000,4,
27887655843,92870728542,50000,10000,10000,12,
17543295007,46771646049,50000,10000,10000,24,
14010993237,23513879672,50000,10000,10000,48,
8839867268,15664147762,50000,10000,10000,72,
15004213317,12055462680,50000,10000,10000,96,
246061329684,834434414526,50000,10000,30000,4,
83969504265,278300064848,50000,10000,30000,12,
