OpenBLAS,
time,m,n,k,threads,
4.99847,10000,10000,10000,4,
2.04333,10000,10000,10000,12,
1.45117,10000,10000,10000,24,
1.51242,10000,10000,10000,48,
1.42757,10000,10000,10000,72,
1.32364,10000,10000,10000,96,
15.4113,10000,10000,30000,4,
6.21579,10000,10000,30000,12,
4.30284,10000,10000,30000,24,
4.15023,10000,10000,30000,48,
4.20885,10000,10000,30000,72,
3.94967,10000,10000,30000,96,
25.8337,10000,10000,50000,4,
10.4223,10000,10000,50000,12,
7.64644,10000,10000,50000,24,
7.48826,10000,10000,50000,48,
7.38601,10000,10000,50000,72,
6.79919,10000,10000,50000,96,
15.1277,10000,30000,10000,4,
5.801,10000,30000,10000,12,
4.27971,10000,30000,10000,24,
4.20603,10000,30000,10000,48,
4.13149,10000,30000,10000,72,
3.9987,10000,30000,10000,96,
47.5135,10000,30000,30000,4,
17.9792,10000,30000,30000,12,
13.2349,10000,30000,30000,24,
13.4408,10000,30000,30000,48,
12.7545,10000,30000,30000,72,
12.0114,10000,30000,30000,96,
77.0278,10000,30000,50000,4,
29.2913,10000,30000,50000,12,
24.0757,10000,30000,50000,24,
20.3277,10000,30000,50000,48,
19.1933,10000,30000,50000,72,
18.2901,10000,30000,50000,96,
25.3258,10000,50000,10000,4,
9.4571,10000,50000,10000,12,
6.25852,10000,50000,10000,24,
7.05234,10000,50000,10000,48,
6.55107,10000,50000,10000,72,
6.21079,10000,50000,10000,96,
76.6419,10000,50000,30000,4,
29.7243,10000,50000,30000,12,
21.4113,10000,50000,30000,24,
20.3961,10000,50000,30000,48,
20.91,10000,50000,30000,72,
20.2535,10000,50000,30000,96,
126.118,10000,50000,50000,4,
47.4115,10000,50000,50000,12,
33.0805,10000,50000,50000,24,
32.8961,10000,50000,50000,48,
32.6362,10000,50000,50000,72,
31.3583,10000,50000,50000,96,
14.8608,30000,10000,10000,4,
5.73495,30000,10000,10000,12,
3.50229,30000,10000,10000,24,
3.66555,30000,10000,10000,48,
4.1299,30000,10000,10000,72,
4.1322,30000,10000,10000,96,
44.7576,30000,10000,30000,4,
17.2651,30000,10000,30000,12,
12.3467,30000,10000,30000,24,
13.2898,30000,10000,30000,48,
13.7827,30000,10000,30000,72,
