OpenBLAS,
time,m,n,threads,
12.7049,10000,10000,4,
7.34997,10000,10000,12,
6.71799,10000,10000,24,
6.75843,10000,10000,48,
7.26075,10000,10000,72,
7.22393,10000,10000,96,
48.751,10000,30000,4,
25.2501,10000,30000,12,
25.3168,10000,30000,24,
25.9134,10000,30000,48,
24.3737,10000,30000,72,
25.6261,10000,30000,96,
88.107,10000,50000,4,
46.4403,10000,50000,12,
42.2861,10000,50000,24,
43.2341,10000,50000,48,
43.0843,10000,50000,72,
43.5932,10000,50000,96,
47.1714,30000,10000,4,
25.6699,30000,10000,12,
22.3274,30000,10000,24,
21.1702,30000,10000,48,
22.0681,30000,10000,72,
23.8517,30000,10000,96,
314.456,30000,30000,4,
155.12,30000,30000,12,
127.955,30000,30000,24,
140.878,30000,30000,48,
123.896,30000,30000,72,
132.928,30000,30000,96,
624.567,30000,50000,4,
314.253,30000,50000,12,
255.625,30000,50000,24,
258.562,30000,50000,48,
251.25,30000,50000,72,
268.43,30000,50000,96,
82.3379,50000,10000,4,
41.4045,50000,10000,12,
38.29,50000,10000,24,
38.0264,50000,10000,48,
41.5908,50000,10000,72,
35.5625,50000,10000,96,
612.999,50000,30000,4,
302.056,50000,30000,12,
256.645,50000,30000,24,
257.399,50000,30000,48,
253.238,50000,30000,72,
246.842,50000,30000,96,
1492.86,50000,50000,4,
720.908,50000,50000,12,
635.773,50000,50000,24,
595.6,50000,50000,48,
634.066,50000,50000,72,
616.963,50000,50000,96,
MKL,
time,m,n,threads,
5.44309,10000,10000,4,
1.91027,10000,10000,12,
1.22779,10000,10000,24,
1.16676,10000,10000,48,
1.17716,10000,10000,72,
1.1706,10000,10000,96,
19.6262,10000,30000,4,
6.98773,10000,30000,12,
4.52689,10000,30000,24,
4.17338,10000,30000,48,
4.17011,10000,30000,72,
4.20343,10000,30000,96,
33.7695,10000,50000,4,
12.1949,10000,50000,12,
7.53608,10000,50000,24,
7.15698,10000,50000,48,
7.10049,10000,50000,72,
7.11799,10000,50000,96,
22.4106,30000,10000,4,
8.10137,30000,10000,12,
5.50381,30000,10000,24,
4.85334,30000,10000,48,
4.84473,30000,10000,72,
4.86688,30000,10000,96,
137.844,30000,30000,4,
48.002,30000,30000,12,
27.885,30000,30000,24,
22.7677,30000,30000,48,
23.0576,30000,30000,72,
22.5665,30000,30000,96,
267.696,30000,50000,4,
93.0588,30000,50000,12,
53.6999,30000,50000,24,
41.6474,30000,50000,48,
41.6183,30000,50000,72,
41.7139,30000,50000,96,
40.0353,50000,10000,4,
14.5502,50000,10000,12,
9.99348,50000,10000,24,
8.68035,50000,10000,48,
8.1908,50000,10000,72,
8.35632,50000,10000,96,
284.767,50000,30000,4,
98.0113,50000,30000,12,
57.7326,50000,30000,24,
45.519,50000,30000,48,
45.4726,50000,30000,72,
44.125,50000,30000,96,
766.73,50000,50000,4,
250.046,50000,50000,12,
134.787,50000,50000,24,
102.548,50000,50000,48,
103.552,50000,50000,72,
102.379,50000,50000,96,
