OpenBLAS,
cycles,instructions,m,n,threads,
37769583902,51860019311,10000,10000,4,
20469906027,18184857805,10000,10000,12,
16787144423,9861145746,10000,10000,24,
16560661797,5773233810,10000,10000,48,
17890636202,4509319187,10000,10000,72,
17695047948,3949873260,10000,10000,96,
155037142132,205773452368,10000,30000,4,
78110618653,71116925563,10000,30000,12,
65759720968,37531280320,10000,30000,24,
63791040206,20849222869,10000,30000,48,
62521938277,15376987462,10000,30000,72,
63142430260,12757697961,10000,30000,96,
277114439919,359731325502,10000,50000,4,
138147155519,124074009006,10000,50000,12,
129458645504,65214292828,10000,50000,24,
108812958875,35926287142,10000,50000,48,
103372175345,26257406773,10000,50000,72,
99878066471,21547365577,10000,50000,96,
145956868442,205538263579,30000,10000,4,
70996023818,70810049339,30000,10000,12,
59063246710,37402071001,30000,10000,24,
53484592727,20858869493,30000,10000,48,
56199440031,15441612516,30000,10000,72,
57780224336,12844606534,30000,10000,96,
981441065526,1370559372957,30000,30000,4,
466426493094,464291341527,30000,30000,12,
369138644200,238386205780,30000,30000,24,
347456235507,125454168918,30000,30000,48,
339850675253,88174594420,30000,30000,72,
314473806574,69885166956,30000,30000,96,
1952285042621,2737029514773,30000,50000,4,
949780304384,924585310133,30000,50000,12,
727685462702,472266367557,30000,50000,24,
633829842518,246249358121,30000,50000,48,
620086456167,171521238323,30000,50000,72,
647658829090,134381360818,30000,50000,96,
255108397599,359248062027,50000,10000,4,
129775014636,123397297591,50000,10000,12,
104950033015,64976482103,50000,10000,24,
92076962880,35915267827,50000,10000,48,
92241064880,26374504457,50000,10000,72,
86183335309,21727021628,50000,10000,96,
1914384061664,2736168902124,50000,30000,4,
909640495650,923729772424,50000,30000,12,
751892787609,471835324324,50000,30000,24,
608659174143,246400444553,50000,30000,48,
483227075556,172221843897,50000,30000,72,
595573545754,134741639875,50000,30000,96,
4486441421316,6306395349533,50000,50000,4,
2069538403800,2119049834943,50000,50000,12,
1704889179789,1072558848764,50000,50000,24,
1346936456090,549750994950,50000,50000,48,
1317047157941,375042002159,50000,50000,72,
1357180323007,288253210271,50000,50000,96,
MKL,
cycles,instructions,m,n,threads,
18178178764,37172519894,10000,10000,4,
6029874131,12417930864,10000,10000,12,
3773611721,5751101040,10000,10000,24,
2798935823,2664800765,10000,10000,48,
2746452322,2435599044,10000,10000,72,
2772381693,2367832852,10000,10000,96,
67249889916,147685736398,10000,30000,4,
22287875067,48544438137,10000,30000,12,
14079569614,24067911762,10000,30000,24,
10183784896,10740128837,10000,30000,48,
10211852480,10764422599,10000,30000,72,
10224096719,10813393556,10000,30000,96,
116878341651,257084027716,10000,50000,4,
38532231011,84864169763,10000,50000,12,
23498495925,41345870638,10000,50000,24,
17239998235,18831686715,10000,50000,48,
17571873163,19696606300,10000,50000,72,
17465247283,19485480985,10000,50000,96,
76593215089,149236493367,30000,10000,4,
25923606063,49047450778,30000,10000,12,
17094410104,23882462447,30000,10000,24,
12009199993,10232527874,30000,10000,48,
11981761785,10953690629,30000,10000,72,
11824701060,9908655487,30000,10000,96,
473796754699,973284440343,30000,30000,4,
151642787838,319104124471,30000,30000,12,
87930745026,160480453375,30000,30000,24,
56599906391,74300571880,30000,30000,48,
55829622851,73524657775,30000,30000,72,
55013192255,75154505355,30000,30000,96,
919726248042,1938117578078,30000,50000,4,
294409468270,629043154617,30000,50000,12,
166085248634,321616784997,30000,50000,24,
97189575402,152854864110,30000,50000,48,
99872101497,150315044008,30000,50000,72,
102132875123,153331721408,30000,50000,96,
135472874554,257590181385,50000,10000,4,
45958288735,85024164793,50000,10000,12,
29845753052,40596464304,50000,10000,24,
20733786802,17128314426,50000,10000,48,
21477497558,17414162299,50000,10000,72,
21827496370,15852299492,50000,10000,96,
967935266945,1945880122718,50000,30000,4,
313082787319,643317811306,50000,30000,12,
176080092262,312919610462,50000,30000,24,
110602597763,148651903025,50000,30000,48,
110359443356,144921351749,50000,30000,72,
110700038200,146848100164,50000,30000,96,
2293165150534,4308746553571,50000,50000,4,
725875302278,1458018848802,50000,50000,12,
374350099860,701262922629,50000,50000,24,
239326637675,325684969618,50000,50000,48,
236721641982,311902770067,50000,50000,72,
237029532117,327379882627,50000,50000,96,
