OpenBLAS,
time,m,n,threads,
12.2888,10000,10000,4,
6.62906,10000,10000,12,
5.9381,10000,10000,24,
6.60436,10000,10000,48,
7.01406,10000,10000,72,
7.06863,10000,10000,96,
49.4201,10000,30000,4,
25.1105,10000,30000,12,
26.1849,10000,30000,24,
25.1953,10000,30000,48,
27.9257,10000,30000,72,
24.9301,10000,30000,96,
88.3729,10000,50000,4,
46.9119,10000,50000,12,
43.9096,10000,50000,24,
48.8199,10000,50000,48,
41.7211,10000,50000,72,
46.8465,10000,50000,96,
46.1268,30000,10000,4,
25.1356,30000,10000,12,
21.3907,30000,10000,24,
21.0252,30000,10000,48,
22.4517,30000,10000,72,
22.3931,30000,10000,96,
307.609,30000,30000,4,
154.634,30000,30000,12,
131.393,30000,30000,24,
135.565,30000,30000,48,
134.97,30000,30000,72,
131.44,30000,30000,96,
622.841,30000,50000,4,
290.916,30000,50000,12,
255.618,30000,50000,24,
261.134,30000,50000,48,
252.43,30000,50000,72,
264.029,30000,50000,96,
82.2426,50000,10000,4,
41.8559,50000,10000,12,
40.108,50000,10000,24,
38.1507,50000,10000,48,
44.0517,50000,10000,72,
37.6981,50000,10000,96,
604.671,50000,30000,4,
301.18,50000,30000,12,
246.555,50000,30000,24,
244.796,50000,30000,48,
241.039,50000,30000,72,
242.831,50000,30000,96,
1503.24,50000,50000,4,
731.78,50000,50000,12,
613.511,50000,50000,24,
603.888,50000,50000,48,
627.279,50000,50000,72,
644.244,50000,50000,96,
MKL,
time,m,n,threads,
5.4426,10000,10000,4,
1.89854,10000,10000,12,
1.22543,10000,10000,24,
1.1735,10000,10000,48,
1.17287,10000,10000,72,
1.16352,10000,10000,96,
19.554,10000,30000,4,
7.05672,10000,30000,12,
4.51299,10000,30000,24,
4.17948,10000,30000,48,
4.10881,10000,30000,72,
4.15555,10000,30000,96,
33.6989,10000,50000,4,
12.1201,10000,50000,12,
7.54158,10000,50000,24,
7.00438,10000,50000,48,
7.09542,10000,50000,72,
7.1159,10000,50000,96,
22.4781,30000,10000,4,
8.03893,30000,10000,12,
5.54233,30000,10000,24,
4.80205,30000,10000,48,
4.81678,30000,10000,72,
4.82352,30000,10000,96,
137.645,30000,30000,4,
48.0513,30000,30000,12,
27.992,30000,30000,24,
22.6084,30000,30000,48,
23.2249,30000,30000,72,
23.1091,30000,30000,96,
269.866,30000,50000,4,
93.7309,30000,50000,12,
52.8777,30000,50000,24,
39.9943,30000,50000,48,
40.1235,30000,50000,72,
41.204,30000,50000,96,
39.7907,50000,10000,4,
14.6476,50000,10000,12,
9.94477,50000,10000,24,
8.5599,50000,10000,48,
8.69673,50000,10000,72,
8.74366,50000,10000,96,
281.235,50000,30000,4,
98.3767,50000,30000,12,
56.4826,50000,30000,24,
45.2738,50000,30000,48,
45.052,50000,30000,72,
45.1795,50000,30000,96,
786.546,50000,50000,4,
246.25,50000,50000,12,
133.725,50000,50000,24,
102.747,50000,50000,48,
103.04,50000,50000,72,
103.383,50000,50000,96,
